,date,value,name_B072L3GPLQ
343,2019-05-09,4863.0,Test Strips
344,2019-05-10,4438.0,Test Strips
345,2019-05-11,4370.0,Test Strips
346,2019-05-12,4583.0,Test Strips
347,2019-05-13,5662.0,Test Strips
348,2019-05-14,3600.0,Test Strips
349,2019-05-15,3446.0,Test Strips
350,2019-05-16,3881.0,Test Strips
351,2019-05-17,-1.0,Test Strips
352,2019-05-18,-1.0,Test Strips
353,2019-05-19,-1.0,Test Strips
354,2019-05-20,-1.0,Test Strips
355,2019-05-21,-1.0,Test Strips
356,2019-05-22,-1.0,Test Strips
357,2019-05-23,-1.0,Test Strips
358,2019-05-24,-1.0,Test Strips
359,2019-05-25,-1.0,Test Strips
360,2019-05-26,-1.0,Test Strips
361,2019-05-27,-1.0,Test Strips
362,2019-05-28,19431.0,Test Strips
363,2019-05-29,27136.0,Test Strips
364,2019-05-30,22246.0,Test Strips
365,2019-05-31,27845.0,Test Strips
366,2019-06-01,17011.0,Test Strips
367,2019-06-02,36181.0,Test Strips
368,2019-06-03,16192.0,Test Strips
369,2019-06-04,18536.0,Test Strips
370,2019-06-05,14952.0,Test Strips
371,2019-06-06,11445.0,Test Strips
372,2019-06-07,16813.0,Test Strips
373,2019-06-08,15255.0,Test Strips
374,2019-06-09,16746.0,Test Strips
375,2019-06-10,17430.0,Test Strips
376,2019-06-11,20789.0,Test Strips
377,2019-06-12,25909.0,Test Strips
378,2019-06-13,23096.0,Test Strips
379,2019-06-14,23096.0,Test Strips
380,2019-06-15,23052.0,Test Strips
381,2019-06-16,23052.0,Test Strips
382,2019-06-17,23052.0,Test Strips
383,2019-06-18,21218.0,Test Strips
384,2019-06-19,21218.0,Test Strips
385,2019-06-20,29674.0,Test Strips
386,2019-06-21,29674.0,Test Strips
387,2019-06-22,21022.0,Test Strips
388,2019-06-23,27456.0,Test Strips
389,2019-06-24,26248.0,Test Strips
390,2019-06-25,26248.0,Test Strips
391,2019-06-26,19465.0,Test Strips
392,2019-06-27,15469.0,Test Strips
393,2019-06-28,15469.0,Test Strips
394,2019-06-29,16858.0,Test Strips
395,2019-06-30,16858.0,Test Strips
396,2019-07-01,11245.0,Test Strips
397,2019-07-02,11386.0,Test Strips
398,2019-07-03,9796.0,Test Strips
399,2019-07-04,10082.0,Test Strips
400,2019-07-05,11852.0,Test Strips
401,2019-07-06,19764.0,Test Strips
402,2019-07-07,16186.0,Test Strips
403,2019-07-08,21893.0,Test Strips
404,2019-07-09,16292.0,Test Strips
405,2019-07-10,16292.0,Test Strips
406,2019-07-11,10264.0,Test Strips
407,2019-07-12,8083.0,Test Strips
408,2019-07-13,9874.0,Test Strips
409,2019-07-14,6597.0,Test Strips
410,2019-07-15,9553.0,Test Strips
411,2019-07-16,14347.0,Test Strips
412,2019-07-17,10646.0,Test Strips
413,2019-07-18,8331.0,Test Strips
414,2019-07-19,1627.0,Test Strips
415,2019-07-20,1978.0,Test Strips
416,2019-07-21,1978.0,Test Strips
417,2019-07-22,2565.0,Test Strips
418,2019-07-23,2314.0,Test Strips
419,2019-07-24,3325.0,Test Strips
420,2019-07-25,3272.0,Test Strips
421,2019-07-26,3140.0,Test Strips
422,2019-07-27,2394.0,Test Strips
423,2019-07-28,2394.0,Test Strips
424,2019-07-29,2821.0,Test Strips
425,2019-07-30,2792.0,Test Strips
426,2019-07-31,3192.0,Test Strips
427,2019-08-01,3192.0,Test Strips
428,2019-08-02,2549.0,Test Strips
429,2019-08-03,2737.0,Test Strips
430,2019-08-04,2884.0,Test Strips
431,2019-08-05,2285.0,Test Strips
432,2019-08-06,2285.0,Test Strips
433,2019-08-07,3738.0,Test Strips
434,2019-08-08,2843.0,Test Strips
435,2019-08-09,2506.0,Test Strips
436,2019-08-10,2814.0,Test Strips
437,2019-08-11,2814.0,Test Strips
438,2019-08-12,2397.0,Test Strips
439,2019-08-13,3514.0,Test Strips
440,2019-08-14,3730.0,Test Strips
441,2019-08-15,2708.0,Test Strips
442,2019-08-16,2612.0,Test Strips
443,2019-08-17,2395.0,Test Strips
444,2019-08-18,3496.0,Test Strips
445,2019-08-19,2565.0,Test Strips
446,2019-08-20,2565.0,Test Strips
447,2019-08-21,3284.0,Test Strips
448,2019-08-22,3284.0,Test Strips
449,2019-08-23,4089.0,Test Strips
450,2019-08-24,3591.0,Test Strips
451,2019-08-25,3202.0,Test Strips
452,2019-08-26,3579.0,Test Strips
453,2019-08-27,3579.0,Test Strips
454,2019-08-28,4028.0,Test Strips
455,2019-08-29,3278.0,Test Strips
456,2019-08-30,3507.0,Test Strips
457,2019-08-31,2925.0,Test Strips
458,2019-09-01,4156.0,Test Strips
459,2019-09-02,3104.0,Test Strips
460,2019-09-03,3104.0,Test Strips
461,2019-09-04,4249.0,Test Strips
462,2019-09-05,4249.0,Test Strips
463,2019-09-06,4345.0,Test Strips
464,2019-09-07,4982.0,Test Strips
465,2019-09-08,3500.0,Test Strips
466,2019-09-09,4303.0,Test Strips
467,2019-09-10,3344.0,Test Strips
468,2019-09-11,3081.0,Test Strips
469,2019-09-12,7492.0,Test Strips
470,2019-09-13,4834.0,Test Strips
471,2019-09-14,5648.0,Test Strips
472,2019-09-15,5648.0,Test Strips
473,2019-09-16,2594.0,Test Strips
474,2019-09-17,3957.0,Test Strips
475,2019-09-18,3171.0,Test Strips
476,2019-09-19,4108.0,Test Strips
477,2019-09-20,3745.0,Test Strips
478,2019-09-21,6051.0,Test Strips
479,2019-09-22,3645.0,Test Strips
480,2019-09-23,6089.0,Test Strips
481,2019-09-24,4759.0,Test Strips
482,2019-09-25,4961.0,Test Strips
483,2019-09-26,5276.0,Test Strips
484,2019-09-27,6039.0,Test Strips
485,2019-09-28,4478.0,Test Strips
486,2019-09-29,2808.0,Test Strips
487,2019-09-30,5273.0,Test Strips
488,2019-10-01,3894.0,Test Strips
489,2019-10-02,3696.0,Test Strips
490,2019-10-03,3973.0,Test Strips
491,2019-10-04,3973.0,Test Strips
492,2019-10-05,6463.0,Test Strips
493,2019-10-06,6463.0,Test Strips
494,2019-10-07,5240.0,Test Strips
495,2019-10-08,5240.0,Test Strips
496,2019-10-09,5240.0,Test Strips
497,2019-10-10,3771.0,Test Strips
498,2019-10-11,3771.0,Test Strips
499,2019-10-12,3771.0,Test Strips
500,2019-10-13,3729.0,Test Strips
501,2019-10-14,5051.0,Test Strips
502,2019-10-15,4693.0,Test Strips
503,2019-10-16,6205.0,Test Strips
504,2019-10-17,3798.0,Test Strips
505,2019-10-18,6718.0,Test Strips
506,2019-10-19,3081.0,Test Strips
507,2019-10-20,3444.0,Test Strips
508,2019-10-21,3939.0,Test Strips
509,2019-10-22,5500.0,Test Strips
510,2019-10-23,5416.0,Test Strips
511,2019-10-24,5455.0,Test Strips
512,2019-10-25,5184.0,Test Strips
513,2019-10-26,4311.0,Test Strips
514,2019-10-27,4311.0,Test Strips
515,2019-10-28,4233.0,Test Strips
516,2019-10-29,4446.0,Test Strips
517,2019-10-30,4229.0,Test Strips
518,2019-10-31,6684.0,Test Strips
519,2019-11-01,6225.0,Test Strips
520,2019-11-02,4592.0,Test Strips
521,2019-11-03,4592.0,Test Strips
522,2019-11-04,3154.0,Test Strips
523,2019-11-05,3154.0,Test Strips
524,2019-11-06,4778.0,Test Strips
525,2019-11-07,4778.0,Test Strips
526,2019-11-08,4778.0,Test Strips
527,2019-11-09,4778.0,Test Strips
528,2019-11-10,4778.0,Test Strips
529,2019-11-11,8970.0,Test Strips
530,2019-11-12,7889.0,Test Strips
531,2019-11-13,7889.0,Test Strips
532,2019-11-14,7889.0,Test Strips
533,2019-11-15,7889.0,Test Strips
534,2019-11-16,24877.0,Test Strips
535,2019-11-17,22608.0,Test Strips
536,2019-11-18,22608.0,Test Strips
537,2019-11-19,22608.0,Test Strips
538,2019-11-20,15663.0,Test Strips
539,2019-11-21,16131.0,Test Strips
540,2019-11-22,16131.0,Test Strips
541,2019-11-23,22286.0,Test Strips
542,2019-11-24,22286.0,Test Strips
543,2019-11-25,22286.0,Test Strips
544,2019-11-26,22286.0,Test Strips
545,2019-11-27,15115.0,Test Strips
546,2019-11-28,15115.0,Test Strips
547,2019-11-29,15115.0,Test Strips
548,2019-11-30,15115.0,Test Strips
549,2019-12-01,15115.0,Test Strips
550,2019-12-02,27825.0,Test Strips
551,2019-12-03,27825.0,Test Strips
552,2019-12-04,27825.0,Test Strips
553,2019-12-05,27825.0,Test Strips
554,2019-12-06,15791.0,Test Strips
555,2019-12-07,14270.0,Test Strips
556,2019-12-08,14270.0,Test Strips
557,2019-12-09,14270.0,Test Strips
558,2019-12-10,14270.0,Test Strips
559,2019-12-11,13766.0,Test Strips
560,2019-12-12,15163.0,Test Strips
561,2019-12-13,15163.0,Test Strips
562,2019-12-14,15163.0,Test Strips
563,2019-12-15,15163.0,Test Strips
564,2019-12-16,15163.0,Test Strips
565,2019-12-17,18675.0,Test Strips
566,2019-12-18,18675.0,Test Strips
567,2019-12-19,18281.0,Test Strips
568,2019-12-20,18281.0,Test Strips
569,2019-12-21,18281.0,Test Strips
570,2019-12-22,14475.0,Test Strips
571,2019-12-23,14475.0,Test Strips
572,2019-12-24,14475.0,Test Strips
573,2019-12-25,14475.0,Test Strips
574,2019-12-26,14475.0,Test Strips
575,2019-12-27,14475.0,Test Strips
576,2019-12-28,16429.0,Test Strips
577,2019-12-29,13451.0,Test Strips
578,2019-12-30,12704.0,Test Strips
579,2019-12-31,9849.0,Test Strips
580,2020-01-01,10786.0,Test Strips
581,2020-01-02,10786.0,Test Strips
582,2020-01-03,10786.0,Test Strips
583,2020-01-04,10786.0,Test Strips
584,2020-01-05,11040.0,Test Strips
585,2020-01-06,11040.0,Test Strips
586,2020-01-07,7717.0,Test Strips
587,2020-01-08,9393.0,Test Strips
588,2020-01-09,9393.0,Test Strips
589,2020-01-10,9393.0,Test Strips
590,2020-01-11,9393.0,Test Strips
591,2020-01-12,9393.0,Test Strips
592,2020-01-13,17678.0,Test Strips
593,2020-01-14,17678.0,Test Strips
594,2020-01-15,8720.0,Test Strips
595,2020-01-16,8720.0,Test Strips
596,2020-01-17,8720.0,Test Strips
597,2020-01-18,8720.0,Test Strips
598,2020-01-19,8720.0,Test Strips
599,2020-01-20,19150.0,Test Strips
600,2020-01-21,19150.0,Test Strips
601,2020-01-22,19150.0,Test Strips
602,2020-01-23,10834.0,Test Strips
603,2020-01-24,10834.0,Test Strips
604,2020-01-25,10834.0,Test Strips
605,2020-01-26,-1.0,Test Strips
606,2020-01-27,-1.0,Test Strips
607,2020-01-28,-1.0,Test Strips
608,2020-01-29,-1.0,Test Strips
609,2020-01-30,-1.0,Test Strips
610,2020-01-31,-1.0,Test Strips
611,2020-02-01,-1.0,Test Strips
612,2020-02-02,-1.0,Test Strips
613,2020-02-03,-1.0,Test Strips
614,2020-02-04,-1.0,Test Strips
615,2020-02-05,-1.0,Test Strips
616,2020-02-06,-1.0,Test Strips
617,2020-02-07,-1.0,Test Strips
618,2020-02-08,-1.0,Test Strips
619,2020-02-09,-1.0,Test Strips
620,2020-02-10,-1.0,Test Strips
621,2020-02-11,-1.0,Test Strips
622,2020-02-12,-1.0,Test Strips
623,2020-02-13,-1.0,Test Strips
624,2020-02-14,-1.0,Test Strips
625,2020-02-15,-1.0,Test Strips
626,2020-02-16,-1.0,Test Strips
627,2020-02-17,-1.0,Test Strips
628,2020-02-18,-1.0,Test Strips
629,2020-02-19,-1.0,Test Strips
630,2020-02-20,-1.0,Test Strips
631,2020-02-21,-1.0,Test Strips
632,2020-02-22,-1.0,Test Strips
633,2020-02-23,-1.0,Test Strips
634,2020-02-24,-1.0,Test Strips
635,2020-02-25,-1.0,Test Strips
636,2020-02-26,-1.0,Test Strips
637,2020-02-27,4534.0,Test Strips
638,2020-02-28,4534.0,Test Strips
639,2020-02-29,4534.0,Test Strips
640,2020-03-01,5110.0,Test Strips
641,2020-03-02,5110.0,Test Strips
642,2020-03-03,5110.0,Test Strips
643,2020-03-04,5110.0,Test Strips
644,2020-03-05,5110.0,Test Strips
645,2020-03-06,5110.0,Test Strips
646,2020-03-07,5110.0,Test Strips
647,2020-03-08,5110.0,Test Strips
648,2020-03-09,5110.0,Test Strips
649,2020-03-10,4911.0,Test Strips
650,2020-03-11,4911.0,Test Strips
651,2020-03-12,4911.0,Test Strips
652,2020-03-13,4911.0,Test Strips
653,2020-03-14,4911.0,Test Strips
654,2020-03-15,4911.0,Test Strips
655,2020-03-16,4911.0,Test Strips
656,2020-03-17,4290.0,Test Strips
657,2020-03-18,4290.0,Test Strips
658,2020-03-19,4290.0,Test Strips
659,2020-03-20,4290.0,Test Strips
660,2020-03-21,5988.0,Test Strips
661,2020-03-22,5988.0,Test Strips
662,2020-03-23,5988.0,Test Strips
663,2020-03-24,5988.0,Test Strips
664,2020-03-25,5988.0,Test Strips
665,2020-03-26,5988.0,Test Strips
666,2020-03-27,5294.0,Test Strips
667,2020-03-28,5294.0,Test Strips
668,2020-03-29,5294.0,Test Strips
669,2020-03-30,5294.0,Test Strips
670,2020-03-31,5429.0,Test Strips
671,2020-04-01,5037.0,Test Strips
672,2020-04-02,5037.0,Test Strips
673,2020-04-03,5037.0,Test Strips
674,2020-04-04,5587.0,Test Strips
675,2020-04-05,5587.0,Test Strips
676,2020-04-06,5587.0,Test Strips
677,2020-04-07,5587.0,Test Strips
678,2020-04-08,5587.0,Test Strips
679,2020-04-09,4823.0,Test Strips
680,2020-04-10,4823.0,Test Strips
681,2020-04-11,4823.0,Test Strips
682,2020-04-12,4823.0,Test Strips
683,2020-04-13,4851.0,Test Strips
684,2020-04-14,4851.0,Test Strips
685,2020-04-15,4851.0,Test Strips
686,2020-04-16,4851.0,Test Strips
687,2020-04-17,6628.0,Test Strips
688,2020-04-18,6628.0,Test Strips
689,2020-04-19,6628.0,Test Strips
690,2020-04-20,7408.0,Test Strips
691,2020-04-21,7408.0,Test Strips
692,2020-04-22,5145.0,Test Strips
693,2020-04-23,5145.0,Test Strips
694,2020-04-24,5145.0,Test Strips
695,2020-04-25,6537.0,Test Strips
