,date,value,name_B084QF6HZV
334,2021-01-17,5587.0,Wall & Tabletop Frames
335,2021-01-18,7242.0,Wall & Tabletop Frames
336,2021-01-19,7242.0,Wall & Tabletop Frames
337,2021-01-20,5611.0,Wall & Tabletop Frames
338,2021-01-21,5987.0,Wall & Tabletop Frames
339,2021-01-22,5987.0,Wall & Tabletop Frames
340,2021-01-23,5987.0,Wall & Tabletop Frames
341,2021-01-24,7471.0,Wall & Tabletop Frames
342,2021-01-25,7471.0,Wall & Tabletop Frames
343,2021-01-26,7014.0,Wall & Tabletop Frames
344,2021-01-27,7014.0,Wall & Tabletop Frames
345,2021-01-28,5984.0,Wall & Tabletop Frames
346,2021-01-29,6893.0,Wall & Tabletop Frames
347,2021-01-30,6893.0,Wall & Tabletop Frames
348,2021-01-31,6893.0,Wall & Tabletop Frames
349,2021-02-01,6045.0,Wall & Tabletop Frames
350,2021-02-02,8100.0,Wall & Tabletop Frames
351,2021-02-03,7918.0,Wall & Tabletop Frames
352,2021-02-04,7918.0,Wall & Tabletop Frames
353,2021-02-05,5858.0,Wall & Tabletop Frames
354,2021-02-06,5858.0,Wall & Tabletop Frames
355,2021-02-07,5858.0,Wall & Tabletop Frames
356,2021-02-08,7674.0,Wall & Tabletop Frames
357,2021-02-09,7674.0,Wall & Tabletop Frames
358,2021-02-10,6950.0,Wall & Tabletop Frames
359,2021-02-11,6950.0,Wall & Tabletop Frames
360,2021-02-12,8341.0,Wall & Tabletop Frames
361,2021-02-13,8341.0,Wall & Tabletop Frames
362,2021-02-14,8341.0,Wall & Tabletop Frames
363,2021-02-15,8642.0,Wall & Tabletop Frames
364,2021-02-16,9839.0,Wall & Tabletop Frames
365,2021-02-17,9839.0,Wall & Tabletop Frames
366,2021-02-18,8046.0,Wall & Tabletop Frames
367,2021-02-19,8046.0,Wall & Tabletop Frames
368,2021-02-20,8235.0,Wall & Tabletop Frames
369,2021-02-21,8235.0,Wall & Tabletop Frames
370,2021-02-22,7576.0,Wall & Tabletop Frames
371,2021-02-23,9919.0,Wall & Tabletop Frames
372,2021-02-24,8652.0,Wall & Tabletop Frames
373,2021-02-25,8652.0,Wall & Tabletop Frames
374,2021-02-26,8480.0,Wall & Tabletop Frames
375,2021-02-27,8480.0,Wall & Tabletop Frames
376,2021-02-28,9217.0,Wall & Tabletop Frames
377,2021-03-01,9217.0,Wall & Tabletop Frames
378,2021-03-02,9217.0,Wall & Tabletop Frames
379,2021-03-03,8977.0,Wall & Tabletop Frames
380,2021-03-04,8310.0,Wall & Tabletop Frames
381,2021-03-05,8310.0,Wall & Tabletop Frames
382,2021-03-06,13538.0,Wall & Tabletop Frames
383,2021-03-07,13718.0,Wall & Tabletop Frames
384,2021-03-08,13718.0,Wall & Tabletop Frames
385,2021-03-09,10075.0,Wall & Tabletop Frames
386,2021-03-10,12557.0,Wall & Tabletop Frames
387,2021-03-11,12557.0,Wall & Tabletop Frames
388,2021-03-12,11872.0,Wall & Tabletop Frames
389,2021-03-13,11872.0,Wall & Tabletop Frames
390,2021-03-14,15551.0,Wall & Tabletop Frames
391,2021-03-15,15551.0,Wall & Tabletop Frames
392,2021-03-16,15551.0,Wall & Tabletop Frames
393,2021-03-17,14343.0,Wall & Tabletop Frames
394,2021-03-18,14343.0,Wall & Tabletop Frames
395,2021-03-19,14343.0,Wall & Tabletop Frames
396,2021-03-20,12564.0,Wall & Tabletop Frames
397,2021-03-21,10628.0,Wall & Tabletop Frames
398,2021-03-22,10628.0,Wall & Tabletop Frames
399,2021-03-23,10628.0,Wall & Tabletop Frames
400,2021-03-24,12214.0,Wall & Tabletop Frames
401,2021-03-25,12571.0,Wall & Tabletop Frames
402,2021-03-26,12571.0,Wall & Tabletop Frames
403,2021-03-27,9461.0,Wall & Tabletop Frames
404,2021-03-28,9461.0,Wall & Tabletop Frames
405,2021-03-29,9292.0,Wall & Tabletop Frames
406,2021-03-30,10842.0,Wall & Tabletop Frames
407,2021-03-31,10842.0,Wall & Tabletop Frames
408,2021-04-01,9672.0,Wall & Tabletop Frames
409,2021-04-02,10974.0,Wall & Tabletop Frames
410,2021-04-03,10974.0,Wall & Tabletop Frames
411,2021-04-04,11300.0,Wall & Tabletop Frames
412,2021-04-05,10459.0,Wall & Tabletop Frames
413,2021-04-06,10459.0,Wall & Tabletop Frames
414,2021-04-07,10459.0,Wall & Tabletop Frames
415,2021-04-08,12703.0,Wall & Tabletop Frames
416,2021-04-09,10924.0,Wall & Tabletop Frames
417,2021-04-10,12580.0,Wall & Tabletop Frames
418,2021-04-11,12580.0,Wall & Tabletop Frames
419,2021-04-12,11201.0,Wall & Tabletop Frames
420,2021-04-13,13431.0,Wall & Tabletop Frames
421,2021-04-14,12455.0,Wall & Tabletop Frames
422,2021-04-15,12911.0,Wall & Tabletop Frames
423,2021-04-16,10428.0,Wall & Tabletop Frames
424,2021-04-17,10428.0,Wall & Tabletop Frames
425,2021-04-18,12036.0,Wall & Tabletop Frames
426,2021-04-19,12881.0,Wall & Tabletop Frames
427,2021-04-20,12881.0,Wall & Tabletop Frames
428,2021-04-21,12881.0,Wall & Tabletop Frames
429,2021-04-22,12381.0,Wall & Tabletop Frames
430,2021-04-23,9597.0,Wall & Tabletop Frames
431,2021-04-24,11415.0,Wall & Tabletop Frames
432,2021-04-25,12609.0,Wall & Tabletop Frames
433,2021-04-26,14027.0,Wall & Tabletop Frames
434,2021-04-27,12987.0,Wall & Tabletop Frames
435,2021-04-28,18010.0,Wall & Tabletop Frames
436,2021-04-29,18010.0,Wall & Tabletop Frames
437,2021-04-30,20774.0,Wall & Tabletop Frames
438,2021-05-01,20774.0,Wall & Tabletop Frames
439,2021-05-02,20774.0,Wall & Tabletop Frames
440,2021-05-03,17182.0,Wall & Tabletop Frames
441,2021-05-04,17182.0,Wall & Tabletop Frames
442,2021-05-05,17182.0,Wall & Tabletop Frames
443,2021-05-06,17689.0,Wall & Tabletop Frames
444,2021-05-07,17689.0,Wall & Tabletop Frames
445,2021-05-08,14340.0,Wall & Tabletop Frames
446,2021-05-09,14340.0,Wall & Tabletop Frames
447,2021-05-10,14026.0,Wall & Tabletop Frames
448,2021-05-11,14026.0,Wall & Tabletop Frames
449,2021-05-12,15454.0,Wall & Tabletop Frames
450,2021-05-13,14886.0,Wall & Tabletop Frames
451,2021-05-14,14886.0,Wall & Tabletop Frames
452,2021-05-15,14886.0,Wall & Tabletop Frames
453,2021-05-16,18535.0,Wall & Tabletop Frames
454,2021-05-17,18458.0,Wall & Tabletop Frames
455,2021-05-18,18458.0,Wall & Tabletop Frames
456,2021-05-19,18458.0,Wall & Tabletop Frames
457,2021-05-20,15273.0,Wall & Tabletop Frames
458,2021-05-21,16561.0,Wall & Tabletop Frames
459,2021-05-22,16561.0,Wall & Tabletop Frames
460,2021-05-23,16561.0,Wall & Tabletop Frames
461,2021-05-24,20966.0,Wall & Tabletop Frames
462,2021-05-25,18923.0,Wall & Tabletop Frames
463,2021-05-26,18923.0,Wall & Tabletop Frames
464,2021-05-27,18923.0,Wall & Tabletop Frames
465,2021-05-28,19284.0,Wall & Tabletop Frames
466,2021-05-29,19284.0,Wall & Tabletop Frames
467,2021-05-30,19284.0,Wall & Tabletop Frames
468,2021-05-31,28561.0,Wall & Tabletop Frames
469,2021-06-01,28561.0,Wall & Tabletop Frames
470,2021-06-02,28561.0,Wall & Tabletop Frames
471,2021-06-03,17787.0,Wall & Tabletop Frames
472,2021-06-04,17787.0,Wall & Tabletop Frames
473,2021-06-05,17787.0,Wall & Tabletop Frames
474,2021-06-06,17787.0,Wall & Tabletop Frames
