,date,value,name_B07NH7NWYW
367,2021-05-29,1643.0,Easels
368,2021-05-30,2487.0,Easels
369,2021-05-31,2487.0,Easels
370,2021-06-01,1691.0,Easels
371,2021-06-02,1691.0,Easels
372,2021-06-03,1537.0,Easels
373,2021-06-04,1537.0,Easels
374,2021-06-05,1537.0,Easels
375,2021-06-06,2473.0,Easels
376,2021-06-07,2473.0,Easels
377,2021-06-08,2020.0,Easels
378,2021-06-09,2020.0,Easels
379,2021-06-10,2020.0,Easels
380,2021-06-11,2083.0,Easels
381,2021-06-12,2083.0,Easels
382,2021-06-13,2700.0,Easels
383,2021-06-14,2700.0,Easels
384,2021-06-15,1701.0,Easels
385,2021-06-16,1701.0,Easels
386,2021-06-17,1382.0,Easels
387,2021-06-18,1051.0,Easels
388,2021-06-19,1041.0,Easels
389,2021-06-20,1041.0,Easels
390,2021-06-21,1683.0,Easels
391,2021-06-22,1683.0,Easels
392,2021-06-23,782.0,Easels
393,2021-06-24,782.0,Easels
394,2021-06-25,1126.0,Easels
395,2021-06-26,1126.0,Easels
396,2021-06-27,1126.0,Easels
397,2021-06-28,1410.0,Easels
398,2021-06-29,1397.0,Easels
399,2021-06-30,1701.0,Easels
400,2021-07-01,1698.0,Easels
401,2021-07-02,1698.0,Easels
402,2021-07-03,1698.0,Easels
403,2021-07-04,2025.0,Easels
404,2021-07-05,2025.0,Easels
405,2021-07-06,2025.0,Easels
406,2021-07-07,1968.0,Easels
407,2021-07-08,1229.0,Easels
408,2021-07-09,1229.0,Easels
409,2021-07-10,2206.0,Easels
