,date,value,name_B0714R5SXN
232,2021-01-20,11615.0,Copy & Multipurpose Paper
233,2021-01-21,8327.0,Copy & Multipurpose Paper
234,2021-01-22,8327.0,Copy & Multipurpose Paper
235,2021-01-23,6759.0,Copy & Multipurpose Paper
236,2021-01-24,6759.0,Copy & Multipurpose Paper
237,2021-01-25,5989.0,Copy & Multipurpose Paper
238,2021-01-26,6759.0,Copy & Multipurpose Paper
239,2021-01-27,5592.0,Copy & Multipurpose Paper
240,2021-01-28,5592.0,Copy & Multipurpose Paper
241,2021-01-29,5592.0,Copy & Multipurpose Paper
242,2021-01-30,5592.0,Copy & Multipurpose Paper
243,2021-01-31,7431.0,Copy & Multipurpose Paper
244,2021-02-01,7431.0,Copy & Multipurpose Paper
245,2021-02-02,7431.0,Copy & Multipurpose Paper
246,2021-02-03,7651.0,Copy & Multipurpose Paper
247,2021-02-04,7651.0,Copy & Multipurpose Paper
248,2021-02-05,7651.0,Copy & Multipurpose Paper
249,2021-02-06,7651.0,Copy & Multipurpose Paper
250,2021-02-07,7651.0,Copy & Multipurpose Paper
251,2021-02-08,8180.0,Copy & Multipurpose Paper
252,2021-02-09,8283.0,Copy & Multipurpose Paper
253,2021-02-10,8283.0,Copy & Multipurpose Paper
254,2021-02-11,7082.0,Copy & Multipurpose Paper
255,2021-02-12,7082.0,Copy & Multipurpose Paper
256,2021-02-13,7082.0,Copy & Multipurpose Paper
257,2021-02-14,6997.0,Copy & Multipurpose Paper
258,2021-02-15,6997.0,Copy & Multipurpose Paper
259,2021-02-16,6997.0,Copy & Multipurpose Paper
260,2021-02-17,8894.0,Copy & Multipurpose Paper
261,2021-02-18,8050.0,Copy & Multipurpose Paper
262,2021-02-19,8050.0,Copy & Multipurpose Paper
263,2021-02-20,8050.0,Copy & Multipurpose Paper
264,2021-02-21,8050.0,Copy & Multipurpose Paper
265,2021-02-22,11292.0,Copy & Multipurpose Paper
266,2021-02-23,11292.0,Copy & Multipurpose Paper
267,2021-02-24,11292.0,Copy & Multipurpose Paper
268,2021-02-25,11946.0,Copy & Multipurpose Paper
269,2021-02-26,10820.0,Copy & Multipurpose Paper
270,2021-02-27,10820.0,Copy & Multipurpose Paper
271,2021-02-28,10820.0,Copy & Multipurpose Paper
272,2021-03-01,8237.0,Copy & Multipurpose Paper
273,2021-03-02,8237.0,Copy & Multipurpose Paper
274,2021-03-03,8237.0,Copy & Multipurpose Paper
275,2021-03-04,12141.0,Copy & Multipurpose Paper
276,2021-03-05,12141.0,Copy & Multipurpose Paper
277,2021-03-06,12141.0,Copy & Multipurpose Paper
