,date,value,name_B07S7R5V72
296,2021-03-18,19802.0,Trace Minerals
297,2021-03-19,19376.0,Trace Minerals
298,2021-03-20,22204.0,Trace Minerals
299,2021-03-21,18115.0,Trace Minerals
300,2021-03-22,21830.0,Trace Minerals
301,2021-03-23,22495.0,Trace Minerals
302,2021-03-24,22495.0,Trace Minerals
303,2021-03-25,23036.0,Trace Minerals
304,2021-03-26,24164.0,Trace Minerals
305,2021-03-27,24164.0,Trace Minerals
306,2021-03-28,21102.0,Trace Minerals
307,2021-03-29,20242.0,Trace Minerals
308,2021-03-30,20242.0,Trace Minerals
309,2021-03-31,22099.0,Trace Minerals
310,2021-04-01,25811.0,Trace Minerals
311,2021-04-02,21400.0,Trace Minerals
312,2021-04-03,21400.0,Trace Minerals
313,2021-04-04,21400.0,Trace Minerals
314,2021-04-05,23311.0,Trace Minerals
315,2021-04-06,21483.0,Trace Minerals
316,2021-04-07,22085.0,Trace Minerals
317,2021-04-08,21745.0,Trace Minerals
318,2021-04-09,22333.0,Trace Minerals
319,2021-04-10,22333.0,Trace Minerals
320,2021-04-11,22333.0,Trace Minerals
321,2021-04-12,20661.0,Trace Minerals
322,2021-04-13,19460.0,Trace Minerals
323,2021-04-14,19460.0,Trace Minerals
324,2021-04-15,18226.0,Trace Minerals
325,2021-04-16,18226.0,Trace Minerals
326,2021-04-17,18226.0,Trace Minerals
327,2021-04-18,16723.0,Trace Minerals
328,2021-04-19,18193.0,Trace Minerals
329,2021-04-20,18193.0,Trace Minerals
330,2021-04-21,17763.0,Trace Minerals
331,2021-04-22,15820.0,Trace Minerals
332,2021-04-23,16670.0,Trace Minerals
333,2021-04-24,16288.0,Trace Minerals
334,2021-04-25,17104.0,Trace Minerals
335,2021-04-26,15947.0,Trace Minerals
336,2021-04-27,14355.0,Trace Minerals
337,2021-04-28,14355.0,Trace Minerals
338,2021-04-29,16147.0,Trace Minerals
339,2021-04-30,17212.0,Trace Minerals
340,2021-05-01,17212.0,Trace Minerals
341,2021-05-02,15827.0,Trace Minerals
342,2021-05-03,15627.0,Trace Minerals
343,2021-05-04,14913.0,Trace Minerals
344,2021-05-05,17798.0,Trace Minerals
345,2021-05-06,15705.0,Trace Minerals
346,2021-05-07,19082.0,Trace Minerals
347,2021-05-08,17430.0,Trace Minerals
348,2021-05-09,17430.0,Trace Minerals
349,2021-05-10,14092.0,Trace Minerals
350,2021-05-11,18144.0,Trace Minerals
351,2021-05-12,18960.0,Trace Minerals
352,2021-05-13,17935.0,Trace Minerals
353,2021-05-14,17935.0,Trace Minerals
354,2021-05-15,17234.0,Trace Minerals
355,2021-05-16,17234.0,Trace Minerals
356,2021-05-17,17044.0,Trace Minerals
357,2021-05-18,16514.0,Trace Minerals
358,2021-05-19,16496.0,Trace Minerals
359,2021-05-20,18288.0,Trace Minerals
360,2021-05-21,19522.0,Trace Minerals
361,2021-05-22,17131.0,Trace Minerals
362,2021-05-23,17131.0,Trace Minerals
363,2021-05-24,16635.0,Trace Minerals
364,2021-05-25,17408.0,Trace Minerals
365,2021-05-26,15049.0,Trace Minerals
366,2021-05-27,17534.0,Trace Minerals
367,2021-05-28,18323.0,Trace Minerals
368,2021-05-29,17247.0,Trace Minerals
369,2021-05-30,14355.0,Trace Minerals
370,2021-05-31,14609.0,Trace Minerals
371,2021-06-01,16478.0,Trace Minerals
372,2021-06-02,16478.0,Trace Minerals
373,2021-06-03,14805.0,Trace Minerals
374,2021-06-04,12965.0,Trace Minerals
375,2021-06-05,14152.0,Trace Minerals
376,2021-06-06,14769.0,Trace Minerals
377,2021-06-07,14769.0,Trace Minerals
378,2021-06-08,16870.0,Trace Minerals
379,2021-06-09,15229.0,Trace Minerals
380,2021-06-10,15120.0,Trace Minerals
381,2021-06-11,15120.0,Trace Minerals
382,2021-06-12,15120.0,Trace Minerals
383,2021-06-13,19002.0,Trace Minerals
384,2021-06-14,19002.0,Trace Minerals
385,2021-06-15,17669.0,Trace Minerals
386,2021-06-16,14632.0,Trace Minerals
387,2021-06-17,14485.0,Trace Minerals
388,2021-06-18,16329.0,Trace Minerals
389,2021-06-19,16329.0,Trace Minerals
390,2021-06-20,16009.0,Trace Minerals
391,2021-06-21,16446.0,Trace Minerals
392,2021-06-22,16279.0,Trace Minerals
393,2021-06-23,17000.0,Trace Minerals
394,2021-06-24,13727.0,Trace Minerals
395,2021-06-25,16558.0,Trace Minerals
396,2021-06-26,14954.0,Trace Minerals
397,2021-06-27,14954.0,Trace Minerals
398,2021-06-28,13837.0,Trace Minerals
399,2021-06-29,14354.0,Trace Minerals
400,2021-06-30,14354.0,Trace Minerals
401,2021-07-01,17338.0,Trace Minerals
402,2021-07-02,17338.0,Trace Minerals
403,2021-07-03,13368.0,Trace Minerals
404,2021-07-04,13368.0,Trace Minerals
405,2021-07-05,13104.0,Trace Minerals
406,2021-07-06,13104.0,Trace Minerals
407,2021-07-07,16018.0,Trace Minerals
408,2021-07-08,16018.0,Trace Minerals
409,2021-07-09,16055.0,Trace Minerals
410,2021-07-10,14816.0,Trace Minerals
