,date,value,name_B00Q4RRJ1G
317,2021-01-07,16587.0,Ankle Braces
318,2021-01-08,14977.0,Ankle Braces
319,2021-01-09,15977.0,Ankle Braces
320,2021-01-10,15561.0,Ankle Braces
321,2021-01-11,17496.0,Ankle Braces
322,2021-01-12,13420.0,Ankle Braces
323,2021-01-13,12291.0,Ankle Braces
324,2021-01-14,12715.0,Ankle Braces
325,2021-01-15,12905.0,Ankle Braces
326,2021-01-16,16884.0,Ankle Braces
327,2021-01-17,16658.0,Ankle Braces
328,2021-01-18,18329.0,Ankle Braces
329,2021-01-19,17164.0,Ankle Braces
330,2021-01-20,16575.0,Ankle Braces
331,2021-01-21,12849.0,Ankle Braces
332,2021-01-22,14178.0,Ankle Braces
333,2021-01-23,12117.0,Ankle Braces
334,2021-01-24,12288.0,Ankle Braces
335,2021-01-25,14217.0,Ankle Braces
336,2021-01-26,12600.0,Ankle Braces
337,2021-01-27,12600.0,Ankle Braces
338,2021-01-28,12600.0,Ankle Braces
339,2021-01-29,12433.0,Ankle Braces
340,2021-01-30,14055.0,Ankle Braces
341,2021-01-31,14055.0,Ankle Braces
342,2021-02-01,12488.0,Ankle Braces
343,2021-02-02,16640.0,Ankle Braces
344,2021-02-03,16640.0,Ankle Braces
345,2021-02-04,16640.0,Ankle Braces
346,2021-02-05,19121.0,Ankle Braces
347,2021-02-06,19624.0,Ankle Braces
348,2021-02-07,19624.0,Ankle Braces
349,2021-02-08,19624.0,Ankle Braces
350,2021-02-09,13564.0,Ankle Braces
351,2021-02-10,13564.0,Ankle Braces
352,2021-02-11,13756.0,Ankle Braces
353,2021-02-12,11923.0,Ankle Braces
354,2021-02-13,14812.0,Ankle Braces
355,2021-02-14,13560.0,Ankle Braces
356,2021-02-15,15914.0,Ankle Braces
357,2021-02-16,15304.0,Ankle Braces
358,2021-02-17,15304.0,Ankle Braces
359,2021-02-18,13704.0,Ankle Braces
360,2021-02-19,13704.0,Ankle Braces
361,2021-02-20,18779.0,Ankle Braces
362,2021-02-21,14542.0,Ankle Braces
363,2021-02-22,15011.0,Ankle Braces
364,2021-02-23,16150.0,Ankle Braces
365,2021-02-24,15283.0,Ankle Braces
366,2021-02-25,12559.0,Ankle Braces
367,2021-02-26,16148.0,Ankle Braces
368,2021-02-27,14187.0,Ankle Braces
369,2021-02-28,14960.0,Ankle Braces
370,2021-03-01,14960.0,Ankle Braces
