,date,value,name_B089B2P67Z
306,2021-04-01,8040.0,Blood Glucose Monitors
307,2021-04-02,8040.0,Blood Glucose Monitors
308,2021-04-03,6609.0,Blood Glucose Monitors
309,2021-04-04,7287.0,Blood Glucose Monitors
310,2021-04-05,7287.0,Blood Glucose Monitors
311,2021-04-06,7287.0,Blood Glucose Monitors
312,2021-04-07,4852.0,Blood Glucose Monitors
313,2021-04-08,4852.0,Blood Glucose Monitors
314,2021-04-09,4852.0,Blood Glucose Monitors
315,2021-04-10,5595.0,Blood Glucose Monitors
316,2021-04-11,5589.0,Blood Glucose Monitors
317,2021-04-12,5482.0,Blood Glucose Monitors
318,2021-04-13,6461.0,Blood Glucose Monitors
319,2021-04-14,6461.0,Blood Glucose Monitors
320,2021-04-15,6461.0,Blood Glucose Monitors
321,2021-04-16,6461.0,Blood Glucose Monitors
322,2021-04-17,6461.0,Blood Glucose Monitors
323,2021-04-18,5176.0,Blood Glucose Monitors
324,2021-04-19,6053.0,Blood Glucose Monitors
325,2021-04-20,5596.0,Blood Glucose Monitors
326,2021-04-21,5596.0,Blood Glucose Monitors
327,2021-04-22,4918.0,Blood Glucose Monitors
328,2021-04-23,4694.0,Blood Glucose Monitors
329,2021-04-24,4694.0,Blood Glucose Monitors
330,2021-04-25,5255.0,Blood Glucose Monitors
331,2021-04-26,5255.0,Blood Glucose Monitors
332,2021-04-27,5032.0,Blood Glucose Monitors
333,2021-04-28,5032.0,Blood Glucose Monitors
334,2021-04-29,5032.0,Blood Glucose Monitors
335,2021-04-30,5662.0,Blood Glucose Monitors
336,2021-05-01,5662.0,Blood Glucose Monitors
337,2021-05-02,5662.0,Blood Glucose Monitors
338,2021-05-03,6778.0,Blood Glucose Monitors
339,2021-05-04,6778.0,Blood Glucose Monitors
340,2021-05-05,6427.0,Blood Glucose Monitors
341,2021-05-06,6427.0,Blood Glucose Monitors
342,2021-05-07,5137.0,Blood Glucose Monitors
343,2021-05-08,5301.0,Blood Glucose Monitors
344,2021-05-09,5301.0,Blood Glucose Monitors
345,2021-05-10,5187.0,Blood Glucose Monitors
346,2021-05-11,5391.0,Blood Glucose Monitors
347,2021-05-12,5839.0,Blood Glucose Monitors
348,2021-05-13,5839.0,Blood Glucose Monitors
349,2021-05-14,5213.0,Blood Glucose Monitors
350,2021-05-15,5004.0,Blood Glucose Monitors
351,2021-05-16,5004.0,Blood Glucose Monitors
352,2021-05-17,6775.0,Blood Glucose Monitors
353,2021-05-18,6557.0,Blood Glucose Monitors
354,2021-05-19,6557.0,Blood Glucose Monitors
355,2021-05-20,6641.0,Blood Glucose Monitors
356,2021-05-21,7028.0,Blood Glucose Monitors
357,2021-05-22,7028.0,Blood Glucose Monitors
358,2021-05-23,6823.0,Blood Glucose Monitors
359,2021-05-24,5811.0,Blood Glucose Monitors
360,2021-05-25,6174.0,Blood Glucose Monitors
361,2021-05-26,6219.0,Blood Glucose Monitors
362,2021-05-27,6103.0,Blood Glucose Monitors
363,2021-05-28,6480.0,Blood Glucose Monitors
364,2021-05-29,6480.0,Blood Glucose Monitors
365,2021-05-30,5737.0,Blood Glucose Monitors
366,2021-05-31,6676.0,Blood Glucose Monitors
367,2021-06-01,6764.0,Blood Glucose Monitors
368,2021-06-02,6764.0,Blood Glucose Monitors
369,2021-06-03,6764.0,Blood Glucose Monitors
370,2021-06-04,6764.0,Blood Glucose Monitors
371,2021-06-05,5442.0,Blood Glucose Monitors
