,date,value,name_B088LWW7JN
334,2021-04-17,35777.0,Bed Pillows
335,2021-04-18,35777.0,Bed Pillows
336,2021-04-19,40991.0,Bed Pillows
337,2021-04-20,40991.0,Bed Pillows
338,2021-04-21,40991.0,Bed Pillows
339,2021-04-22,40991.0,Bed Pillows
340,2021-04-23,40991.0,Bed Pillows
341,2021-04-24,40991.0,Bed Pillows
342,2021-04-25,40991.0,Bed Pillows
343,2021-04-26,24597.0,Bed Pillows
344,2021-04-27,21313.0,Bed Pillows
345,2021-04-28,21313.0,Bed Pillows
346,2021-04-29,21313.0,Bed Pillows
347,2021-04-30,21313.0,Bed Pillows
348,2021-05-01,22351.0,Bed Pillows
349,2021-05-02,26297.0,Bed Pillows
350,2021-05-03,26297.0,Bed Pillows
351,2021-05-04,20105.0,Bed Pillows
352,2021-05-05,20105.0,Bed Pillows
353,2021-05-06,20105.0,Bed Pillows
354,2021-05-07,24356.0,Bed Pillows
355,2021-05-08,24356.0,Bed Pillows
356,2021-05-09,14404.0,Bed Pillows
357,2021-05-10,14404.0,Bed Pillows
358,2021-05-11,14404.0,Bed Pillows
359,2021-05-12,14404.0,Bed Pillows
360,2021-05-13,14404.0,Bed Pillows
361,2021-05-14,14404.0,Bed Pillows
362,2021-05-15,15872.0,Bed Pillows
363,2021-05-16,15872.0,Bed Pillows
364,2021-05-17,9479.0,Bed Pillows
365,2021-05-18,9479.0,Bed Pillows
366,2021-05-19,10655.0,Bed Pillows
367,2021-05-20,10655.0,Bed Pillows
368,2021-05-21,10655.0,Bed Pillows
369,2021-05-22,12075.0,Bed Pillows
370,2021-05-23,9969.0,Bed Pillows
371,2021-05-24,9969.0,Bed Pillows
372,2021-05-25,8546.0,Bed Pillows
373,2021-05-26,9831.0,Bed Pillows
374,2021-05-27,9831.0,Bed Pillows
375,2021-05-28,9228.0,Bed Pillows
376,2021-05-29,9228.0,Bed Pillows
377,2021-05-30,10375.0,Bed Pillows
378,2021-05-31,10375.0,Bed Pillows
379,2021-06-01,7422.0,Bed Pillows
380,2021-06-02,7422.0,Bed Pillows
381,2021-06-03,9177.0,Bed Pillows
382,2021-06-04,9972.0,Bed Pillows
383,2021-06-05,12693.0,Bed Pillows
384,2021-06-06,12693.0,Bed Pillows
385,2021-06-07,12693.0,Bed Pillows
386,2021-06-08,17228.0,Bed Pillows
387,2021-06-09,20270.0,Bed Pillows
388,2021-06-10,21307.0,Bed Pillows
389,2021-06-11,21307.0,Bed Pillows
390,2021-06-12,17938.0,Bed Pillows
391,2021-06-13,19056.0,Bed Pillows
392,2021-06-14,19056.0,Bed Pillows
393,2021-06-15,13727.0,Bed Pillows
394,2021-06-16,20550.0,Bed Pillows
395,2021-06-17,20550.0,Bed Pillows
396,2021-06-18,20550.0,Bed Pillows
397,2021-06-19,24975.0,Bed Pillows
398,2021-06-20,23751.0,Bed Pillows
399,2021-06-21,20176.0,Bed Pillows
400,2021-06-22,16896.0,Bed Pillows
401,2021-06-23,16896.0,Bed Pillows
402,2021-06-24,16896.0,Bed Pillows
403,2021-06-25,23188.0,Bed Pillows
404,2021-06-26,17479.0,Bed Pillows
405,2021-06-27,17479.0,Bed Pillows
406,2021-06-28,21220.0,Bed Pillows
407,2021-06-29,21523.0,Bed Pillows
408,2021-06-30,18049.0,Bed Pillows
409,2021-07-01,18445.0,Bed Pillows
410,2021-07-02,18445.0,Bed Pillows
411,2021-07-03,24124.0,Bed Pillows
412,2021-07-04,24124.0,Bed Pillows
413,2021-07-05,17940.0,Bed Pillows
414,2021-07-06,17940.0,Bed Pillows
415,2021-07-07,17940.0,Bed Pillows
416,2021-07-08,17940.0,Bed Pillows
417,2021-07-09,16042.0,Bed Pillows
418,2021-07-10,16042.0,Bed Pillows
419,2021-07-11,19587.0,Bed Pillows
