,date,value,name_B07CRLFNDG
323,2019-03-21,32811.0,Bath Towels
324,2019-03-22,32811.0,Bath Towels
325,2019-03-23,32811.0,Bath Towels
326,2019-03-24,32811.0,Bath Towels
327,2019-03-25,32811.0,Bath Towels
328,2019-03-26,32811.0,Bath Towels
329,2019-03-27,32811.0,Bath Towels
330,2019-03-28,51302.0,Bath Towels
331,2019-03-29,51302.0,Bath Towels
332,2019-03-30,51302.0,Bath Towels
333,2019-03-31,50749.0,Bath Towels
334,2019-04-01,50749.0,Bath Towels
335,2019-04-02,50749.0,Bath Towels
336,2019-04-03,50749.0,Bath Towels
337,2019-04-04,50749.0,Bath Towels
338,2019-04-05,50749.0,Bath Towels
339,2019-04-06,50749.0,Bath Towels
340,2019-04-07,50749.0,Bath Towels
341,2019-04-08,66522.0,Bath Towels
342,2019-04-09,66522.0,Bath Towels
343,2019-04-10,66522.0,Bath Towels
344,2019-04-11,66522.0,Bath Towels
345,2019-04-12,66522.0,Bath Towels
346,2019-04-13,66522.0,Bath Towels
347,2019-04-14,66522.0,Bath Towels
348,2019-04-15,66522.0,Bath Towels
349,2019-04-16,62515.0,Bath Towels
350,2019-04-17,52107.0,Bath Towels
351,2019-04-18,52107.0,Bath Towels
352,2019-04-19,52107.0,Bath Towels
353,2019-04-20,52107.0,Bath Towels
354,2019-04-21,52107.0,Bath Towels
355,2019-04-22,52107.0,Bath Towels
356,2019-04-23,52107.0,Bath Towels
357,2019-04-24,52107.0,Bath Towels
358,2019-04-25,46213.0,Bath Towels
359,2019-04-26,46213.0,Bath Towels
360,2019-04-27,46213.0,Bath Towels
361,2019-04-28,46213.0,Bath Towels
362,2019-04-29,46213.0,Bath Towels
363,2019-04-30,46213.0,Bath Towels
364,2019-05-01,46213.0,Bath Towels
365,2019-05-02,46213.0,Bath Towels
366,2019-05-03,33289.0,Bath Towels
367,2019-05-04,33289.0,Bath Towels
368,2019-05-05,44967.0,Bath Towels
369,2019-05-06,54800.0,Bath Towels
370,2019-05-07,39552.0,Bath Towels
371,2019-05-08,62585.0,Bath Towels
372,2019-05-09,48785.0,Bath Towels
373,2019-05-10,55619.0,Bath Towels
374,2019-05-11,45586.0,Bath Towels
375,2019-05-12,54337.0,Bath Towels
376,2019-05-13,45661.0,Bath Towels
377,2019-05-14,36263.0,Bath Towels
378,2019-05-15,36263.0,Bath Towels
379,2019-05-16,36263.0,Bath Towels
380,2019-05-17,43646.0,Bath Towels
381,2019-05-18,50325.0,Bath Towels
382,2019-05-19,48972.0,Bath Towels
383,2019-05-20,38536.0,Bath Towels
384,2019-05-21,50388.0,Bath Towels
385,2019-05-22,42829.0,Bath Towels
386,2019-05-23,46649.0,Bath Towels
387,2019-05-24,55396.0,Bath Towels
388,2019-05-25,47425.0,Bath Towels
389,2019-05-26,62312.0,Bath Towels
390,2019-05-27,42007.0,Bath Towels
391,2019-05-28,36500.0,Bath Towels
392,2019-05-29,44840.0,Bath Towels
393,2019-05-30,47240.0,Bath Towels
394,2019-05-31,39779.0,Bath Towels
395,2019-06-01,38682.0,Bath Towels
396,2019-06-02,30304.0,Bath Towels
397,2019-06-03,33476.0,Bath Towels
398,2019-06-04,44951.0,Bath Towels
399,2019-06-05,45470.0,Bath Towels
400,2019-06-06,57617.0,Bath Towels
401,2019-06-07,51852.0,Bath Towels
402,2019-06-08,45783.0,Bath Towels
403,2019-06-09,37088.0,Bath Towels
404,2019-06-10,42381.0,Bath Towels
405,2019-06-11,42381.0,Bath Towels
406,2019-06-12,40053.0,Bath Towels
407,2019-06-13,33472.0,Bath Towels
408,2019-06-14,25232.0,Bath Towels
409,2019-06-15,26176.0,Bath Towels
410,2019-06-16,30220.0,Bath Towels
411,2019-06-17,28252.0,Bath Towels
412,2019-06-18,28252.0,Bath Towels
413,2019-06-19,47758.0,Bath Towels
414,2019-06-20,44923.0,Bath Towels
415,2019-06-21,54057.0,Bath Towels
416,2019-06-22,28368.0,Bath Towels
417,2019-06-23,42207.0,Bath Towels
418,2019-06-24,52404.0,Bath Towels
419,2019-06-25,51868.0,Bath Towels
420,2019-06-26,49929.0,Bath Towels
421,2019-06-27,52959.0,Bath Towels
422,2019-06-28,52959.0,Bath Towels
423,2019-06-29,47848.0,Bath Towels
424,2019-06-30,53186.0,Bath Towels
425,2019-07-01,47889.0,Bath Towels
426,2019-07-02,53772.0,Bath Towels
427,2019-07-03,41273.0,Bath Towels
428,2019-07-04,52008.0,Bath Towels
429,2019-07-05,42737.0,Bath Towels
430,2019-07-06,41245.0,Bath Towels
431,2019-07-07,37800.0,Bath Towels
432,2019-07-08,25030.0,Bath Towels
433,2019-07-09,40772.0,Bath Towels
434,2019-07-10,27668.0,Bath Towels
435,2019-07-11,49097.0,Bath Towels
436,2019-07-12,50875.0,Bath Towels
437,2019-07-13,65018.0,Bath Towels
438,2019-07-14,48529.0,Bath Towels
439,2019-07-15,42673.0,Bath Towels
440,2019-07-16,37003.0,Bath Towels
441,2019-07-17,41478.0,Bath Towels
442,2019-07-18,44040.0,Bath Towels
443,2019-07-19,49261.0,Bath Towels
444,2019-07-20,58573.0,Bath Towels
445,2019-07-21,58573.0,Bath Towels
446,2019-07-22,45645.0,Bath Towels
447,2019-07-23,67898.0,Bath Towels
448,2019-07-24,59709.0,Bath Towels
449,2019-07-25,45170.0,Bath Towels
450,2019-07-26,55303.0,Bath Towels
451,2019-07-27,64143.0,Bath Towels
452,2019-07-28,64143.0,Bath Towels
453,2019-07-29,45487.0,Bath Towels
454,2019-07-30,51250.0,Bath Towels
455,2019-07-31,48826.0,Bath Towels
456,2019-08-01,52100.0,Bath Towels
457,2019-08-02,67167.0,Bath Towels
458,2019-08-03,65813.0,Bath Towels
459,2019-08-04,38421.0,Bath Towels
460,2019-08-05,40818.0,Bath Towels
461,2019-08-06,63568.0,Bath Towels
462,2019-08-07,63568.0,Bath Towels
463,2019-08-08,38111.0,Bath Towels
464,2019-08-09,51232.0,Bath Towels
465,2019-08-10,42776.0,Bath Towels
