,date,value,name_B088B3YDH4
335,2021-04-19,11829.0,Floating Shelves
336,2021-04-20,11829.0,Floating Shelves
337,2021-04-21,10636.0,Floating Shelves
338,2021-04-22,10636.0,Floating Shelves
339,2021-04-23,14421.0,Floating Shelves
340,2021-04-24,13885.0,Floating Shelves
341,2021-04-25,19797.0,Floating Shelves
342,2021-04-26,19797.0,Floating Shelves
343,2021-04-27,20442.0,Floating Shelves
344,2021-04-28,20442.0,Floating Shelves
345,2021-04-29,20442.0,Floating Shelves
346,2021-04-30,28355.0,Floating Shelves
347,2021-05-01,28355.0,Floating Shelves
348,2021-05-02,28355.0,Floating Shelves
349,2021-05-03,29571.0,Floating Shelves
350,2021-05-04,20221.0,Floating Shelves
351,2021-05-05,20221.0,Floating Shelves
352,2021-05-06,15394.0,Floating Shelves
353,2021-05-07,15084.0,Floating Shelves
354,2021-05-08,15084.0,Floating Shelves
355,2021-05-09,15084.0,Floating Shelves
356,2021-05-10,23687.0,Floating Shelves
357,2021-05-11,23687.0,Floating Shelves
358,2021-05-12,23687.0,Floating Shelves
359,2021-05-13,23687.0,Floating Shelves
360,2021-05-14,24385.0,Floating Shelves
361,2021-05-15,24385.0,Floating Shelves
362,2021-05-16,24385.0,Floating Shelves
363,2021-05-17,24385.0,Floating Shelves
364,2021-05-18,27041.0,Floating Shelves
365,2021-05-19,27041.0,Floating Shelves
366,2021-05-20,21832.0,Floating Shelves
367,2021-05-21,21832.0,Floating Shelves
368,2021-05-22,21832.0,Floating Shelves
369,2021-05-23,21832.0,Floating Shelves
370,2021-05-24,27634.0,Floating Shelves
371,2021-05-25,27634.0,Floating Shelves
372,2021-05-26,27634.0,Floating Shelves
373,2021-05-27,34158.0,Floating Shelves
374,2021-05-28,33880.0,Floating Shelves
375,2021-05-29,20043.0,Floating Shelves
376,2021-05-30,20043.0,Floating Shelves
377,2021-05-31,25155.0,Floating Shelves
378,2021-06-01,25155.0,Floating Shelves
379,2021-06-02,25155.0,Floating Shelves
380,2021-06-03,22348.0,Floating Shelves
381,2021-06-04,27580.0,Floating Shelves
382,2021-06-05,27580.0,Floating Shelves
383,2021-06-06,43234.0,Floating Shelves
384,2021-06-07,43234.0,Floating Shelves
385,2021-06-08,38344.0,Floating Shelves
386,2021-06-09,38344.0,Floating Shelves
387,2021-06-10,38344.0,Floating Shelves
388,2021-06-11,40033.0,Floating Shelves
389,2021-06-12,40033.0,Floating Shelves
390,2021-06-13,40033.0,Floating Shelves
391,2021-06-14,21621.0,Floating Shelves
392,2021-06-15,21621.0,Floating Shelves
393,2021-06-16,21621.0,Floating Shelves
394,2021-06-17,21621.0,Floating Shelves
395,2021-06-18,16373.0,Floating Shelves
396,2021-06-19,16373.0,Floating Shelves
397,2021-06-20,16373.0,Floating Shelves
398,2021-06-21,20737.0,Floating Shelves
399,2021-06-22,20737.0,Floating Shelves
400,2021-06-23,20737.0,Floating Shelves
401,2021-06-24,22860.0,Floating Shelves
402,2021-06-25,22860.0,Floating Shelves
403,2021-06-26,22860.0,Floating Shelves
404,2021-06-27,22860.0,Floating Shelves
405,2021-06-28,10766.0,Floating Shelves
406,2021-06-29,10766.0,Floating Shelves
407,2021-06-30,12465.0,Floating Shelves
408,2021-07-01,11275.0,Floating Shelves
409,2021-07-02,11275.0,Floating Shelves
410,2021-07-03,7646.0,Floating Shelves
411,2021-07-04,7478.0,Floating Shelves
412,2021-07-05,8684.0,Floating Shelves
413,2021-07-06,8684.0,Floating Shelves
414,2021-07-07,6297.0,Floating Shelves
415,2021-07-08,6198.0,Floating Shelves
416,2021-07-09,5101.0,Floating Shelves
417,2021-07-10,5101.0,Floating Shelves
418,2021-07-11,5523.0,Floating Shelves
