,date,value,name_B07H47T91C
356,2020-06-12,2106.0,Costumes
357,2020-06-13,2083.0,Costumes
358,2020-06-14,2083.0,Costumes
359,2020-06-15,2438.0,Costumes
360,2020-06-16,2438.0,Costumes
361,2020-06-17,2438.0,Costumes
362,2020-06-18,2524.0,Costumes
363,2020-06-19,2524.0,Costumes
364,2020-06-20,2524.0,Costumes
365,2020-06-21,2172.0,Costumes
366,2020-06-22,2172.0,Costumes
367,2020-06-23,2684.0,Costumes
368,2020-06-24,2538.0,Costumes
369,2020-06-25,2538.0,Costumes
370,2020-06-26,2223.0,Costumes
371,2020-06-27,2223.0,Costumes
372,2020-06-28,2723.0,Costumes
373,2020-06-29,2723.0,Costumes
374,2020-06-30,2723.0,Costumes
375,2020-07-01,2844.0,Costumes
376,2020-07-02,2844.0,Costumes
377,2020-07-03,2844.0,Costumes
378,2020-07-04,3226.0,Costumes
379,2020-07-05,3226.0,Costumes
380,2020-07-06,3226.0,Costumes
381,2020-07-07,2986.0,Costumes
382,2020-07-08,2986.0,Costumes
383,2020-07-09,4097.0,Costumes
384,2020-07-10,4097.0,Costumes
385,2020-07-11,4097.0,Costumes
386,2020-07-12,3015.0,Costumes
387,2020-07-13,3015.0,Costumes
388,2020-07-14,3382.0,Costumes
389,2020-07-15,4137.0,Costumes
390,2020-07-16,4137.0,Costumes
391,2020-07-17,4137.0,Costumes
392,2020-07-18,4137.0,Costumes
393,2020-07-19,4040.0,Costumes
394,2020-07-20,4040.0,Costumes
395,2020-07-21,3696.0,Costumes
396,2020-07-22,4603.0,Costumes
397,2020-07-23,4603.0,Costumes
398,2020-07-24,4603.0,Costumes
399,2020-07-25,3061.0,Costumes
400,2020-07-26,3061.0,Costumes
401,2020-07-27,2985.0,Costumes
402,2020-07-28,3325.0,Costumes
403,2020-07-29,3119.0,Costumes
404,2020-07-30,3434.0,Costumes
405,2020-07-31,3434.0,Costumes
406,2020-08-01,3535.0,Costumes
407,2020-08-02,3373.0,Costumes
408,2020-08-03,3373.0,Costumes
409,2020-08-04,3373.0,Costumes
410,2020-08-05,3035.0,Costumes
411,2020-08-06,2596.0,Costumes
412,2020-08-07,3324.0,Costumes
413,2020-08-08,3324.0,Costumes
414,2020-08-09,3131.0,Costumes
415,2020-08-10,3131.0,Costumes
416,2020-08-11,3131.0,Costumes
417,2020-08-12,2465.0,Costumes
418,2020-08-13,2465.0,Costumes
419,2020-08-14,2465.0,Costumes
420,2020-08-15,2465.0,Costumes
421,2020-08-16,1986.0,Costumes
422,2020-08-17,2317.0,Costumes
423,2020-08-18,2457.0,Costumes
424,2020-08-19,2457.0,Costumes
425,2020-08-20,2457.0,Costumes
426,2020-08-21,2475.0,Costumes
427,2020-08-22,2475.0,Costumes
428,2020-08-23,1945.0,Costumes
429,2020-08-24,1945.0,Costumes
430,2020-08-25,1945.0,Costumes
431,2020-08-26,1945.0,Costumes
432,2020-08-27,1953.0,Costumes
433,2020-08-28,1953.0,Costumes
434,2020-08-29,1953.0,Costumes
435,2020-08-30,1504.0,Costumes
436,2020-08-31,1489.0,Costumes
437,2020-09-01,1829.0,Costumes
438,2020-09-02,1687.0,Costumes
439,2020-09-03,1687.0,Costumes
440,2020-09-04,1687.0,Costumes
441,2020-09-05,1543.0,Costumes
442,2020-09-06,1543.0,Costumes
443,2020-09-07,905.0,Costumes
444,2020-09-08,1055.0,Costumes
445,2020-09-09,1195.0,Costumes
446,2020-09-10,981.0,Costumes
447,2020-09-11,981.0,Costumes
448,2020-09-12,914.0,Costumes
449,2020-09-13,914.0,Costumes
450,2020-09-14,914.0,Costumes
451,2020-09-15,681.0,Costumes
452,2020-09-16,691.0,Costumes
453,2020-09-17,691.0,Costumes
454,2020-09-18,691.0,Costumes
455,2020-09-19,622.0,Costumes
456,2020-09-20,622.0,Costumes
457,2020-09-21,543.0,Costumes
458,2020-09-22,824.0,Costumes
