,date,value,name_B07JB4NJNN
323,2019-09-01,20334.0,Wall & Tabletop Frames
324,2019-09-02,18316.0,Wall & Tabletop Frames
325,2019-09-03,18316.0,Wall & Tabletop Frames
326,2019-09-04,18316.0,Wall & Tabletop Frames
327,2019-09-05,29315.0,Wall & Tabletop Frames
328,2019-09-06,24416.0,Wall & Tabletop Frames
329,2019-09-07,24416.0,Wall & Tabletop Frames
330,2019-09-08,20309.0,Wall & Tabletop Frames
331,2019-09-09,20309.0,Wall & Tabletop Frames
332,2019-09-10,20309.0,Wall & Tabletop Frames
333,2019-09-11,20309.0,Wall & Tabletop Frames
334,2019-09-12,20309.0,Wall & Tabletop Frames
335,2019-09-13,20309.0,Wall & Tabletop Frames
336,2019-09-14,20309.0,Wall & Tabletop Frames
337,2019-09-15,20309.0,Wall & Tabletop Frames
338,2019-09-16,20309.0,Wall & Tabletop Frames
339,2019-09-17,20309.0,Wall & Tabletop Frames
340,2019-09-18,20309.0,Wall & Tabletop Frames
341,2019-09-19,20309.0,Wall & Tabletop Frames
342,2019-09-20,20309.0,Wall & Tabletop Frames
343,2019-09-21,20309.0,Wall & Tabletop Frames
344,2019-09-22,20309.0,Wall & Tabletop Frames
345,2019-09-23,41279.0,Wall & Tabletop Frames
346,2019-09-24,45723.0,Wall & Tabletop Frames
347,2019-09-25,45723.0,Wall & Tabletop Frames
348,2019-09-26,59745.0,Wall & Tabletop Frames
349,2019-09-27,59745.0,Wall & Tabletop Frames
350,2019-09-28,59745.0,Wall & Tabletop Frames
351,2019-09-29,27819.0,Wall & Tabletop Frames
352,2019-09-30,27819.0,Wall & Tabletop Frames
353,2019-10-01,27819.0,Wall & Tabletop Frames
354,2019-10-02,26615.0,Wall & Tabletop Frames
355,2019-10-03,22032.0,Wall & Tabletop Frames
356,2019-10-04,22032.0,Wall & Tabletop Frames
357,2019-10-05,22032.0,Wall & Tabletop Frames
358,2019-10-06,22032.0,Wall & Tabletop Frames
359,2019-10-07,26324.0,Wall & Tabletop Frames
360,2019-10-08,26324.0,Wall & Tabletop Frames
361,2019-10-09,26324.0,Wall & Tabletop Frames
362,2019-10-10,22069.0,Wall & Tabletop Frames
363,2019-10-11,22069.0,Wall & Tabletop Frames
364,2019-10-12,22069.0,Wall & Tabletop Frames
365,2019-10-13,18542.0,Wall & Tabletop Frames
366,2019-10-14,17117.0,Wall & Tabletop Frames
367,2019-10-15,17117.0,Wall & Tabletop Frames
368,2019-10-16,23040.0,Wall & Tabletop Frames
369,2019-10-17,15960.0,Wall & Tabletop Frames
370,2019-10-18,21910.0,Wall & Tabletop Frames
371,2019-10-19,21910.0,Wall & Tabletop Frames
372,2019-10-20,21910.0,Wall & Tabletop Frames
373,2019-10-21,27231.0,Wall & Tabletop Frames
374,2019-10-22,19497.0,Wall & Tabletop Frames
375,2019-10-23,21656.0,Wall & Tabletop Frames
376,2019-10-24,19283.0,Wall & Tabletop Frames
377,2019-10-25,22373.0,Wall & Tabletop Frames
378,2019-10-26,20791.0,Wall & Tabletop Frames
379,2019-10-27,20005.0,Wall & Tabletop Frames
380,2019-10-28,20005.0,Wall & Tabletop Frames
381,2019-10-29,20005.0,Wall & Tabletop Frames
382,2019-10-30,17775.0,Wall & Tabletop Frames
383,2019-10-31,18737.0,Wall & Tabletop Frames
384,2019-11-01,18737.0,Wall & Tabletop Frames
385,2019-11-02,25028.0,Wall & Tabletop Frames
386,2019-11-03,25028.0,Wall & Tabletop Frames
387,2019-11-04,21816.0,Wall & Tabletop Frames
388,2019-11-05,21816.0,Wall & Tabletop Frames
389,2019-11-06,20109.0,Wall & Tabletop Frames
390,2019-11-07,20109.0,Wall & Tabletop Frames
391,2019-11-08,20109.0,Wall & Tabletop Frames
392,2019-11-09,20109.0,Wall & Tabletop Frames
393,2019-11-10,20109.0,Wall & Tabletop Frames
394,2019-11-11,21343.0,Wall & Tabletop Frames
395,2019-11-12,21343.0,Wall & Tabletop Frames
396,2019-11-13,21343.0,Wall & Tabletop Frames
397,2019-11-14,21343.0,Wall & Tabletop Frames
398,2019-11-15,21343.0,Wall & Tabletop Frames
399,2019-11-16,30014.0,Wall & Tabletop Frames
400,2019-11-17,30014.0,Wall & Tabletop Frames
401,2019-11-18,30014.0,Wall & Tabletop Frames
402,2019-11-19,30014.0,Wall & Tabletop Frames
403,2019-11-20,16729.0,Wall & Tabletop Frames
404,2019-11-21,16729.0,Wall & Tabletop Frames
405,2019-11-22,20903.0,Wall & Tabletop Frames
406,2019-11-23,20903.0,Wall & Tabletop Frames
407,2019-11-24,20903.0,Wall & Tabletop Frames
408,2019-11-25,16533.0,Wall & Tabletop Frames
