,date,value,name_B0751VWW8C
376,2021-06-08,2591.0,Graph & Data Pads
377,2021-06-09,2591.0,Graph & Data Pads
378,2021-06-10,2591.0,Graph & Data Pads
379,2021-06-11,2608.0,Graph & Data Pads
380,2021-06-12,2840.0,Graph & Data Pads
381,2021-06-13,2840.0,Graph & Data Pads
382,2021-06-14,3040.0,Graph & Data Pads
383,2021-06-15,3040.0,Graph & Data Pads
384,2021-06-16,3040.0,Graph & Data Pads
385,2021-06-17,2896.0,Graph & Data Pads
386,2021-06-18,2896.0,Graph & Data Pads
387,2021-06-19,2850.0,Graph & Data Pads
388,2021-06-20,2850.0,Graph & Data Pads
389,2021-06-21,2850.0,Graph & Data Pads
390,2021-06-22,3400.0,Graph & Data Pads
391,2021-06-23,3400.0,Graph & Data Pads
392,2021-06-24,3400.0,Graph & Data Pads
393,2021-06-25,2683.0,Graph & Data Pads
394,2021-06-26,2776.0,Graph & Data Pads
395,2021-06-27,2776.0,Graph & Data Pads
396,2021-06-28,2776.0,Graph & Data Pads
397,2021-06-29,2079.0,Graph & Data Pads
398,2021-06-30,2079.0,Graph & Data Pads
399,2021-07-01,2959.0,Graph & Data Pads
400,2021-07-02,2959.0,Graph & Data Pads
401,2021-07-03,2959.0,Graph & Data Pads
402,2021-07-04,1766.0,Graph & Data Pads
403,2021-07-05,1766.0,Graph & Data Pads
404,2021-07-06,2084.0,Graph & Data Pads
405,2021-07-07,2084.0,Graph & Data Pads
406,2021-07-08,2084.0,Graph & Data Pads
407,2021-07-09,2660.0,Graph & Data Pads
408,2021-07-10,2660.0,Graph & Data Pads
409,2021-07-11,2582.0,Graph & Data Pads
