,date,value,name_B079LW6BNP
514,2019-12-15,2678.0,Container Sets
515,2019-12-16,2678.0,Container Sets
516,2019-12-17,2539.0,Container Sets
517,2019-12-18,2539.0,Container Sets
518,2019-12-19,2539.0,Container Sets
519,2019-12-20,1972.0,Container Sets
520,2019-12-21,1972.0,Container Sets
521,2019-12-22,1968.0,Container Sets
522,2019-12-23,1859.0,Container Sets
523,2019-12-24,1859.0,Container Sets
524,2019-12-25,1567.0,Container Sets
525,2019-12-26,1567.0,Container Sets
526,2019-12-27,1567.0,Container Sets
527,2019-12-28,949.0,Container Sets
528,2019-12-29,949.0,Container Sets
529,2019-12-30,949.0,Container Sets
530,2019-12-31,949.0,Container Sets
531,2020-01-01,949.0,Container Sets
532,2020-01-02,587.0,Container Sets
533,2020-01-03,587.0,Container Sets
534,2020-01-04,587.0,Container Sets
535,2020-01-05,587.0,Container Sets
536,2020-01-06,478.0,Container Sets
537,2020-01-07,478.0,Container Sets
538,2020-01-08,541.0,Container Sets
539,2020-01-09,541.0,Container Sets
540,2020-01-10,490.0,Container Sets
541,2020-01-11,490.0,Container Sets
542,2020-01-12,490.0,Container Sets
543,2020-01-13,490.0,Container Sets
544,2020-01-14,555.0,Container Sets
545,2020-01-15,555.0,Container Sets
546,2020-01-16,555.0,Container Sets
547,2020-01-17,555.0,Container Sets
548,2020-01-18,572.0,Container Sets
549,2020-01-19,572.0,Container Sets
550,2020-01-20,572.0,Container Sets
551,2020-01-21,515.0,Container Sets
552,2020-01-22,515.0,Container Sets
553,2020-01-23,539.0,Container Sets
554,2020-01-24,541.0,Container Sets
555,2020-01-25,541.0,Container Sets
556,2020-01-26,598.0,Container Sets
557,2020-01-27,598.0,Container Sets
558,2020-01-28,568.0,Container Sets
559,2020-01-29,568.0,Container Sets
560,2020-01-30,557.0,Container Sets
561,2020-01-31,624.0,Container Sets
562,2020-02-01,624.0,Container Sets
563,2020-02-02,624.0,Container Sets
564,2020-02-03,624.0,Container Sets
565,2020-02-04,655.0,Container Sets
566,2020-02-05,655.0,Container Sets
567,2020-02-06,655.0,Container Sets
568,2020-02-07,682.0,Container Sets
569,2020-02-08,601.0,Container Sets
