,date,value,name_B07K2P1HTV
330,2019-10-12,45006.0,Panels
331,2019-10-13,45006.0,Panels
332,2019-10-14,31828.0,Panels
333,2019-10-15,46846.0,Panels
334,2019-10-16,30505.0,Panels
335,2019-10-17,33470.0,Panels
336,2019-10-18,30747.0,Panels
337,2019-10-19,32991.0,Panels
338,2019-10-20,33761.0,Panels
339,2019-10-21,46776.0,Panels
340,2019-10-22,39346.0,Panels
341,2019-10-23,36801.0,Panels
342,2019-10-24,31468.0,Panels
343,2019-10-25,37470.0,Panels
344,2019-10-26,32265.0,Panels
345,2019-10-27,32478.0,Panels
346,2019-10-28,36351.0,Panels
347,2019-10-29,45442.0,Panels
348,2019-10-30,47860.0,Panels
349,2019-10-31,41357.0,Panels
350,2019-11-01,38994.0,Panels
351,2019-11-02,36370.0,Panels
352,2019-11-03,35016.0,Panels
353,2019-11-04,34652.0,Panels
354,2019-11-05,35979.0,Panels
355,2019-11-06,23500.0,Panels
356,2019-11-07,23054.0,Panels
357,2019-11-08,23054.0,Panels
358,2019-11-09,23054.0,Panels
359,2019-11-10,23054.0,Panels
360,2019-11-11,23054.0,Panels
361,2019-11-12,22523.0,Panels
362,2019-11-13,22523.0,Panels
363,2019-11-14,32943.0,Panels
364,2019-11-15,32943.0,Panels
365,2019-11-16,32943.0,Panels
366,2019-11-17,41389.0,Panels
367,2019-11-18,41389.0,Panels
368,2019-11-19,41389.0,Panels
369,2019-11-20,41389.0,Panels
370,2019-11-21,32731.0,Panels
371,2019-11-22,32731.0,Panels
372,2019-11-23,32731.0,Panels
373,2019-11-24,32731.0,Panels
374,2019-11-25,30767.0,Panels
375,2019-11-26,36185.0,Panels
376,2019-11-27,36185.0,Panels
377,2019-11-28,35839.0,Panels
378,2019-11-29,35839.0,Panels
379,2019-11-30,35839.0,Panels
380,2019-12-01,35839.0,Panels
381,2019-12-02,47917.0,Panels
382,2019-12-03,47917.0,Panels
383,2019-12-04,37863.0,Panels
384,2019-12-05,37863.0,Panels
385,2019-12-06,38497.0,Panels
386,2019-12-07,38497.0,Panels
387,2019-12-08,38497.0,Panels
388,2019-12-09,38497.0,Panels
389,2019-12-10,47150.0,Panels
390,2019-12-11,47150.0,Panels
391,2019-12-12,47150.0,Panels
392,2019-12-13,47150.0,Panels
393,2019-12-14,57874.0,Panels
394,2019-12-15,57874.0,Panels
395,2019-12-16,57874.0,Panels
396,2019-12-17,57874.0,Panels
397,2019-12-18,52689.0,Panels
398,2019-12-19,52689.0,Panels
399,2019-12-20,47875.0,Panels
400,2019-12-21,47875.0,Panels
401,2019-12-22,47875.0,Panels
402,2019-12-23,47875.0,Panels
403,2019-12-24,47875.0,Panels
404,2019-12-25,47875.0,Panels
405,2019-12-26,40167.0,Panels
406,2019-12-27,40167.0,Panels
407,2019-12-28,60006.0,Panels
408,2019-12-29,33672.0,Panels
409,2019-12-30,33672.0,Panels
410,2019-12-31,33672.0,Panels
411,2020-01-01,33672.0,Panels
412,2020-01-02,33672.0,Panels
413,2020-01-03,52510.0,Panels
414,2020-01-04,52510.0,Panels
415,2020-01-05,52510.0,Panels
416,2020-01-06,52510.0,Panels
417,2020-01-07,52510.0,Panels
418,2020-01-08,31819.0,Panels
419,2020-01-09,31819.0,Panels
420,2020-01-10,31819.0,Panels
421,2020-01-11,31819.0,Panels
422,2020-01-12,31819.0,Panels
423,2020-01-13,31819.0,Panels
424,2020-01-14,31819.0,Panels
425,2020-01-15,22910.0,Panels
426,2020-01-16,22910.0,Panels
427,2020-01-17,22910.0,Panels
428,2020-01-18,22910.0,Panels
429,2020-01-19,20946.0,Panels
430,2020-01-20,20946.0,Panels
431,2020-01-21,20946.0,Panels
432,2020-01-22,20946.0,Panels
433,2020-01-23,20946.0,Panels
434,2020-01-24,33455.0,Panels
435,2020-01-25,33455.0,Panels
436,2020-01-26,33455.0,Panels
437,2020-01-27,33455.0,Panels
