,date,value,name_B084C1F1PD
351,2021-01-23,10517.0,Kitchen Trash Cans
352,2021-01-24,10517.0,Kitchen Trash Cans
353,2021-01-25,10517.0,Kitchen Trash Cans
354,2021-01-26,14441.0,Kitchen Trash Cans
355,2021-01-27,14441.0,Kitchen Trash Cans
356,2021-01-28,14441.0,Kitchen Trash Cans
357,2021-01-29,17233.0,Kitchen Trash Cans
358,2021-01-30,17233.0,Kitchen Trash Cans
359,2021-01-31,17233.0,Kitchen Trash Cans
360,2021-02-01,23134.0,Kitchen Trash Cans
361,2021-02-02,23134.0,Kitchen Trash Cans
362,2021-02-03,23134.0,Kitchen Trash Cans
363,2021-02-04,23134.0,Kitchen Trash Cans
364,2021-02-05,29006.0,Kitchen Trash Cans
365,2021-02-06,29006.0,Kitchen Trash Cans
366,2021-02-07,29006.0,Kitchen Trash Cans
367,2021-02-08,26560.0,Kitchen Trash Cans
368,2021-02-09,26560.0,Kitchen Trash Cans
369,2021-02-10,24022.0,Kitchen Trash Cans
370,2021-02-11,2822.0,Kitchen Trash Cans
371,2021-02-12,2822.0,Kitchen Trash Cans
372,2021-02-13,3458.0,Kitchen Trash Cans
373,2021-02-14,2945.0,Kitchen Trash Cans
374,2021-02-15,2036.0,Kitchen Trash Cans
375,2021-02-16,2036.0,Kitchen Trash Cans
376,2021-02-17,2846.0,Kitchen Trash Cans
377,2021-02-18,2846.0,Kitchen Trash Cans
378,2021-02-19,2846.0,Kitchen Trash Cans
379,2021-02-20,5084.0,Kitchen Trash Cans
380,2021-02-21,4093.0,Kitchen Trash Cans
381,2021-02-22,4093.0,Kitchen Trash Cans
382,2021-02-23,4093.0,Kitchen Trash Cans
383,2021-02-24,46233.0,Kitchen Trash Cans
384,2021-02-25,49969.0,Kitchen Trash Cans
385,2021-02-26,49969.0,Kitchen Trash Cans
386,2021-02-27,49969.0,Kitchen Trash Cans
387,2021-02-28,49969.0,Kitchen Trash Cans
388,2021-03-01,48633.0,Kitchen Trash Cans
389,2021-03-02,35936.0,Kitchen Trash Cans
390,2021-03-03,35936.0,Kitchen Trash Cans
391,2021-03-04,67090.0,Kitchen Trash Cans
392,2021-03-05,70158.0,Kitchen Trash Cans
393,2021-03-06,70158.0,Kitchen Trash Cans
394,2021-03-07,70158.0,Kitchen Trash Cans
395,2021-03-08,31521.0,Kitchen Trash Cans
396,2021-03-09,46013.0,Kitchen Trash Cans
397,2021-03-10,42748.0,Kitchen Trash Cans
398,2021-03-11,55069.0,Kitchen Trash Cans
399,2021-03-12,55069.0,Kitchen Trash Cans
400,2021-03-13,60736.0,Kitchen Trash Cans
401,2021-03-14,60736.0,Kitchen Trash Cans
402,2021-03-15,60736.0,Kitchen Trash Cans
403,2021-03-16,60736.0,Kitchen Trash Cans
404,2021-03-17,60736.0,Kitchen Trash Cans
405,2021-03-18,94138.0,Kitchen Trash Cans
406,2021-03-19,94138.0,Kitchen Trash Cans
407,2021-03-20,94138.0,Kitchen Trash Cans
408,2021-03-21,94138.0,Kitchen Trash Cans
409,2021-03-22,44373.0,Kitchen Trash Cans
410,2021-03-23,44373.0,Kitchen Trash Cans
411,2021-03-24,44373.0,Kitchen Trash Cans
412,2021-03-25,40209.0,Kitchen Trash Cans
413,2021-03-26,40209.0,Kitchen Trash Cans
414,2021-03-27,40209.0,Kitchen Trash Cans
415,2021-03-28,40209.0,Kitchen Trash Cans
416,2021-03-29,40209.0,Kitchen Trash Cans
417,2021-03-30,22357.0,Kitchen Trash Cans
418,2021-03-31,22357.0,Kitchen Trash Cans
419,2021-04-01,20904.0,Kitchen Trash Cans
420,2021-04-02,20904.0,Kitchen Trash Cans
421,2021-04-03,20904.0,Kitchen Trash Cans
422,2021-04-04,32472.0,Kitchen Trash Cans
423,2021-04-05,32472.0,Kitchen Trash Cans
424,2021-04-06,32472.0,Kitchen Trash Cans
425,2021-04-07,32472.0,Kitchen Trash Cans
426,2021-04-08,16885.0,Kitchen Trash Cans
427,2021-04-09,16885.0,Kitchen Trash Cans
428,2021-04-10,16885.0,Kitchen Trash Cans
429,2021-04-11,14227.0,Kitchen Trash Cans
430,2021-04-12,14227.0,Kitchen Trash Cans
431,2021-04-13,14227.0,Kitchen Trash Cans
432,2021-04-14,12900.0,Kitchen Trash Cans
433,2021-04-15,12900.0,Kitchen Trash Cans
434,2021-04-16,12900.0,Kitchen Trash Cans
435,2021-04-17,16276.0,Kitchen Trash Cans
436,2021-04-18,16081.0,Kitchen Trash Cans
437,2021-04-19,16081.0,Kitchen Trash Cans
438,2021-04-20,10180.0,Kitchen Trash Cans
439,2021-04-21,10180.0,Kitchen Trash Cans
440,2021-04-22,10180.0,Kitchen Trash Cans
441,2021-04-23,22658.0,Kitchen Trash Cans
442,2021-04-24,22658.0,Kitchen Trash Cans
443,2021-04-25,22658.0,Kitchen Trash Cans
444,2021-04-26,33447.0,Kitchen Trash Cans
445,2021-04-27,33447.0,Kitchen Trash Cans
446,2021-04-28,30395.0,Kitchen Trash Cans
447,2021-04-29,30395.0,Kitchen Trash Cans
448,2021-04-30,32345.0,Kitchen Trash Cans
449,2021-05-01,32345.0,Kitchen Trash Cans
450,2021-05-02,32345.0,Kitchen Trash Cans
451,2021-05-03,32345.0,Kitchen Trash Cans
452,2021-05-04,32345.0,Kitchen Trash Cans
453,2021-05-05,38083.0,Kitchen Trash Cans
454,2021-05-06,38083.0,Kitchen Trash Cans
455,2021-05-07,38083.0,Kitchen Trash Cans
456,2021-05-08,38083.0,Kitchen Trash Cans
457,2021-05-09,38083.0,Kitchen Trash Cans
458,2021-05-10,32544.0,Kitchen Trash Cans
459,2021-05-11,32788.0,Kitchen Trash Cans
460,2021-05-12,32788.0,Kitchen Trash Cans
461,2021-05-13,32788.0,Kitchen Trash Cans
462,2021-05-14,32788.0,Kitchen Trash Cans
463,2021-05-15,37571.0,Kitchen Trash Cans
464,2021-05-16,37571.0,Kitchen Trash Cans
465,2021-05-17,37571.0,Kitchen Trash Cans
466,2021-05-18,16982.0,Kitchen Trash Cans
467,2021-05-19,16982.0,Kitchen Trash Cans
468,2021-05-20,18460.0,Kitchen Trash Cans
469,2021-05-21,17897.0,Kitchen Trash Cans
470,2021-05-22,17897.0,Kitchen Trash Cans
471,2021-05-23,17897.0,Kitchen Trash Cans
472,2021-05-24,12083.0,Kitchen Trash Cans
473,2021-05-25,15225.0,Kitchen Trash Cans
474,2021-05-26,15225.0,Kitchen Trash Cans
