,date,value,name_B07TK1S6C7
252,2021-02-26,1068.0,Fertilizers & Plant Food
253,2021-02-27,810.0,Fertilizers & Plant Food
254,2021-02-28,810.0,Fertilizers & Plant Food
255,2021-03-01,706.0,Fertilizers & Plant Food
256,2021-03-02,706.0,Fertilizers & Plant Food
257,2021-03-03,661.0,Fertilizers & Plant Food
258,2021-03-04,649.0,Fertilizers & Plant Food
259,2021-03-05,558.0,Fertilizers & Plant Food
260,2021-03-06,558.0,Fertilizers & Plant Food
261,2021-03-07,558.0,Fertilizers & Plant Food
262,2021-03-08,490.0,Fertilizers & Plant Food
263,2021-03-09,490.0,Fertilizers & Plant Food
264,2021-03-10,490.0,Fertilizers & Plant Food
265,2021-03-11,441.0,Fertilizers & Plant Food
266,2021-03-12,441.0,Fertilizers & Plant Food
267,2021-03-13,295.0,Fertilizers & Plant Food
268,2021-03-14,295.0,Fertilizers & Plant Food
269,2021-03-15,345.0,Fertilizers & Plant Food
270,2021-03-16,299.0,Fertilizers & Plant Food
271,2021-03-17,299.0,Fertilizers & Plant Food
272,2021-03-18,299.0,Fertilizers & Plant Food
273,2021-03-19,395.0,Fertilizers & Plant Food
274,2021-03-20,326.0,Fertilizers & Plant Food
275,2021-03-21,326.0,Fertilizers & Plant Food
276,2021-03-22,326.0,Fertilizers & Plant Food
277,2021-03-23,399.0,Fertilizers & Plant Food
278,2021-03-24,399.0,Fertilizers & Plant Food
279,2021-03-25,283.0,Fertilizers & Plant Food
280,2021-03-26,283.0,Fertilizers & Plant Food
281,2021-03-27,252.0,Fertilizers & Plant Food
282,2021-03-28,252.0,Fertilizers & Plant Food
283,2021-03-29,252.0,Fertilizers & Plant Food
284,2021-03-30,280.0,Fertilizers & Plant Food
285,2021-03-31,280.0,Fertilizers & Plant Food
286,2021-04-01,252.0,Fertilizers & Plant Food
287,2021-04-02,221.0,Fertilizers & Plant Food
288,2021-04-03,221.0,Fertilizers & Plant Food
289,2021-04-04,200.0,Fertilizers & Plant Food
290,2021-04-05,200.0,Fertilizers & Plant Food
291,2021-04-06,209.0,Fertilizers & Plant Food
292,2021-04-07,209.0,Fertilizers & Plant Food
293,2021-04-08,185.0,Fertilizers & Plant Food
294,2021-04-09,185.0,Fertilizers & Plant Food
295,2021-04-10,218.0,Fertilizers & Plant Food
296,2021-04-11,218.0,Fertilizers & Plant Food
297,2021-04-12,145.0,Fertilizers & Plant Food
298,2021-04-13,145.0,Fertilizers & Plant Food
299,2021-04-14,112.0,Fertilizers & Plant Food
300,2021-04-15,112.0,Fertilizers & Plant Food
301,2021-04-16,103.0,Fertilizers & Plant Food
302,2021-04-17,100.0,Fertilizers & Plant Food
303,2021-04-18,100.0,Fertilizers & Plant Food
304,2021-04-19,124.0,Fertilizers & Plant Food
305,2021-04-20,124.0,Fertilizers & Plant Food
306,2021-04-21,202.0,Fertilizers & Plant Food
307,2021-04-22,202.0,Fertilizers & Plant Food
308,2021-04-23,192.0,Fertilizers & Plant Food
309,2021-04-24,192.0,Fertilizers & Plant Food
310,2021-04-25,181.0,Fertilizers & Plant Food
311,2021-04-26,181.0,Fertilizers & Plant Food
312,2021-04-27,193.0,Fertilizers & Plant Food
313,2021-04-28,206.0,Fertilizers & Plant Food
314,2021-04-29,206.0,Fertilizers & Plant Food
315,2021-04-30,241.0,Fertilizers & Plant Food
316,2021-05-01,241.0,Fertilizers & Plant Food
317,2021-05-02,257.0,Fertilizers & Plant Food
318,2021-05-03,257.0,Fertilizers & Plant Food
319,2021-05-04,257.0,Fertilizers & Plant Food
320,2021-05-05,313.0,Fertilizers & Plant Food
321,2021-05-06,297.0,Fertilizers & Plant Food
322,2021-05-07,297.0,Fertilizers & Plant Food
323,2021-05-08,313.0,Fertilizers & Plant Food
324,2021-05-09,313.0,Fertilizers & Plant Food
