,date,value,name_B0823VH891
360,2020-12-23,21480.0,Panels
361,2020-12-24,21480.0,Panels
362,2020-12-25,18616.0,Panels
363,2020-12-26,18616.0,Panels
364,2020-12-27,18616.0,Panels
365,2020-12-28,18616.0,Panels
366,2020-12-29,18616.0,Panels
367,2020-12-30,18616.0,Panels
368,2020-12-31,18616.0,Panels
369,2021-01-01,18616.0,Panels
370,2021-01-02,18616.0,Panels
371,2021-01-03,18616.0,Panels
372,2021-01-04,18616.0,Panels
373,2021-01-05,18616.0,Panels
374,2021-01-06,18616.0,Panels
375,2021-01-07,18616.0,Panels
376,2021-01-08,18616.0,Panels
377,2021-01-09,18616.0,Panels
378,2021-01-10,18616.0,Panels
379,2021-01-11,18616.0,Panels
380,2021-01-12,18616.0,Panels
381,2021-01-13,18616.0,Panels
382,2021-01-14,18616.0,Panels
383,2021-01-15,18616.0,Panels
384,2021-01-16,18616.0,Panels
385,2021-01-17,18616.0,Panels
386,2021-01-18,18616.0,Panels
387,2021-01-19,18616.0,Panels
388,2021-01-20,18616.0,Panels
389,2021-01-21,18616.0,Panels
390,2021-01-22,18616.0,Panels
391,2021-01-23,18616.0,Panels
392,2021-01-24,18616.0,Panels
393,2021-01-25,18616.0,Panels
394,2021-01-26,18616.0,Panels
395,2021-01-27,18616.0,Panels
396,2021-01-28,18616.0,Panels
397,2021-01-29,18616.0,Panels
398,2021-01-30,18616.0,Panels
399,2021-01-31,18616.0,Panels
400,2021-02-01,18616.0,Panels
401,2021-02-02,18616.0,Panels
402,2021-02-03,18616.0,Panels
403,2021-02-04,18616.0,Panels
404,2021-02-05,18616.0,Panels
405,2021-02-06,18616.0,Panels
406,2021-02-07,18616.0,Panels
407,2021-02-08,18616.0,Panels
408,2021-02-09,18616.0,Panels
409,2021-02-10,18616.0,Panels
410,2021-02-11,18616.0,Panels
411,2021-02-12,18616.0,Panels
412,2021-02-13,18616.0,Panels
413,2021-02-14,18616.0,Panels
414,2021-02-15,18616.0,Panels
415,2021-02-16,18616.0,Panels
416,2021-02-17,18616.0,Panels
417,2021-02-18,18616.0,Panels
418,2021-02-19,18616.0,Panels
419,2021-02-20,18616.0,Panels
420,2021-02-21,18616.0,Panels
421,2021-02-22,18616.0,Panels
422,2021-02-23,18616.0,Panels
423,2021-02-24,18616.0,Panels
424,2021-02-25,18616.0,Panels
425,2021-02-26,18616.0,Panels
426,2021-02-27,18616.0,Panels
427,2021-02-28,18616.0,Panels
428,2021-03-01,18616.0,Panels
429,2021-03-02,18616.0,Panels
430,2021-03-03,18616.0,Panels
431,2021-03-04,18616.0,Panels
432,2021-03-05,18616.0,Panels
433,2021-03-06,18616.0,Panels
434,2021-03-07,18616.0,Panels
435,2021-03-08,18616.0,Panels
436,2021-03-09,18616.0,Panels
437,2021-03-10,18616.0,Panels
438,2021-03-11,18616.0,Panels
439,2021-03-12,18616.0,Panels
440,2021-03-13,18616.0,Panels
441,2021-03-14,18616.0,Panels
442,2021-03-15,18616.0,Panels
443,2021-03-16,18616.0,Panels
444,2021-03-17,18616.0,Panels
445,2021-03-18,18616.0,Panels
446,2021-03-19,18616.0,Panels
447,2021-03-20,18616.0,Panels
448,2021-03-21,18616.0,Panels
449,2021-03-22,18616.0,Panels
450,2021-03-23,18616.0,Panels
451,2021-03-24,18616.0,Panels
452,2021-03-25,18616.0,Panels
453,2021-03-26,18616.0,Panels
454,2021-03-27,18616.0,Panels
455,2021-03-28,18616.0,Panels
456,2021-03-29,18616.0,Panels
457,2021-03-30,18616.0,Panels
458,2021-03-31,18616.0,Panels
459,2021-04-01,18616.0,Panels
460,2021-04-02,18616.0,Panels
461,2021-04-03,18616.0,Panels
462,2021-04-04,18616.0,Panels
463,2021-04-05,18616.0,Panels
464,2021-04-06,18616.0,Panels
465,2021-04-07,18616.0,Panels
466,2021-04-08,18616.0,Panels
467,2021-04-09,7682.0,Panels
468,2021-04-10,7682.0,Panels
469,2021-04-11,7682.0,Panels
470,2021-04-12,10322.0,Panels
471,2021-04-13,10322.0,Panels
472,2021-04-14,10318.0,Panels
473,2021-04-15,10318.0,Panels
474,2021-04-16,11986.0,Panels
475,2021-04-17,11986.0,Panels
476,2021-04-18,9812.0,Panels
477,2021-04-19,10953.0,Panels
478,2021-04-20,10953.0,Panels
479,2021-04-21,14649.0,Panels
480,2021-04-22,11046.0,Panels
481,2021-04-23,11046.0,Panels
482,2021-04-24,10679.0,Panels
483,2021-04-25,10679.0,Panels
484,2021-04-26,11232.0,Panels
485,2021-04-27,11232.0,Panels
486,2021-04-28,12087.0,Panels
487,2021-04-29,12087.0,Panels
488,2021-04-30,11252.0,Panels
489,2021-05-01,8641.0,Panels
490,2021-05-02,8641.0,Panels
491,2021-05-03,13609.0,Panels
492,2021-05-04,13609.0,Panels
493,2021-05-05,13609.0,Panels
494,2021-05-06,11001.0,Panels
495,2021-05-07,12966.0,Panels
496,2021-05-08,12966.0,Panels
497,2021-05-09,12015.0,Panels
498,2021-05-10,12015.0,Panels
499,2021-05-11,10829.0,Panels
500,2021-05-12,10829.0,Panels
501,2021-05-13,10289.0,Panels
502,2021-05-14,10289.0,Panels
503,2021-05-15,9976.0,Panels
504,2021-05-16,9976.0,Panels
505,2021-05-17,9976.0,Panels
506,2021-05-18,9432.0,Panels
507,2021-05-19,9432.0,Panels
508,2021-05-20,10484.0,Panels
509,2021-05-21,10484.0,Panels
510,2021-05-22,9121.0,Panels
511,2021-05-23,9121.0,Panels
512,2021-05-24,9121.0,Panels
513,2021-05-25,11426.0,Panels
514,2021-05-26,11426.0,Panels
515,2021-05-27,10878.0,Panels
516,2021-05-28,10878.0,Panels
517,2021-05-29,10878.0,Panels
518,2021-05-30,11327.0,Panels
519,2021-05-31,11327.0,Panels
520,2021-06-01,15703.0,Panels
521,2021-06-02,13643.0,Panels
522,2021-06-03,13643.0,Panels
523,2021-06-04,12129.0,Panels
524,2021-06-05,12129.0,Panels
525,2021-06-06,11127.0,Panels
526,2021-06-07,14772.0,Panels
527,2021-06-08,14280.0,Panels
528,2021-06-09,11571.0,Panels
529,2021-06-10,14751.0,Panels
530,2021-06-11,12624.0,Panels
531,2021-06-12,12624.0,Panels
532,2021-06-13,14826.0,Panels
533,2021-06-14,14826.0,Panels
534,2021-06-15,15906.0,Panels
535,2021-06-16,17081.0,Panels
536,2021-06-17,16679.0,Panels
537,2021-06-18,16679.0,Panels
538,2021-06-19,16679.0,Panels
539,2021-06-20,15863.0,Panels
540,2021-06-21,19748.0,Panels
541,2021-06-22,19748.0,Panels
542,2021-06-23,19748.0,Panels
543,2021-06-24,15205.0,Panels
544,2021-06-25,15205.0,Panels
545,2021-06-26,15205.0,Panels
546,2021-06-27,15205.0,Panels
547,2021-06-28,19435.0,Panels
548,2021-06-29,21586.0,Panels
549,2021-06-30,21586.0,Panels
550,2021-07-01,12928.0,Panels
551,2021-07-02,12928.0,Panels
552,2021-07-03,18416.0,Panels
553,2021-07-04,18416.0,Panels
554,2021-07-05,18416.0,Panels
555,2021-07-06,15055.0,Panels
556,2021-07-07,15695.0,Panels
557,2021-07-08,14024.0,Panels
558,2021-07-09,15702.0,Panels
559,2021-07-10,14822.0,Panels
