,date,value,name_B07TXBZW33
247,2021-02-04,7958.0,Filters
248,2021-02-05,7958.0,Filters
249,2021-02-06,7958.0,Filters
250,2021-02-07,7958.0,Filters
251,2021-02-08,13514.0,Filters
252,2021-02-09,13514.0,Filters
253,2021-02-10,15541.0,Filters
254,2021-02-11,15541.0,Filters
255,2021-02-12,15541.0,Filters
256,2021-02-13,15541.0,Filters
257,2021-02-14,15541.0,Filters
258,2021-02-15,15541.0,Filters
259,2021-02-16,5865.0,Filters
260,2021-02-17,6910.0,Filters
261,2021-02-18,5774.0,Filters
262,2021-02-19,6420.0,Filters
263,2021-02-20,7203.0,Filters
264,2021-02-21,7203.0,Filters
265,2021-02-22,7203.0,Filters
266,2021-02-23,7203.0,Filters
267,2021-02-24,5910.0,Filters
268,2021-02-25,5910.0,Filters
269,2021-02-26,5910.0,Filters
270,2021-02-27,5620.0,Filters
271,2021-02-28,5366.0,Filters
272,2021-03-01,5366.0,Filters
273,2021-03-02,5366.0,Filters
274,2021-03-03,5366.0,Filters
275,2021-03-04,5298.0,Filters
276,2021-03-05,5450.0,Filters
277,2021-03-06,5450.0,Filters
278,2021-03-07,5450.0,Filters
279,2021-03-08,5866.0,Filters
280,2021-03-09,5895.0,Filters
281,2021-03-10,5895.0,Filters
282,2021-03-11,5895.0,Filters
283,2021-03-12,5895.0,Filters
284,2021-03-13,5028.0,Filters
285,2021-03-14,5028.0,Filters
286,2021-03-15,5028.0,Filters
287,2021-03-16,5107.0,Filters
288,2021-03-17,5107.0,Filters
289,2021-03-18,5187.0,Filters
290,2021-03-19,5187.0,Filters
291,2021-03-20,5187.0,Filters
292,2021-03-21,5187.0,Filters
293,2021-03-22,6005.0,Filters
294,2021-03-23,6005.0,Filters
295,2021-03-24,6005.0,Filters
296,2021-03-25,6005.0,Filters
297,2021-03-26,5245.0,Filters
298,2021-03-27,4528.0,Filters
299,2021-03-28,5106.0,Filters
300,2021-03-29,5106.0,Filters
301,2021-03-30,5106.0,Filters
302,2021-03-31,5106.0,Filters
303,2021-04-01,5053.0,Filters
304,2021-04-02,5053.0,Filters
305,2021-04-03,5053.0,Filters
306,2021-04-04,5388.0,Filters
307,2021-04-05,5388.0,Filters
308,2021-04-06,4378.0,Filters
309,2021-04-07,4378.0,Filters
310,2021-04-08,5270.0,Filters
311,2021-04-09,5270.0,Filters
312,2021-04-10,4744.0,Filters
313,2021-04-11,4744.0,Filters
314,2021-04-12,5509.0,Filters
315,2021-04-13,5509.0,Filters
316,2021-04-14,5509.0,Filters
317,2021-04-15,4854.0,Filters
318,2021-04-16,4854.0,Filters
319,2021-04-17,4562.0,Filters
320,2021-04-18,4562.0,Filters
321,2021-04-19,6960.0,Filters
322,2021-04-20,6960.0,Filters
323,2021-04-21,6960.0,Filters
324,2021-04-22,7673.0,Filters
325,2021-04-23,7673.0,Filters
326,2021-04-24,7673.0,Filters
327,2021-04-25,6326.0,Filters
