,date,value,name_B07PM36QSD
303,2021-03-23,5913.0,Lifejackets
304,2021-03-24,6014.0,Lifejackets
305,2021-03-25,7271.0,Lifejackets
306,2021-03-26,5580.0,Lifejackets
307,2021-03-27,5971.0,Lifejackets
308,2021-03-28,4808.0,Lifejackets
309,2021-03-29,3886.0,Lifejackets
310,2021-03-30,4373.0,Lifejackets
311,2021-03-31,3499.0,Lifejackets
312,2021-04-01,4563.0,Lifejackets
313,2021-04-02,4439.0,Lifejackets
314,2021-04-03,4439.0,Lifejackets
315,2021-04-04,4011.0,Lifejackets
316,2021-04-05,3267.0,Lifejackets
317,2021-04-06,4118.0,Lifejackets
318,2021-04-07,4118.0,Lifejackets
319,2021-04-08,4615.0,Lifejackets
320,2021-04-09,4494.0,Lifejackets
321,2021-04-10,4494.0,Lifejackets
322,2021-04-11,4089.0,Lifejackets
323,2021-04-12,3824.0,Lifejackets
324,2021-04-13,4398.0,Lifejackets
325,2021-04-14,4434.0,Lifejackets
326,2021-04-15,3589.0,Lifejackets
327,2021-04-16,4625.0,Lifejackets
328,2021-04-17,4625.0,Lifejackets
329,2021-04-18,4607.0,Lifejackets
330,2021-04-19,3500.0,Lifejackets
331,2021-04-20,3011.0,Lifejackets
332,2021-04-21,3247.0,Lifejackets
333,2021-04-22,3247.0,Lifejackets
334,2021-04-23,4406.0,Lifejackets
335,2021-04-24,4406.0,Lifejackets
336,2021-04-25,4084.0,Lifejackets
337,2021-04-26,4589.0,Lifejackets
338,2021-04-27,3736.0,Lifejackets
339,2021-04-28,3960.0,Lifejackets
340,2021-04-29,3654.0,Lifejackets
341,2021-04-30,3243.0,Lifejackets
342,2021-05-01,3243.0,Lifejackets
343,2021-05-02,2979.0,Lifejackets
344,2021-05-03,2979.0,Lifejackets
345,2021-05-04,2979.0,Lifejackets
346,2021-05-05,3091.0,Lifejackets
347,2021-05-06,3677.0,Lifejackets
348,2021-05-07,3677.0,Lifejackets
349,2021-05-08,2990.0,Lifejackets
350,2021-05-09,2990.0,Lifejackets
351,2021-05-10,2868.0,Lifejackets
352,2021-05-11,2691.0,Lifejackets
353,2021-05-12,3360.0,Lifejackets
354,2021-05-13,3251.0,Lifejackets
355,2021-05-14,3344.0,Lifejackets
356,2021-05-15,3196.0,Lifejackets
357,2021-05-16,3196.0,Lifejackets
358,2021-05-17,1670.0,Lifejackets
359,2021-05-18,2153.0,Lifejackets
360,2021-05-19,2128.0,Lifejackets
361,2021-05-20,2036.0,Lifejackets
362,2021-05-21,1878.0,Lifejackets
363,2021-05-22,1878.0,Lifejackets
364,2021-05-23,1377.0,Lifejackets
365,2021-05-24,1167.0,Lifejackets
366,2021-05-25,1310.0,Lifejackets
367,2021-05-26,1055.0,Lifejackets
368,2021-05-27,1245.0,Lifejackets
