,date,value,name_B07G8JB93W
414,2019-12-12,499.0,Sets
415,2019-12-13,477.0,Sets
416,2019-12-14,311.0,Sets
417,2019-12-15,224.0,Sets
418,2019-12-16,260.0,Sets
419,2019-12-17,495.0,Sets
420,2019-12-18,565.0,Sets
421,2019-12-19,565.0,Sets
422,2019-12-20,666.0,Sets
423,2019-12-21,856.0,Sets
424,2019-12-22,1097.0,Sets
425,2019-12-23,1310.0,Sets
426,2019-12-24,1310.0,Sets
427,2019-12-25,1462.0,Sets
428,2019-12-26,1462.0,Sets
429,2019-12-27,1800.0,Sets
430,2019-12-28,2971.0,Sets
431,2019-12-29,4558.0,Sets
432,2019-12-30,5174.0,Sets
433,2019-12-31,6846.0,Sets
434,2020-01-01,6846.0,Sets
435,2020-01-02,8704.0,Sets
436,2020-01-03,12054.0,Sets
437,2020-01-04,12054.0,Sets
438,2020-01-05,12054.0,Sets
439,2020-01-06,15862.0,Sets
440,2020-01-07,15862.0,Sets
441,2020-01-08,15862.0,Sets
442,2020-01-09,13451.0,Sets
443,2020-01-10,12389.0,Sets
444,2020-01-11,12389.0,Sets
445,2020-01-12,12389.0,Sets
446,2020-01-13,12389.0,Sets
447,2020-01-14,30514.0,Sets
448,2020-01-15,30514.0,Sets
449,2020-01-16,23233.0,Sets
450,2020-01-17,23233.0,Sets
451,2020-01-18,23233.0,Sets
452,2020-01-19,23233.0,Sets
453,2020-01-20,23233.0,Sets
454,2020-01-21,23233.0,Sets
455,2020-01-22,31668.0,Sets
456,2020-01-23,51547.0,Sets
457,2020-01-24,51547.0,Sets
458,2020-01-25,49739.0,Sets
459,2020-01-26,49739.0,Sets
460,2020-01-27,49739.0,Sets
461,2020-01-28,49739.0,Sets
462,2020-01-29,49739.0,Sets
463,2020-01-30,49739.0,Sets
464,2020-01-31,49739.0,Sets
465,2020-02-01,49739.0,Sets
466,2020-02-02,49739.0,Sets
467,2020-02-03,65306.0,Sets
468,2020-02-04,65306.0,Sets
469,2020-02-05,65306.0,Sets
470,2020-02-06,48804.0,Sets
471,2020-02-07,44707.0,Sets
472,2020-02-08,44707.0,Sets
473,2020-02-09,44707.0,Sets
474,2020-02-10,102698.0,Sets
475,2020-02-11,102698.0,Sets
476,2020-02-12,102698.0,Sets
477,2020-02-13,50217.0,Sets
478,2020-02-14,43609.0,Sets
479,2020-02-15,43609.0,Sets
480,2020-02-16,43609.0,Sets
481,2020-02-17,43609.0,Sets
482,2020-02-18,43609.0,Sets
483,2020-02-19,50540.0,Sets
484,2020-02-20,50540.0,Sets
485,2020-02-21,50540.0,Sets
486,2020-02-22,50540.0,Sets
487,2020-02-23,80957.0,Sets
488,2020-02-24,80957.0,Sets
489,2020-02-25,80957.0,Sets
490,2020-02-26,105252.0,Sets
491,2020-02-27,105252.0,Sets
492,2020-02-28,152256.0,Sets
493,2020-02-29,84323.0,Sets
494,2020-03-01,84323.0,Sets
495,2020-03-02,102897.0,Sets
496,2020-03-03,102897.0,Sets
497,2020-03-04,79077.0,Sets
498,2020-03-05,79077.0,Sets
499,2020-03-06,79077.0,Sets
500,2020-03-07,79077.0,Sets
501,2020-03-08,79077.0,Sets
502,2020-03-09,79077.0,Sets
503,2020-03-10,79077.0,Sets
504,2020-03-11,-1.0,Sets
