,date,value,name_B084JF7ZGG
254,2020-10-20,1151.0,Fitted Sheets
255,2020-10-21,1367.0,Fitted Sheets
256,2020-10-22,1632.0,Fitted Sheets
257,2020-10-23,1632.0,Fitted Sheets
258,2020-10-24,1535.0,Fitted Sheets
259,2020-10-25,1294.0,Fitted Sheets
260,2020-10-26,1534.0,Fitted Sheets
261,2020-10-27,1146.0,Fitted Sheets
262,2020-10-28,1102.0,Fitted Sheets
263,2020-10-29,861.0,Fitted Sheets
264,2020-10-30,861.0,Fitted Sheets
265,2020-10-31,909.0,Fitted Sheets
266,2020-11-01,852.0,Fitted Sheets
267,2020-11-02,922.0,Fitted Sheets
268,2020-11-03,1235.0,Fitted Sheets
269,2020-11-04,1467.0,Fitted Sheets
270,2020-11-05,1467.0,Fitted Sheets
271,2020-11-06,1455.0,Fitted Sheets
272,2020-11-07,1658.0,Fitted Sheets
273,2020-11-08,1463.0,Fitted Sheets
274,2020-11-09,1724.0,Fitted Sheets
275,2020-11-10,1409.0,Fitted Sheets
276,2020-11-11,1210.0,Fitted Sheets
277,2020-11-12,1319.0,Fitted Sheets
278,2020-11-13,1236.0,Fitted Sheets
279,2020-11-14,1210.0,Fitted Sheets
280,2020-11-15,1271.0,Fitted Sheets
281,2020-11-16,1291.0,Fitted Sheets
282,2020-11-17,1246.0,Fitted Sheets
283,2020-11-18,1434.0,Fitted Sheets
284,2020-11-19,1993.0,Fitted Sheets
