,date,value,name_B07FTVWHTP
332,2021-04-26,23963.0,9V
333,2021-04-27,23963.0,9V
334,2021-04-28,23963.0,9V
335,2021-04-29,23963.0,9V
336,2021-04-30,23963.0,9V
337,2021-05-01,23963.0,9V
338,2021-05-02,23963.0,9V
339,2021-05-03,23963.0,9V
340,2021-05-04,18032.0,9V
341,2021-05-05,19227.0,9V
342,2021-05-06,19227.0,9V
343,2021-05-07,19227.0,9V
344,2021-05-08,15049.0,9V
345,2021-05-09,15049.0,9V
346,2021-05-10,15049.0,9V
347,2021-05-11,15049.0,9V
348,2021-05-12,11860.0,9V
349,2021-05-13,11860.0,9V
350,2021-05-14,14967.0,9V
351,2021-05-15,18569.0,9V
352,2021-05-16,18569.0,9V
353,2021-05-17,18569.0,9V
354,2021-05-18,16055.0,9V
355,2021-05-19,16055.0,9V
356,2021-05-20,18450.0,9V
357,2021-05-21,15491.0,9V
358,2021-05-22,15491.0,9V
359,2021-05-23,15491.0,9V
360,2021-05-24,15491.0,9V
361,2021-05-25,19573.0,9V
362,2021-05-26,19573.0,9V
363,2021-05-27,17305.0,9V
364,2021-05-28,17305.0,9V
365,2021-05-29,19091.0,9V
366,2021-05-30,19091.0,9V
367,2021-05-31,19091.0,9V
368,2021-06-01,19091.0,9V
369,2021-06-02,19091.0,9V
370,2021-06-03,21759.0,9V
371,2021-06-04,21759.0,9V
372,2021-06-05,21759.0,9V
373,2021-06-06,21759.0,9V
374,2021-06-07,21759.0,9V
375,2021-06-08,18383.0,9V
376,2021-06-09,18383.0,9V
377,2021-06-10,18383.0,9V
378,2021-06-11,18383.0,9V
379,2021-06-12,18383.0,9V
380,2021-06-13,18383.0,9V
381,2021-06-14,18383.0,9V
382,2021-06-15,19910.0,9V
383,2021-06-16,19910.0,9V
384,2021-06-17,21606.0,9V
385,2021-06-18,21606.0,9V
386,2021-06-19,21606.0,9V
387,2021-06-20,21606.0,9V
388,2021-06-21,26025.0,9V
389,2021-06-22,30913.0,9V
390,2021-06-23,30913.0,9V
391,2021-06-24,30913.0,9V
392,2021-06-25,30913.0,9V
393,2021-06-26,30913.0,9V
394,2021-06-27,30913.0,9V
395,2021-06-28,30913.0,9V
396,2021-06-29,30913.0,9V
397,2021-06-30,30913.0,9V
398,2021-07-01,28896.0,9V
399,2021-07-02,24744.0,9V
400,2021-07-03,24744.0,9V
401,2021-07-04,24744.0,9V
402,2021-07-05,24744.0,9V
403,2021-07-06,24744.0,9V
404,2021-07-07,24744.0,9V
405,2021-07-08,26414.0,9V
406,2021-07-09,26414.0,9V
407,2021-07-10,26414.0,9V
408,2021-07-11,39912.0,9V
