,date,value,name_B08D3SWPZ5
275,2021-05-14,5206.0,Tablecloths
276,2021-05-15,5206.0,Tablecloths
277,2021-05-16,8356.0,Tablecloths
278,2021-05-17,8356.0,Tablecloths
279,2021-05-18,8356.0,Tablecloths
280,2021-05-19,4756.0,Tablecloths
281,2021-05-20,7581.0,Tablecloths
282,2021-05-21,7581.0,Tablecloths
283,2021-05-22,7437.0,Tablecloths
284,2021-05-23,7437.0,Tablecloths
285,2021-05-24,7437.0,Tablecloths
286,2021-05-25,10878.0,Tablecloths
287,2021-05-26,10878.0,Tablecloths
288,2021-05-27,6597.0,Tablecloths
289,2021-05-28,6597.0,Tablecloths
290,2021-05-29,4540.0,Tablecloths
291,2021-05-30,4540.0,Tablecloths
292,2021-05-31,4540.0,Tablecloths
293,2021-06-01,6665.0,Tablecloths
294,2021-06-02,6476.0,Tablecloths
295,2021-06-03,6476.0,Tablecloths
296,2021-06-04,8468.0,Tablecloths
297,2021-06-05,8468.0,Tablecloths
298,2021-06-06,4194.0,Tablecloths
299,2021-06-07,4194.0,Tablecloths
300,2021-06-08,6342.0,Tablecloths
301,2021-06-09,6342.0,Tablecloths
302,2021-06-10,8079.0,Tablecloths
303,2021-06-11,8079.0,Tablecloths
304,2021-06-12,8079.0,Tablecloths
305,2021-06-13,10433.0,Tablecloths
306,2021-06-14,10433.0,Tablecloths
307,2021-06-15,10505.0,Tablecloths
308,2021-06-16,10505.0,Tablecloths
309,2021-06-17,10505.0,Tablecloths
310,2021-06-18,11683.0,Tablecloths
311,2021-06-19,11683.0,Tablecloths
312,2021-06-20,11683.0,Tablecloths
313,2021-06-21,5453.0,Tablecloths
314,2021-06-22,7903.0,Tablecloths
315,2021-06-23,8788.0,Tablecloths
316,2021-06-24,8788.0,Tablecloths
317,2021-06-25,8712.0,Tablecloths
318,2021-06-26,8712.0,Tablecloths
319,2021-06-27,8712.0,Tablecloths
320,2021-06-28,8501.0,Tablecloths
321,2021-06-29,8501.0,Tablecloths
322,2021-06-30,10872.0,Tablecloths
323,2021-07-01,11314.0,Tablecloths
324,2021-07-02,11314.0,Tablecloths
325,2021-07-03,10055.0,Tablecloths
326,2021-07-04,10055.0,Tablecloths
327,2021-07-05,6520.0,Tablecloths
328,2021-07-06,6520.0,Tablecloths
329,2021-07-07,6520.0,Tablecloths
330,2021-07-08,10261.0,Tablecloths
331,2021-07-09,6070.0,Tablecloths
