,date,value,name_B07YV8KSBT
422,2021-02-17,933896.0,Pillowcases
423,2021-02-18,928397.0,Pillowcases
424,2021-02-19,936123.0,Pillowcases
425,2021-02-20,946501.0,Pillowcases
426,2021-02-21,948347.0,Pillowcases
427,2021-02-22,521543.0,Pillowcases
428,2021-02-23,731022.0,Pillowcases
429,2021-02-24,638083.0,Pillowcases
430,2021-02-25,757330.0,Pillowcases
431,2021-02-26,817557.0,Pillowcases
432,2021-02-27,866897.0,Pillowcases
433,2021-02-28,920638.0,Pillowcases
434,2021-03-01,969981.0,Pillowcases
435,2021-03-02,969981.0,Pillowcases
436,2021-03-03,969981.0,Pillowcases
437,2021-03-04,830725.0,Pillowcases
438,2021-03-05,538397.0,Pillowcases
439,2021-03-06,538397.0,Pillowcases
440,2021-03-07,9356.0,Pillowcases
441,2021-03-08,10250.0,Pillowcases
442,2021-03-09,10250.0,Pillowcases
443,2021-03-10,10250.0,Pillowcases
444,2021-03-11,10233.0,Pillowcases
445,2021-03-12,10015.0,Pillowcases
446,2021-03-13,10015.0,Pillowcases
447,2021-03-14,9840.0,Pillowcases
448,2021-03-15,9123.0,Pillowcases
449,2021-03-16,10361.0,Pillowcases
450,2021-03-17,10611.0,Pillowcases
451,2021-03-18,12899.0,Pillowcases
452,2021-03-19,9359.0,Pillowcases
453,2021-03-20,8449.0,Pillowcases
454,2021-03-21,11096.0,Pillowcases
455,2021-03-22,10034.0,Pillowcases
456,2021-03-23,10499.0,Pillowcases
457,2021-03-24,9868.0,Pillowcases
458,2021-03-25,10638.0,Pillowcases
459,2021-03-26,10638.0,Pillowcases
460,2021-03-27,10356.0,Pillowcases
461,2021-03-28,7672.0,Pillowcases
462,2021-03-29,6631.0,Pillowcases
463,2021-03-30,7640.0,Pillowcases
464,2021-03-31,6386.0,Pillowcases
465,2021-04-01,5222.0,Pillowcases
466,2021-04-02,5250.0,Pillowcases
467,2021-04-03,4600.0,Pillowcases
468,2021-04-04,3791.0,Pillowcases
469,2021-04-05,2230.0,Pillowcases
470,2021-04-06,2415.0,Pillowcases
471,2021-04-07,1985.0,Pillowcases
472,2021-04-08,1860.0,Pillowcases
473,2021-04-09,1860.0,Pillowcases
474,2021-04-10,1418.0,Pillowcases
475,2021-04-11,1134.0,Pillowcases
476,2021-04-12,1134.0,Pillowcases
477,2021-04-13,895.0,Pillowcases
478,2021-04-14,857.0,Pillowcases
479,2021-04-15,695.0,Pillowcases
480,2021-04-16,911.0,Pillowcases
481,2021-04-17,836.0,Pillowcases
482,2021-04-18,696.0,Pillowcases
483,2021-04-19,624.0,Pillowcases
484,2021-04-20,611.0,Pillowcases
485,2021-04-21,611.0,Pillowcases
486,2021-04-22,527.0,Pillowcases
487,2021-04-23,552.0,Pillowcases
488,2021-04-24,566.0,Pillowcases
489,2021-04-25,543.0,Pillowcases
490,2021-04-26,470.0,Pillowcases
491,2021-04-27,459.0,Pillowcases
492,2021-04-28,532.0,Pillowcases
