,date,value,name_B082385NCV
509,2021-04-23,20111.0,Throws
510,2021-04-24,23192.0,Throws
511,2021-04-25,23192.0,Throws
512,2021-04-26,17495.0,Throws
513,2021-04-27,16695.0,Throws
514,2021-04-28,16695.0,Throws
515,2021-04-29,20926.0,Throws
516,2021-04-30,20926.0,Throws
517,2021-05-01,20926.0,Throws
518,2021-05-02,25053.0,Throws
519,2021-05-03,25053.0,Throws
520,2021-05-04,23517.0,Throws
521,2021-05-05,21385.0,Throws
522,2021-05-06,20104.0,Throws
523,2021-05-07,20104.0,Throws
524,2021-05-08,20104.0,Throws
525,2021-05-09,20574.0,Throws
526,2021-05-10,20574.0,Throws
527,2021-05-11,15688.0,Throws
528,2021-05-12,16143.0,Throws
529,2021-05-13,16143.0,Throws
530,2021-05-14,14514.0,Throws
531,2021-05-15,14514.0,Throws
532,2021-05-16,14514.0,Throws
533,2021-05-17,22633.0,Throws
534,2021-05-18,22633.0,Throws
535,2021-05-19,17198.0,Throws
536,2021-05-20,22096.0,Throws
537,2021-05-21,19879.0,Throws
538,2021-05-22,17066.0,Throws
539,2021-05-23,17066.0,Throws
540,2021-05-24,22745.0,Throws
541,2021-05-25,18555.0,Throws
542,2021-05-26,18555.0,Throws
543,2021-05-27,20914.0,Throws
544,2021-05-28,26557.0,Throws
545,2021-05-29,26557.0,Throws
546,2021-05-30,26557.0,Throws
547,2021-05-31,15484.0,Throws
548,2021-06-01,15379.0,Throws
549,2021-06-02,15379.0,Throws
550,2021-06-03,15379.0,Throws
551,2021-06-04,17560.0,Throws
552,2021-06-05,17560.0,Throws
553,2021-06-06,19621.0,Throws
554,2021-06-07,19762.0,Throws
555,2021-06-08,21493.0,Throws
556,2021-06-09,29445.0,Throws
557,2021-06-10,29445.0,Throws
558,2021-06-11,29445.0,Throws
559,2021-06-12,29445.0,Throws
560,2021-06-13,29728.0,Throws
561,2021-06-14,29728.0,Throws
562,2021-06-15,24377.0,Throws
563,2021-06-16,24377.0,Throws
564,2021-06-17,31772.0,Throws
565,2021-06-18,31772.0,Throws
566,2021-06-19,31772.0,Throws
567,2021-06-20,31772.0,Throws
568,2021-06-21,25091.0,Throws
569,2021-06-22,25192.0,Throws
570,2021-06-23,25192.0,Throws
571,2021-06-24,25038.0,Throws
572,2021-06-25,25038.0,Throws
573,2021-06-26,25038.0,Throws
574,2021-06-27,25038.0,Throws
575,2021-06-28,25038.0,Throws
576,2021-06-29,26895.0,Throws
577,2021-06-30,24973.0,Throws
578,2021-07-01,24973.0,Throws
579,2021-07-02,24973.0,Throws
580,2021-07-03,20018.0,Throws
581,2021-07-04,20018.0,Throws
582,2021-07-05,17013.0,Throws
583,2021-07-06,17067.0,Throws
584,2021-07-07,17853.0,Throws
585,2021-07-08,19360.0,Throws
586,2021-07-09,20564.0,Throws
587,2021-07-10,17955.0,Throws
