,date,value,name_B076YGNW2Z
404,2018-12-23,151634.0,Reading Glasses
405,2018-12-24,151634.0,Reading Glasses
406,2018-12-25,345891.0,Reading Glasses
407,2018-12-26,345891.0,Reading Glasses
408,2018-12-27,345891.0,Reading Glasses
409,2018-12-28,345891.0,Reading Glasses
410,2018-12-29,345891.0,Reading Glasses
411,2018-12-30,345891.0,Reading Glasses
412,2018-12-31,155915.0,Reading Glasses
413,2019-01-01,155915.0,Reading Glasses
414,2019-01-02,155915.0,Reading Glasses
415,2019-01-03,155915.0,Reading Glasses
416,2019-01-04,155915.0,Reading Glasses
417,2019-01-05,152016.0,Reading Glasses
418,2019-01-06,152016.0,Reading Glasses
419,2019-01-07,152016.0,Reading Glasses
420,2019-01-08,152016.0,Reading Glasses
421,2019-01-09,123595.0,Reading Glasses
422,2019-01-10,123595.0,Reading Glasses
423,2019-01-11,123595.0,Reading Glasses
424,2019-01-12,123595.0,Reading Glasses
425,2019-01-13,123595.0,Reading Glasses
426,2019-01-14,123595.0,Reading Glasses
427,2019-01-15,123595.0,Reading Glasses
428,2019-01-16,102778.0,Reading Glasses
429,2019-01-17,102778.0,Reading Glasses
430,2019-01-18,102778.0,Reading Glasses
431,2019-01-19,102778.0,Reading Glasses
432,2019-01-20,102778.0,Reading Glasses
433,2019-01-21,102778.0,Reading Glasses
434,2019-01-22,102778.0,Reading Glasses
435,2019-01-23,102778.0,Reading Glasses
436,2019-01-24,70826.0,Reading Glasses
437,2019-01-25,70826.0,Reading Glasses
438,2019-01-26,70826.0,Reading Glasses
439,2019-01-27,70826.0,Reading Glasses
440,2019-01-28,70826.0,Reading Glasses
441,2019-01-29,70826.0,Reading Glasses
442,2019-01-30,70826.0,Reading Glasses
443,2019-01-31,70826.0,Reading Glasses
444,2019-02-01,70826.0,Reading Glasses
445,2019-02-02,146462.0,Reading Glasses
446,2019-02-03,146462.0,Reading Glasses
447,2019-02-04,52107.0,Reading Glasses
448,2019-02-05,36790.0,Reading Glasses
449,2019-02-06,58247.0,Reading Glasses
450,2019-02-07,58247.0,Reading Glasses
451,2019-02-08,58247.0,Reading Glasses
452,2019-02-09,58247.0,Reading Glasses
453,2019-02-10,33704.0,Reading Glasses
454,2019-02-11,57129.0,Reading Glasses
455,2019-02-12,55185.0,Reading Glasses
