,date,value,name_B084ZF3695
346,2021-02-05,2595.0,Shower Curtain Liners
347,2021-02-06,2595.0,Shower Curtain Liners
348,2021-02-07,2595.0,Shower Curtain Liners
349,2021-02-08,2928.0,Shower Curtain Liners
350,2021-02-09,2928.0,Shower Curtain Liners
351,2021-02-10,3011.0,Shower Curtain Liners
352,2021-02-11,3261.0,Shower Curtain Liners
353,2021-02-12,3261.0,Shower Curtain Liners
354,2021-02-13,3261.0,Shower Curtain Liners
355,2021-02-14,3231.0,Shower Curtain Liners
356,2021-02-15,3231.0,Shower Curtain Liners
357,2021-02-16,2801.0,Shower Curtain Liners
358,2021-02-17,2574.0,Shower Curtain Liners
359,2021-02-18,2574.0,Shower Curtain Liners
360,2021-02-19,3324.0,Shower Curtain Liners
361,2021-02-20,3324.0,Shower Curtain Liners
362,2021-02-21,3509.0,Shower Curtain Liners
363,2021-02-22,3151.0,Shower Curtain Liners
364,2021-02-23,3333.0,Shower Curtain Liners
365,2021-02-24,3312.0,Shower Curtain Liners
366,2021-02-25,3424.0,Shower Curtain Liners
367,2021-02-26,3372.0,Shower Curtain Liners
368,2021-02-27,3478.0,Shower Curtain Liners
369,2021-02-28,3478.0,Shower Curtain Liners
370,2021-03-01,2973.0,Shower Curtain Liners
371,2021-03-02,3761.0,Shower Curtain Liners
372,2021-03-03,3761.0,Shower Curtain Liners
373,2021-03-04,4301.0,Shower Curtain Liners
374,2021-03-05,4301.0,Shower Curtain Liners
375,2021-03-06,3616.0,Shower Curtain Liners
376,2021-03-07,3616.0,Shower Curtain Liners
377,2021-03-08,3616.0,Shower Curtain Liners
378,2021-03-09,3722.0,Shower Curtain Liners
379,2021-03-10,3645.0,Shower Curtain Liners
380,2021-03-11,3194.0,Shower Curtain Liners
381,2021-03-12,4140.0,Shower Curtain Liners
382,2021-03-13,4140.0,Shower Curtain Liners
383,2021-03-14,4140.0,Shower Curtain Liners
384,2021-03-15,3123.0,Shower Curtain Liners
385,2021-03-16,3123.0,Shower Curtain Liners
386,2021-03-17,1841.0,Shower Curtain Liners
387,2021-03-18,1841.0,Shower Curtain Liners
388,2021-03-19,1841.0,Shower Curtain Liners
389,2021-03-20,1695.0,Shower Curtain Liners
390,2021-03-21,1638.0,Shower Curtain Liners
391,2021-03-22,1638.0,Shower Curtain Liners
392,2021-03-23,1638.0,Shower Curtain Liners
393,2021-03-24,2015.0,Shower Curtain Liners
394,2021-03-25,2015.0,Shower Curtain Liners
395,2021-03-26,2152.0,Shower Curtain Liners
396,2021-03-27,2180.0,Shower Curtain Liners
397,2021-03-28,2146.0,Shower Curtain Liners
398,2021-03-29,2146.0,Shower Curtain Liners
399,2021-03-30,2364.0,Shower Curtain Liners
400,2021-03-31,2513.0,Shower Curtain Liners
401,2021-04-01,2367.0,Shower Curtain Liners
402,2021-04-02,2523.0,Shower Curtain Liners
403,2021-04-03,2794.0,Shower Curtain Liners
404,2021-04-04,2633.0,Shower Curtain Liners
405,2021-04-05,2633.0,Shower Curtain Liners
406,2021-04-06,3270.0,Shower Curtain Liners
407,2021-04-07,3270.0,Shower Curtain Liners
408,2021-04-08,3824.0,Shower Curtain Liners
409,2021-04-09,3541.0,Shower Curtain Liners
410,2021-04-10,3541.0,Shower Curtain Liners
411,2021-04-11,3884.0,Shower Curtain Liners
412,2021-04-12,3291.0,Shower Curtain Liners
413,2021-04-13,3291.0,Shower Curtain Liners
414,2021-04-14,3492.0,Shower Curtain Liners
415,2021-04-15,3492.0,Shower Curtain Liners
416,2021-04-16,4164.0,Shower Curtain Liners
417,2021-04-17,4164.0,Shower Curtain Liners
418,2021-04-18,5202.0,Shower Curtain Liners
419,2021-04-19,5202.0,Shower Curtain Liners
420,2021-04-20,3252.0,Shower Curtain Liners
421,2021-04-21,3252.0,Shower Curtain Liners
422,2021-04-22,2412.0,Shower Curtain Liners
423,2021-04-23,2412.0,Shower Curtain Liners
424,2021-04-24,2807.0,Shower Curtain Liners
425,2021-04-25,2807.0,Shower Curtain Liners
426,2021-04-26,2308.0,Shower Curtain Liners
427,2021-04-27,2308.0,Shower Curtain Liners
428,2021-04-28,3018.0,Shower Curtain Liners
429,2021-04-29,3018.0,Shower Curtain Liners
430,2021-04-30,4598.0,Shower Curtain Liners
431,2021-05-01,4082.0,Shower Curtain Liners
432,2021-05-02,4082.0,Shower Curtain Liners
433,2021-05-03,4641.0,Shower Curtain Liners
434,2021-05-04,5175.0,Shower Curtain Liners
435,2021-05-05,5023.0,Shower Curtain Liners
436,2021-05-06,5393.0,Shower Curtain Liners
437,2021-05-07,5939.0,Shower Curtain Liners
438,2021-05-08,5939.0,Shower Curtain Liners
439,2021-05-09,5843.0,Shower Curtain Liners
440,2021-05-10,5843.0,Shower Curtain Liners
441,2021-05-11,4622.0,Shower Curtain Liners
442,2021-05-12,4737.0,Shower Curtain Liners
443,2021-05-13,4737.0,Shower Curtain Liners
444,2021-05-14,4474.0,Shower Curtain Liners
445,2021-05-15,4474.0,Shower Curtain Liners
446,2021-05-16,4474.0,Shower Curtain Liners
447,2021-05-17,5203.0,Shower Curtain Liners
448,2021-05-18,4832.0,Shower Curtain Liners
449,2021-05-19,4669.0,Shower Curtain Liners
450,2021-05-20,5334.0,Shower Curtain Liners
451,2021-05-21,5816.0,Shower Curtain Liners
452,2021-05-22,5816.0,Shower Curtain Liners
453,2021-05-23,5798.0,Shower Curtain Liners
454,2021-05-24,5617.0,Shower Curtain Liners
455,2021-05-25,5917.0,Shower Curtain Liners
456,2021-05-26,5785.0,Shower Curtain Liners
457,2021-05-27,5785.0,Shower Curtain Liners
458,2021-05-28,6170.0,Shower Curtain Liners
459,2021-05-29,6170.0,Shower Curtain Liners
460,2021-05-30,6268.0,Shower Curtain Liners
461,2021-05-31,6268.0,Shower Curtain Liners
462,2021-06-01,6583.0,Shower Curtain Liners
463,2021-06-02,7207.0,Shower Curtain Liners
464,2021-06-03,7207.0,Shower Curtain Liners
465,2021-06-04,6446.0,Shower Curtain Liners
466,2021-06-05,6446.0,Shower Curtain Liners
467,2021-06-06,6446.0,Shower Curtain Liners
468,2021-06-07,6958.0,Shower Curtain Liners
469,2021-06-08,7310.0,Shower Curtain Liners
470,2021-06-09,5891.0,Shower Curtain Liners
471,2021-06-10,6651.0,Shower Curtain Liners
472,2021-06-11,7029.0,Shower Curtain Liners
473,2021-06-12,7029.0,Shower Curtain Liners
474,2021-06-13,6499.0,Shower Curtain Liners
475,2021-06-14,6784.0,Shower Curtain Liners
476,2021-06-15,5320.0,Shower Curtain Liners
477,2021-06-16,8107.0,Shower Curtain Liners
478,2021-06-17,8107.0,Shower Curtain Liners
479,2021-06-18,8107.0,Shower Curtain Liners
480,2021-06-19,6714.0,Shower Curtain Liners
481,2021-06-20,6714.0,Shower Curtain Liners
482,2021-06-21,8295.0,Shower Curtain Liners
483,2021-06-22,8295.0,Shower Curtain Liners
