,date,value,name_B07Q358Y39
262,2020-02-17,13269.0,Table Skirts
263,2020-02-18,13269.0,Table Skirts
264,2020-02-19,12725.0,Table Skirts
265,2020-02-20,10763.0,Table Skirts
266,2020-02-21,12206.0,Table Skirts
267,2020-02-22,12206.0,Table Skirts
268,2020-02-23,11413.0,Table Skirts
269,2020-02-24,11413.0,Table Skirts
270,2020-02-25,12310.0,Table Skirts
271,2020-02-26,11805.0,Table Skirts
272,2020-02-27,11805.0,Table Skirts
273,2020-02-28,11805.0,Table Skirts
274,2020-02-29,11805.0,Table Skirts
275,2020-03-01,16565.0,Table Skirts
276,2020-03-02,14599.0,Table Skirts
277,2020-03-03,11650.0,Table Skirts
278,2020-03-04,11650.0,Table Skirts
279,2020-03-05,13333.0,Table Skirts
280,2020-03-06,13147.0,Table Skirts
281,2020-03-07,13147.0,Table Skirts
282,2020-03-08,13147.0,Table Skirts
283,2020-03-09,-1.0,Table Skirts
