,date,value,name_B07BSHS3GN
307,2019-05-13,4717.0,Vertical & Wall Planters
308,2019-05-14,5148.0,Vertical & Wall Planters
309,2019-05-15,6850.0,Vertical & Wall Planters
310,2019-05-16,6481.0,Vertical & Wall Planters
311,2019-05-17,7687.0,Vertical & Wall Planters
312,2019-05-18,7344.0,Vertical & Wall Planters
313,2019-05-19,5397.0,Vertical & Wall Planters
314,2019-05-20,5397.0,Vertical & Wall Planters
315,2019-05-21,5397.0,Vertical & Wall Planters
316,2019-05-22,5397.0,Vertical & Wall Planters
317,2019-05-23,9255.0,Vertical & Wall Planters
318,2019-05-24,9557.0,Vertical & Wall Planters
319,2019-05-25,13293.0,Vertical & Wall Planters
320,2019-05-26,13293.0,Vertical & Wall Planters
321,2019-05-27,15124.0,Vertical & Wall Planters
322,2019-05-28,15124.0,Vertical & Wall Planters
323,2019-05-29,15124.0,Vertical & Wall Planters
324,2019-05-30,15124.0,Vertical & Wall Planters
325,2019-05-31,17712.0,Vertical & Wall Planters
326,2019-06-01,16292.0,Vertical & Wall Planters
327,2019-06-02,9645.0,Vertical & Wall Planters
328,2019-06-03,9645.0,Vertical & Wall Planters
329,2019-06-04,23522.0,Vertical & Wall Planters
330,2019-06-05,33897.0,Vertical & Wall Planters
331,2019-06-06,41372.0,Vertical & Wall Planters
332,2019-06-07,41372.0,Vertical & Wall Planters
333,2019-06-08,41372.0,Vertical & Wall Planters
334,2019-06-09,66535.0,Vertical & Wall Planters
335,2019-06-10,66535.0,Vertical & Wall Planters
336,2019-06-11,66535.0,Vertical & Wall Planters
337,2019-06-12,66535.0,Vertical & Wall Planters
338,2019-06-13,66535.0,Vertical & Wall Planters
339,2019-06-14,66535.0,Vertical & Wall Planters
340,2019-06-15,66535.0,Vertical & Wall Planters
341,2019-06-16,66535.0,Vertical & Wall Planters
342,2019-06-17,66535.0,Vertical & Wall Planters
343,2019-06-18,84353.0,Vertical & Wall Planters
344,2019-06-19,84353.0,Vertical & Wall Planters
345,2019-06-20,84353.0,Vertical & Wall Planters
346,2019-06-21,84353.0,Vertical & Wall Planters
347,2019-06-22,84353.0,Vertical & Wall Planters
348,2019-06-23,84353.0,Vertical & Wall Planters
349,2019-06-24,84353.0,Vertical & Wall Planters
350,2019-06-25,12016.0,Vertical & Wall Planters
351,2019-06-26,12016.0,Vertical & Wall Planters
352,2019-06-27,12016.0,Vertical & Wall Planters
353,2019-06-28,10270.0,Vertical & Wall Planters
354,2019-06-29,10270.0,Vertical & Wall Planters
355,2019-06-30,15478.0,Vertical & Wall Planters
356,2019-07-01,15478.0,Vertical & Wall Planters
357,2019-07-02,10037.0,Vertical & Wall Planters
358,2019-07-03,10037.0,Vertical & Wall Planters
359,2019-07-04,10037.0,Vertical & Wall Planters
360,2019-07-05,9248.0,Vertical & Wall Planters
361,2019-07-06,9248.0,Vertical & Wall Planters
362,2019-07-07,7233.0,Vertical & Wall Planters
363,2019-07-08,7233.0,Vertical & Wall Planters
364,2019-07-09,8581.0,Vertical & Wall Planters
365,2019-07-10,8581.0,Vertical & Wall Planters
366,2019-07-11,8581.0,Vertical & Wall Planters
367,2019-07-12,8796.0,Vertical & Wall Planters
368,2019-07-13,8796.0,Vertical & Wall Planters
369,2019-07-14,8796.0,Vertical & Wall Planters
370,2019-07-15,9440.0,Vertical & Wall Planters
371,2019-07-16,9440.0,Vertical & Wall Planters
372,2019-07-17,9440.0,Vertical & Wall Planters
373,2019-07-18,7690.0,Vertical & Wall Planters
374,2019-07-19,11248.0,Vertical & Wall Planters
375,2019-07-20,11248.0,Vertical & Wall Planters
376,2019-07-21,7700.0,Vertical & Wall Planters
377,2019-07-22,8575.0,Vertical & Wall Planters
378,2019-07-23,8575.0,Vertical & Wall Planters
379,2019-07-24,12485.0,Vertical & Wall Planters
380,2019-07-25,12485.0,Vertical & Wall Planters
381,2019-07-26,12485.0,Vertical & Wall Planters
382,2019-07-27,8964.0,Vertical & Wall Planters
383,2019-07-28,8964.0,Vertical & Wall Planters
384,2019-07-29,8849.0,Vertical & Wall Planters
385,2019-07-30,8849.0,Vertical & Wall Planters
386,2019-07-31,8849.0,Vertical & Wall Planters
387,2019-08-01,11893.0,Vertical & Wall Planters
388,2019-08-02,11893.0,Vertical & Wall Planters
389,2019-08-03,11893.0,Vertical & Wall Planters
390,2019-08-04,8557.0,Vertical & Wall Planters
391,2019-08-05,8557.0,Vertical & Wall Planters
392,2019-08-06,8461.0,Vertical & Wall Planters
393,2019-08-07,6419.0,Vertical & Wall Planters
394,2019-08-08,4841.0,Vertical & Wall Planters
395,2019-08-09,4841.0,Vertical & Wall Planters
396,2019-08-10,4346.0,Vertical & Wall Planters
397,2019-08-11,4346.0,Vertical & Wall Planters
398,2019-08-12,4979.0,Vertical & Wall Planters
399,2019-08-13,4979.0,Vertical & Wall Planters
400,2019-08-14,4979.0,Vertical & Wall Planters
401,2019-08-15,3924.0,Vertical & Wall Planters
402,2019-08-16,2930.0,Vertical & Wall Planters
403,2019-08-17,2930.0,Vertical & Wall Planters
404,2019-08-18,3722.0,Vertical & Wall Planters
405,2019-08-19,3722.0,Vertical & Wall Planters
406,2019-08-20,4269.0,Vertical & Wall Planters
407,2019-08-21,4269.0,Vertical & Wall Planters
408,2019-08-22,2789.0,Vertical & Wall Planters
409,2019-08-23,3434.0,Vertical & Wall Planters
410,2019-08-24,2624.0,Vertical & Wall Planters
411,2019-08-25,2624.0,Vertical & Wall Planters
412,2019-08-26,2624.0,Vertical & Wall Planters
413,2019-08-27,3181.0,Vertical & Wall Planters
414,2019-08-28,4061.0,Vertical & Wall Planters
415,2019-08-29,3579.0,Vertical & Wall Planters
416,2019-08-30,4934.0,Vertical & Wall Planters
417,2019-08-31,3435.0,Vertical & Wall Planters
418,2019-09-01,3435.0,Vertical & Wall Planters
419,2019-09-02,3435.0,Vertical & Wall Planters
420,2019-09-03,3076.0,Vertical & Wall Planters
421,2019-09-04,3559.0,Vertical & Wall Planters
422,2019-09-05,2695.0,Vertical & Wall Planters
423,2019-09-06,2940.0,Vertical & Wall Planters
424,2019-09-07,2629.0,Vertical & Wall Planters
425,2019-09-08,2829.0,Vertical & Wall Planters
426,2019-09-09,3597.0,Vertical & Wall Planters
427,2019-09-10,3219.0,Vertical & Wall Planters
428,2019-09-11,3760.0,Vertical & Wall Planters
429,2019-09-12,3520.0,Vertical & Wall Planters
430,2019-09-13,3111.0,Vertical & Wall Planters
431,2019-09-14,4112.0,Vertical & Wall Planters
432,2019-09-15,4112.0,Vertical & Wall Planters
433,2019-09-16,4112.0,Vertical & Wall Planters
434,2019-09-17,3180.0,Vertical & Wall Planters
435,2019-09-18,3354.0,Vertical & Wall Planters
436,2019-09-19,3354.0,Vertical & Wall Planters
437,2019-09-20,2732.0,Vertical & Wall Planters
438,2019-09-21,2535.0,Vertical & Wall Planters
439,2019-09-22,2664.0,Vertical & Wall Planters
440,2019-09-23,3715.0,Vertical & Wall Planters
441,2019-09-24,3872.0,Vertical & Wall Planters
442,2019-09-25,2537.0,Vertical & Wall Planters
443,2019-09-26,3915.0,Vertical & Wall Planters
444,2019-09-27,2557.0,Vertical & Wall Planters
445,2019-09-28,2557.0,Vertical & Wall Planters
446,2019-09-29,3854.0,Vertical & Wall Planters
447,2019-09-30,3854.0,Vertical & Wall Planters
448,2019-10-01,2353.0,Vertical & Wall Planters
449,2019-10-02,4049.0,Vertical & Wall Planters
450,2019-10-03,4190.0,Vertical & Wall Planters
451,2019-10-04,4190.0,Vertical & Wall Planters
452,2019-10-05,4190.0,Vertical & Wall Planters
453,2019-10-06,4190.0,Vertical & Wall Planters
454,2019-10-07,3266.0,Vertical & Wall Planters
455,2019-10-08,3266.0,Vertical & Wall Planters
456,2019-10-09,3266.0,Vertical & Wall Planters
457,2019-10-10,3266.0,Vertical & Wall Planters
458,2019-10-11,5684.0,Vertical & Wall Planters
459,2019-10-12,2800.0,Vertical & Wall Planters
460,2019-10-13,2800.0,Vertical & Wall Planters
461,2019-10-14,4078.0,Vertical & Wall Planters
462,2019-10-15,4078.0,Vertical & Wall Planters
463,2019-10-16,4078.0,Vertical & Wall Planters
464,2019-10-17,3879.0,Vertical & Wall Planters
465,2019-10-18,4019.0,Vertical & Wall Planters
466,2019-10-19,4019.0,Vertical & Wall Planters
467,2019-10-20,4371.0,Vertical & Wall Planters
468,2019-10-21,4371.0,Vertical & Wall Planters
469,2019-10-22,3284.0,Vertical & Wall Planters
470,2019-10-23,4047.0,Vertical & Wall Planters
471,2019-10-24,4047.0,Vertical & Wall Planters
472,2019-10-25,4047.0,Vertical & Wall Planters
473,2019-10-26,3876.0,Vertical & Wall Planters
474,2019-10-27,4572.0,Vertical & Wall Planters
475,2019-10-28,4572.0,Vertical & Wall Planters
476,2019-10-29,3931.0,Vertical & Wall Planters
477,2019-10-30,3857.0,Vertical & Wall Planters
478,2019-10-31,4871.0,Vertical & Wall Planters
479,2019-11-01,2991.0,Vertical & Wall Planters
480,2019-11-02,2580.0,Vertical & Wall Planters
481,2019-11-03,4073.0,Vertical & Wall Planters
482,2019-11-04,4073.0,Vertical & Wall Planters
483,2019-11-05,3694.0,Vertical & Wall Planters
484,2019-11-06,3694.0,Vertical & Wall Planters
485,2019-11-07,4676.0,Vertical & Wall Planters
486,2019-11-08,4676.0,Vertical & Wall Planters
487,2019-11-09,4676.0,Vertical & Wall Planters
488,2019-11-10,4676.0,Vertical & Wall Planters
489,2019-11-11,4676.0,Vertical & Wall Planters
490,2019-11-12,4289.0,Vertical & Wall Planters
491,2019-11-13,3346.0,Vertical & Wall Planters
492,2019-11-14,3346.0,Vertical & Wall Planters
493,2019-11-15,3346.0,Vertical & Wall Planters
494,2019-11-16,3346.0,Vertical & Wall Planters
495,2019-11-17,3277.0,Vertical & Wall Planters
496,2019-11-18,3277.0,Vertical & Wall Planters
497,2019-11-19,5163.0,Vertical & Wall Planters
498,2019-11-20,5163.0,Vertical & Wall Planters
499,2019-11-21,2991.0,Vertical & Wall Planters
500,2019-11-22,2991.0,Vertical & Wall Planters
501,2019-11-23,2991.0,Vertical & Wall Planters
502,2019-11-24,6985.0,Vertical & Wall Planters
503,2019-11-25,3697.0,Vertical & Wall Planters
504,2019-11-26,2929.0,Vertical & Wall Planters
505,2019-11-27,2929.0,Vertical & Wall Planters
506,2019-11-28,3296.0,Vertical & Wall Planters
507,2019-11-29,2342.0,Vertical & Wall Planters
508,2019-11-30,2342.0,Vertical & Wall Planters
509,2019-12-01,2442.0,Vertical & Wall Planters
510,2019-12-02,2442.0,Vertical & Wall Planters
511,2019-12-03,1550.0,Vertical & Wall Planters
512,2019-12-04,1550.0,Vertical & Wall Planters
513,2019-12-05,1550.0,Vertical & Wall Planters
514,2019-12-06,2222.0,Vertical & Wall Planters
515,2019-12-07,1749.0,Vertical & Wall Planters
516,2019-12-08,3024.0,Vertical & Wall Planters
517,2019-12-09,3024.0,Vertical & Wall Planters
518,2019-12-10,3024.0,Vertical & Wall Planters
519,2019-12-11,3024.0,Vertical & Wall Planters
520,2019-12-12,2783.0,Vertical & Wall Planters
521,2019-12-13,2483.0,Vertical & Wall Planters
522,2019-12-14,1761.0,Vertical & Wall Planters
523,2019-12-15,1761.0,Vertical & Wall Planters
524,2019-12-16,2041.0,Vertical & Wall Planters
525,2019-12-17,1656.0,Vertical & Wall Planters
526,2019-12-18,1863.0,Vertical & Wall Planters
