,date,value,name_B086LL5SC6
177,2020-11-18,16266.0,Ointments
178,2020-11-19,16266.0,Ointments
179,2020-11-20,15749.0,Ointments
180,2020-11-21,15749.0,Ointments
181,2020-11-22,15749.0,Ointments
182,2020-11-23,15219.0,Ointments
183,2020-11-24,15219.0,Ointments
184,2020-11-25,15219.0,Ointments
185,2020-11-26,15933.0,Ointments
186,2020-11-27,15933.0,Ointments
187,2020-11-28,15933.0,Ointments
188,2020-11-29,15374.0,Ointments
189,2020-11-30,15374.0,Ointments
190,2020-12-01,14568.0,Ointments
191,2020-12-02,14568.0,Ointments
192,2020-12-03,14568.0,Ointments
193,2020-12-04,16131.0,Ointments
194,2020-12-05,16131.0,Ointments
195,2020-12-06,16131.0,Ointments
196,2020-12-07,15704.0,Ointments
197,2020-12-08,18086.0,Ointments
198,2020-12-09,18086.0,Ointments
199,2020-12-10,18086.0,Ointments
200,2020-12-11,18086.0,Ointments
201,2020-12-12,15933.0,Ointments
202,2020-12-13,15933.0,Ointments
203,2020-12-14,15933.0,Ointments
204,2020-12-15,15933.0,Ointments
205,2020-12-16,13200.0,Ointments
206,2020-12-17,13200.0,Ointments
207,2020-12-18,13200.0,Ointments
208,2020-12-19,13200.0,Ointments
209,2020-12-20,12648.0,Ointments
210,2020-12-21,12648.0,Ointments
211,2020-12-22,12648.0,Ointments
212,2020-12-23,10947.0,Ointments
213,2020-12-24,10981.0,Ointments
214,2020-12-25,10981.0,Ointments
215,2020-12-26,10981.0,Ointments
216,2020-12-27,8681.0,Ointments
217,2020-12-28,8681.0,Ointments
218,2020-12-29,9516.0,Ointments
219,2020-12-30,9516.0,Ointments
220,2020-12-31,10492.0,Ointments
221,2021-01-01,10492.0,Ointments
222,2021-01-02,10698.0,Ointments
223,2021-01-03,12603.0,Ointments
224,2021-01-04,12603.0,Ointments
225,2021-01-05,12074.0,Ointments
226,2021-01-06,10962.0,Ointments
227,2021-01-07,10962.0,Ointments
228,2021-01-08,10962.0,Ointments
229,2021-01-09,10962.0,Ointments
230,2021-01-10,10016.0,Ointments
231,2021-01-11,10619.0,Ointments
232,2021-01-12,10619.0,Ointments
233,2021-01-13,9476.0,Ointments
234,2021-01-14,9476.0,Ointments
235,2021-01-15,9476.0,Ointments
236,2021-01-16,9495.0,Ointments
237,2021-01-17,11422.0,Ointments
238,2021-01-18,11422.0,Ointments
239,2021-01-19,11422.0,Ointments
240,2021-01-20,9493.0,Ointments
241,2021-01-21,9493.0,Ointments
242,2021-01-22,9493.0,Ointments
243,2021-01-23,10351.0,Ointments
244,2021-01-24,10351.0,Ointments
245,2021-01-25,10351.0,Ointments
246,2021-01-26,12549.0,Ointments
247,2021-01-27,12549.0,Ointments
248,2021-01-28,10766.0,Ointments
249,2021-01-29,11779.0,Ointments
250,2021-01-30,10424.0,Ointments
251,2021-01-31,10424.0,Ointments
252,2021-02-01,10424.0,Ointments
253,2021-02-02,11467.0,Ointments
254,2021-02-03,11467.0,Ointments
255,2021-02-04,9011.0,Ointments
256,2021-02-05,10976.0,Ointments
257,2021-02-06,12211.0,Ointments
258,2021-02-07,12211.0,Ointments
259,2021-02-08,11228.0,Ointments
260,2021-02-09,11228.0,Ointments
261,2021-02-10,10544.0,Ointments
262,2021-02-11,10544.0,Ointments
263,2021-02-12,8962.0,Ointments
264,2021-02-13,8962.0,Ointments
265,2021-02-14,8962.0,Ointments
266,2021-02-15,10838.0,Ointments
267,2021-02-16,10838.0,Ointments
268,2021-02-17,10838.0,Ointments
269,2021-02-18,11707.0,Ointments
270,2021-02-19,11707.0,Ointments
271,2021-02-20,12554.0,Ointments
272,2021-02-21,12554.0,Ointments
273,2021-02-22,12554.0,Ointments
274,2021-02-23,11518.0,Ointments
275,2021-02-24,11518.0,Ointments
276,2021-02-25,12902.0,Ointments
277,2021-02-26,12902.0,Ointments
278,2021-02-27,12902.0,Ointments
279,2021-02-28,12902.0,Ointments
280,2021-03-01,12805.0,Ointments
281,2021-03-02,12805.0,Ointments
282,2021-03-03,12805.0,Ointments
283,2021-03-04,12805.0,Ointments
284,2021-03-05,13991.0,Ointments
285,2021-03-06,13991.0,Ointments
286,2021-03-07,11153.0,Ointments
287,2021-03-08,11153.0,Ointments
288,2021-03-09,11153.0,Ointments
289,2021-03-10,10020.0,Ointments
290,2021-03-11,10020.0,Ointments
291,2021-03-12,8001.0,Ointments
292,2021-03-13,8001.0,Ointments
293,2021-03-14,8001.0,Ointments
294,2021-03-15,8001.0,Ointments
295,2021-03-16,13567.0,Ointments
296,2021-03-17,10067.0,Ointments
297,2021-03-18,10067.0,Ointments
298,2021-03-19,10067.0,Ointments
299,2021-03-20,10067.0,Ointments
300,2021-03-21,10067.0,Ointments
301,2021-03-22,10150.0,Ointments
302,2021-03-23,10150.0,Ointments
303,2021-03-24,8204.0,Ointments
304,2021-03-25,8204.0,Ointments
305,2021-03-26,9835.0,Ointments
306,2021-03-27,9835.0,Ointments
307,2021-03-28,9217.0,Ointments
308,2021-03-29,9217.0,Ointments
309,2021-03-30,9217.0,Ointments
310,2021-03-31,9307.0,Ointments
311,2021-04-01,9307.0,Ointments
312,2021-04-02,8246.0,Ointments
313,2021-04-03,8246.0,Ointments
314,2021-04-04,8246.0,Ointments
315,2021-04-05,10075.0,Ointments
316,2021-04-06,9190.0,Ointments
317,2021-04-07,9190.0,Ointments
318,2021-04-08,10117.0,Ointments
319,2021-04-09,10117.0,Ointments
320,2021-04-10,3473.0,Ointments
321,2021-04-11,3473.0,Ointments
322,2021-04-12,4707.0,Ointments
323,2021-04-13,4707.0,Ointments
324,2021-04-14,6461.0,Ointments
325,2021-04-15,6461.0,Ointments
326,2021-04-16,5821.0,Ointments
327,2021-04-17,6291.0,Ointments
328,2021-04-18,6291.0,Ointments
329,2021-04-19,8592.0,Ointments
330,2021-04-20,7234.0,Ointments
331,2021-04-21,7234.0,Ointments
332,2021-04-22,8420.0,Ointments
333,2021-04-23,8002.0,Ointments
334,2021-04-24,8002.0,Ointments
335,2021-04-25,8002.0,Ointments
336,2021-04-26,9108.0,Ointments
337,2021-04-27,9108.0,Ointments
