,date,value,name_B07YB6HSB7
229,2020-05-12,5403.0,Wall & Tabletop Frames
230,2020-05-13,5403.0,Wall & Tabletop Frames
231,2020-05-14,5893.0,Wall & Tabletop Frames
232,2020-05-15,7406.0,Wall & Tabletop Frames
233,2020-05-16,7406.0,Wall & Tabletop Frames
234,2020-05-17,7406.0,Wall & Tabletop Frames
235,2020-05-18,8151.0,Wall & Tabletop Frames
236,2020-05-19,8151.0,Wall & Tabletop Frames
237,2020-05-20,7984.0,Wall & Tabletop Frames
238,2020-05-21,7984.0,Wall & Tabletop Frames
239,2020-05-22,8244.0,Wall & Tabletop Frames
240,2020-05-23,8244.0,Wall & Tabletop Frames
241,2020-05-24,8261.0,Wall & Tabletop Frames
242,2020-05-25,9257.0,Wall & Tabletop Frames
243,2020-05-26,9257.0,Wall & Tabletop Frames
244,2020-05-27,8852.0,Wall & Tabletop Frames
245,2020-05-28,8852.0,Wall & Tabletop Frames
246,2020-05-29,8852.0,Wall & Tabletop Frames
247,2020-05-30,8662.0,Wall & Tabletop Frames
248,2020-05-31,8662.0,Wall & Tabletop Frames
249,2020-06-01,8662.0,Wall & Tabletop Frames
250,2020-06-02,13657.0,Wall & Tabletop Frames
251,2020-06-03,15825.0,Wall & Tabletop Frames
252,2020-06-04,15825.0,Wall & Tabletop Frames
253,2020-06-05,15825.0,Wall & Tabletop Frames
254,2020-06-06,44015.0,Wall & Tabletop Frames
255,2020-06-07,44015.0,Wall & Tabletop Frames
256,2020-06-08,44015.0,Wall & Tabletop Frames
257,2020-06-09,60401.0,Wall & Tabletop Frames
258,2020-06-10,73837.0,Wall & Tabletop Frames
259,2020-06-11,73837.0,Wall & Tabletop Frames
260,2020-06-12,73837.0,Wall & Tabletop Frames
261,2020-06-13,83577.0,Wall & Tabletop Frames
262,2020-06-14,83577.0,Wall & Tabletop Frames
263,2020-06-15,83577.0,Wall & Tabletop Frames
264,2020-06-16,83577.0,Wall & Tabletop Frames
265,2020-06-17,104099.0,Wall & Tabletop Frames
266,2020-06-18,104099.0,Wall & Tabletop Frames
267,2020-06-19,104099.0,Wall & Tabletop Frames
268,2020-06-20,104099.0,Wall & Tabletop Frames
269,2020-06-21,104099.0,Wall & Tabletop Frames
270,2020-06-22,104099.0,Wall & Tabletop Frames
271,2020-06-23,104099.0,Wall & Tabletop Frames
272,2020-06-24,104099.0,Wall & Tabletop Frames
273,2020-06-25,57864.0,Wall & Tabletop Frames
274,2020-06-26,57864.0,Wall & Tabletop Frames
275,2020-06-27,57864.0,Wall & Tabletop Frames
276,2020-06-28,57864.0,Wall & Tabletop Frames
277,2020-06-29,57864.0,Wall & Tabletop Frames
278,2020-06-30,57864.0,Wall & Tabletop Frames
279,2020-07-01,57864.0,Wall & Tabletop Frames
280,2020-07-02,82385.0,Wall & Tabletop Frames
281,2020-07-03,82385.0,Wall & Tabletop Frames
282,2020-07-04,82385.0,Wall & Tabletop Frames
283,2020-07-05,82385.0,Wall & Tabletop Frames
