,date,value,name_B07MG9KKW7
277,2019-11-23,391825.0,Sheet & Pillowcase Sets
278,2019-11-24,391825.0,Sheet & Pillowcase Sets
279,2019-11-25,177385.0,Sheet & Pillowcase Sets
280,2019-11-26,177385.0,Sheet & Pillowcase Sets
281,2019-11-27,177385.0,Sheet & Pillowcase Sets
282,2019-11-28,177385.0,Sheet & Pillowcase Sets
283,2019-11-29,177385.0,Sheet & Pillowcase Sets
284,2019-11-30,221060.0,Sheet & Pillowcase Sets
285,2019-12-01,221060.0,Sheet & Pillowcase Sets
286,2019-12-02,221060.0,Sheet & Pillowcase Sets
287,2019-12-03,221060.0,Sheet & Pillowcase Sets
288,2019-12-04,221060.0,Sheet & Pillowcase Sets
289,2019-12-05,221060.0,Sheet & Pillowcase Sets
290,2019-12-06,228689.0,Sheet & Pillowcase Sets
291,2019-12-07,228689.0,Sheet & Pillowcase Sets
292,2019-12-08,228689.0,Sheet & Pillowcase Sets
293,2019-12-09,228689.0,Sheet & Pillowcase Sets
294,2019-12-10,228689.0,Sheet & Pillowcase Sets
295,2019-12-11,228689.0,Sheet & Pillowcase Sets
296,2019-12-12,261713.0,Sheet & Pillowcase Sets
297,2019-12-13,261713.0,Sheet & Pillowcase Sets
298,2019-12-14,261713.0,Sheet & Pillowcase Sets
299,2019-12-15,261713.0,Sheet & Pillowcase Sets
300,2019-12-16,261713.0,Sheet & Pillowcase Sets
301,2019-12-17,261713.0,Sheet & Pillowcase Sets
302,2019-12-18,266502.0,Sheet & Pillowcase Sets
303,2019-12-19,260665.0,Sheet & Pillowcase Sets
304,2019-12-20,260665.0,Sheet & Pillowcase Sets
305,2019-12-21,260665.0,Sheet & Pillowcase Sets
306,2019-12-22,260665.0,Sheet & Pillowcase Sets
307,2019-12-23,260665.0,Sheet & Pillowcase Sets
308,2019-12-24,260665.0,Sheet & Pillowcase Sets
309,2019-12-25,260665.0,Sheet & Pillowcase Sets
310,2019-12-26,260665.0,Sheet & Pillowcase Sets
311,2019-12-27,260665.0,Sheet & Pillowcase Sets
312,2019-12-28,260665.0,Sheet & Pillowcase Sets
313,2019-12-29,260665.0,Sheet & Pillowcase Sets
314,2019-12-30,454471.0,Sheet & Pillowcase Sets
315,2019-12-31,454471.0,Sheet & Pillowcase Sets
316,2020-01-01,454471.0,Sheet & Pillowcase Sets
317,2020-01-02,454471.0,Sheet & Pillowcase Sets
318,2020-01-03,454471.0,Sheet & Pillowcase Sets
319,2020-01-04,454471.0,Sheet & Pillowcase Sets
320,2020-01-05,454471.0,Sheet & Pillowcase Sets
321,2020-01-06,454471.0,Sheet & Pillowcase Sets
322,2020-01-07,454471.0,Sheet & Pillowcase Sets
323,2020-01-08,272370.0,Sheet & Pillowcase Sets
324,2020-01-09,272370.0,Sheet & Pillowcase Sets
325,2020-01-10,272370.0,Sheet & Pillowcase Sets
326,2020-01-11,272370.0,Sheet & Pillowcase Sets
327,2020-01-12,272370.0,Sheet & Pillowcase Sets
328,2020-01-13,272370.0,Sheet & Pillowcase Sets
329,2020-01-14,272370.0,Sheet & Pillowcase Sets
330,2020-01-15,272370.0,Sheet & Pillowcase Sets
331,2020-01-16,184639.0,Sheet & Pillowcase Sets
332,2020-01-17,184639.0,Sheet & Pillowcase Sets
333,2020-01-18,184639.0,Sheet & Pillowcase Sets
334,2020-01-19,184639.0,Sheet & Pillowcase Sets
335,2020-01-20,283875.0,Sheet & Pillowcase Sets
336,2020-01-21,283875.0,Sheet & Pillowcase Sets
337,2020-01-22,283875.0,Sheet & Pillowcase Sets
338,2020-01-23,283875.0,Sheet & Pillowcase Sets
339,2020-01-24,283875.0,Sheet & Pillowcase Sets
340,2020-01-25,283875.0,Sheet & Pillowcase Sets
341,2020-01-26,283875.0,Sheet & Pillowcase Sets
342,2020-01-27,283875.0,Sheet & Pillowcase Sets
343,2020-01-28,110667.0,Sheet & Pillowcase Sets
344,2020-01-29,110667.0,Sheet & Pillowcase Sets
345,2020-01-30,110667.0,Sheet & Pillowcase Sets
346,2020-01-31,110667.0,Sheet & Pillowcase Sets
347,2020-02-01,110667.0,Sheet & Pillowcase Sets
348,2020-02-02,110667.0,Sheet & Pillowcase Sets
349,2020-02-03,110667.0,Sheet & Pillowcase Sets
350,2020-02-04,139855.0,Sheet & Pillowcase Sets
351,2020-02-05,139855.0,Sheet & Pillowcase Sets
352,2020-02-06,139855.0,Sheet & Pillowcase Sets
353,2020-02-07,139855.0,Sheet & Pillowcase Sets
354,2020-02-08,139855.0,Sheet & Pillowcase Sets
355,2020-02-09,139855.0,Sheet & Pillowcase Sets
356,2020-02-10,139855.0,Sheet & Pillowcase Sets
357,2020-02-11,105345.0,Sheet & Pillowcase Sets
358,2020-02-12,105345.0,Sheet & Pillowcase Sets
359,2020-02-13,105345.0,Sheet & Pillowcase Sets
360,2020-02-14,105345.0,Sheet & Pillowcase Sets
361,2020-02-15,105345.0,Sheet & Pillowcase Sets
362,2020-02-16,105345.0,Sheet & Pillowcase Sets
363,2020-02-17,105345.0,Sheet & Pillowcase Sets
364,2020-02-18,105345.0,Sheet & Pillowcase Sets
365,2020-02-19,235646.0,Sheet & Pillowcase Sets
366,2020-02-20,235646.0,Sheet & Pillowcase Sets
367,2020-02-21,235646.0,Sheet & Pillowcase Sets
368,2020-02-22,235646.0,Sheet & Pillowcase Sets
369,2020-02-23,235646.0,Sheet & Pillowcase Sets
370,2020-02-24,235646.0,Sheet & Pillowcase Sets
371,2020-02-25,162755.0,Sheet & Pillowcase Sets
372,2020-02-26,162755.0,Sheet & Pillowcase Sets
373,2020-02-27,162755.0,Sheet & Pillowcase Sets
374,2020-02-28,162755.0,Sheet & Pillowcase Sets
375,2020-02-29,162755.0,Sheet & Pillowcase Sets
376,2020-03-01,162755.0,Sheet & Pillowcase Sets
377,2020-03-02,162755.0,Sheet & Pillowcase Sets
378,2020-03-03,106386.0,Sheet & Pillowcase Sets
379,2020-03-04,106386.0,Sheet & Pillowcase Sets
380,2020-03-05,106386.0,Sheet & Pillowcase Sets
381,2020-03-06,106386.0,Sheet & Pillowcase Sets
382,2020-03-07,106386.0,Sheet & Pillowcase Sets
383,2020-03-08,106386.0,Sheet & Pillowcase Sets
384,2020-03-09,106386.0,Sheet & Pillowcase Sets
385,2020-03-10,106386.0,Sheet & Pillowcase Sets
386,2020-03-11,106386.0,Sheet & Pillowcase Sets
387,2020-03-12,106386.0,Sheet & Pillowcase Sets
388,2020-03-13,106386.0,Sheet & Pillowcase Sets
389,2020-03-14,106386.0,Sheet & Pillowcase Sets
390,2020-03-15,106386.0,Sheet & Pillowcase Sets
391,2020-03-16,50967.0,Sheet & Pillowcase Sets
392,2020-03-17,50967.0,Sheet & Pillowcase Sets
393,2020-03-18,50967.0,Sheet & Pillowcase Sets
394,2020-03-19,50967.0,Sheet & Pillowcase Sets
395,2020-03-20,48526.0,Sheet & Pillowcase Sets
396,2020-03-21,48526.0,Sheet & Pillowcase Sets
397,2020-03-22,48526.0,Sheet & Pillowcase Sets
398,2020-03-23,48526.0,Sheet & Pillowcase Sets
399,2020-03-24,48526.0,Sheet & Pillowcase Sets
400,2020-03-25,48526.0,Sheet & Pillowcase Sets
401,2020-03-26,48526.0,Sheet & Pillowcase Sets
402,2020-03-27,71730.0,Sheet & Pillowcase Sets
403,2020-03-28,71730.0,Sheet & Pillowcase Sets
404,2020-03-29,71730.0,Sheet & Pillowcase Sets
405,2020-03-30,71730.0,Sheet & Pillowcase Sets
406,2020-03-31,71730.0,Sheet & Pillowcase Sets
407,2020-04-01,66330.0,Sheet & Pillowcase Sets
408,2020-04-02,66330.0,Sheet & Pillowcase Sets
409,2020-04-03,66330.0,Sheet & Pillowcase Sets
410,2020-04-04,66330.0,Sheet & Pillowcase Sets
411,2020-04-05,66330.0,Sheet & Pillowcase Sets
412,2020-04-06,66330.0,Sheet & Pillowcase Sets
413,2020-04-07,66330.0,Sheet & Pillowcase Sets
414,2020-04-08,66330.0,Sheet & Pillowcase Sets
415,2020-04-09,66330.0,Sheet & Pillowcase Sets
416,2020-04-10,66330.0,Sheet & Pillowcase Sets
417,2020-04-11,66330.0,Sheet & Pillowcase Sets
418,2020-04-12,66330.0,Sheet & Pillowcase Sets
419,2020-04-13,100405.0,Sheet & Pillowcase Sets
420,2020-04-14,100405.0,Sheet & Pillowcase Sets
421,2020-04-15,100405.0,Sheet & Pillowcase Sets
422,2020-04-16,100405.0,Sheet & Pillowcase Sets
423,2020-04-17,100405.0,Sheet & Pillowcase Sets
424,2020-04-18,96488.0,Sheet & Pillowcase Sets
425,2020-04-19,96488.0,Sheet & Pillowcase Sets
426,2020-04-20,96488.0,Sheet & Pillowcase Sets
427,2020-04-21,96488.0,Sheet & Pillowcase Sets
428,2020-04-22,96488.0,Sheet & Pillowcase Sets
429,2020-04-23,96488.0,Sheet & Pillowcase Sets
430,2020-04-24,100819.0,Sheet & Pillowcase Sets
431,2020-04-25,100819.0,Sheet & Pillowcase Sets
432,2020-04-26,100819.0,Sheet & Pillowcase Sets
433,2020-04-27,100819.0,Sheet & Pillowcase Sets
434,2020-04-28,100819.0,Sheet & Pillowcase Sets
435,2020-04-29,100819.0,Sheet & Pillowcase Sets
436,2020-04-30,100819.0,Sheet & Pillowcase Sets
437,2020-05-01,73201.0,Sheet & Pillowcase Sets
438,2020-05-02,73201.0,Sheet & Pillowcase Sets
439,2020-05-03,73201.0,Sheet & Pillowcase Sets
440,2020-05-04,73201.0,Sheet & Pillowcase Sets
441,2020-05-05,73201.0,Sheet & Pillowcase Sets
442,2020-05-06,48044.0,Sheet & Pillowcase Sets
443,2020-05-07,48044.0,Sheet & Pillowcase Sets
444,2020-05-08,48044.0,Sheet & Pillowcase Sets
445,2020-05-09,48044.0,Sheet & Pillowcase Sets
446,2020-05-10,48044.0,Sheet & Pillowcase Sets
447,2020-05-11,51991.0,Sheet & Pillowcase Sets
448,2020-05-12,51991.0,Sheet & Pillowcase Sets
449,2020-05-13,51991.0,Sheet & Pillowcase Sets
450,2020-05-14,51991.0,Sheet & Pillowcase Sets
451,2020-05-15,51991.0,Sheet & Pillowcase Sets
452,2020-05-16,51991.0,Sheet & Pillowcase Sets
453,2020-05-17,51991.0,Sheet & Pillowcase Sets
454,2020-05-18,32000.0,Sheet & Pillowcase Sets
455,2020-05-19,32000.0,Sheet & Pillowcase Sets
456,2020-05-20,32000.0,Sheet & Pillowcase Sets
457,2020-05-21,32000.0,Sheet & Pillowcase Sets
458,2020-05-22,33667.0,Sheet & Pillowcase Sets
459,2020-05-23,33667.0,Sheet & Pillowcase Sets
460,2020-05-24,33667.0,Sheet & Pillowcase Sets
461,2020-05-25,21758.0,Sheet & Pillowcase Sets
462,2020-05-26,21758.0,Sheet & Pillowcase Sets
463,2020-05-27,21758.0,Sheet & Pillowcase Sets
464,2020-05-28,21758.0,Sheet & Pillowcase Sets
465,2020-05-29,31835.0,Sheet & Pillowcase Sets
466,2020-05-30,31835.0,Sheet & Pillowcase Sets
467,2020-05-31,31835.0,Sheet & Pillowcase Sets
468,2020-06-01,14160.0,Sheet & Pillowcase Sets
469,2020-06-02,14160.0,Sheet & Pillowcase Sets
470,2020-06-03,15981.0,Sheet & Pillowcase Sets
471,2020-06-04,15981.0,Sheet & Pillowcase Sets
472,2020-06-05,15981.0,Sheet & Pillowcase Sets
473,2020-06-06,15981.0,Sheet & Pillowcase Sets
474,2020-06-07,15981.0,Sheet & Pillowcase Sets
475,2020-06-08,12645.0,Sheet & Pillowcase Sets
476,2020-06-09,12645.0,Sheet & Pillowcase Sets
477,2020-06-10,12645.0,Sheet & Pillowcase Sets
478,2020-06-11,18115.0,Sheet & Pillowcase Sets
