,date,value,name_B07JNPRLY5
256,2020-11-06,3590.0,Lumbar Supports
257,2020-11-07,3914.0,Lumbar Supports
258,2020-11-08,3914.0,Lumbar Supports
259,2020-11-09,3914.0,Lumbar Supports
260,2020-11-10,3590.0,Lumbar Supports
261,2020-11-11,3590.0,Lumbar Supports
262,2020-11-12,3590.0,Lumbar Supports
263,2020-11-13,3834.0,Lumbar Supports
264,2020-11-14,3834.0,Lumbar Supports
265,2020-11-15,3862.0,Lumbar Supports
266,2020-11-16,3862.0,Lumbar Supports
267,2020-11-17,3862.0,Lumbar Supports
268,2020-11-18,4011.0,Lumbar Supports
269,2020-11-19,3577.0,Lumbar Supports
270,2020-11-20,3577.0,Lumbar Supports
271,2020-11-21,3577.0,Lumbar Supports
272,2020-11-22,4065.0,Lumbar Supports
273,2020-11-23,4396.0,Lumbar Supports
274,2020-11-24,4396.0,Lumbar Supports
275,2020-11-25,4318.0,Lumbar Supports
276,2020-11-26,4318.0,Lumbar Supports
277,2020-11-27,4318.0,Lumbar Supports
278,2020-11-28,3912.0,Lumbar Supports
279,2020-11-29,3912.0,Lumbar Supports
280,2020-11-30,3912.0,Lumbar Supports
281,2020-12-01,4411.0,Lumbar Supports
282,2020-12-02,4411.0,Lumbar Supports
283,2020-12-03,4411.0,Lumbar Supports
284,2020-12-04,4411.0,Lumbar Supports
285,2020-12-05,3955.0,Lumbar Supports
286,2020-12-06,3955.0,Lumbar Supports
287,2020-12-07,4073.0,Lumbar Supports
288,2020-12-08,3905.0,Lumbar Supports
289,2020-12-09,3905.0,Lumbar Supports
290,2020-12-10,4115.0,Lumbar Supports
291,2020-12-11,4674.0,Lumbar Supports
292,2020-12-12,4841.0,Lumbar Supports
293,2020-12-13,4782.0,Lumbar Supports
294,2020-12-14,4278.0,Lumbar Supports
295,2020-12-15,4466.0,Lumbar Supports
296,2020-12-16,4757.0,Lumbar Supports
297,2020-12-17,5344.0,Lumbar Supports
298,2020-12-18,4868.0,Lumbar Supports
299,2020-12-19,4824.0,Lumbar Supports
300,2020-12-20,4912.0,Lumbar Supports
301,2020-12-21,4805.0,Lumbar Supports
302,2020-12-22,4959.0,Lumbar Supports
303,2020-12-23,4595.0,Lumbar Supports
304,2020-12-24,4389.0,Lumbar Supports
305,2020-12-25,4949.0,Lumbar Supports
306,2020-12-26,4949.0,Lumbar Supports
307,2020-12-27,4949.0,Lumbar Supports
308,2020-12-28,5946.0,Lumbar Supports
309,2020-12-29,5356.0,Lumbar Supports
310,2020-12-30,5634.0,Lumbar Supports
311,2020-12-31,5634.0,Lumbar Supports
312,2021-01-01,4627.0,Lumbar Supports
313,2021-01-02,4627.0,Lumbar Supports
314,2021-01-03,4627.0,Lumbar Supports
315,2021-01-04,5348.0,Lumbar Supports
316,2021-01-05,4905.0,Lumbar Supports
317,2021-01-06,4905.0,Lumbar Supports
318,2021-01-07,5505.0,Lumbar Supports
319,2021-01-08,5505.0,Lumbar Supports
320,2021-01-09,5018.0,Lumbar Supports
321,2021-01-10,5018.0,Lumbar Supports
322,2021-01-11,4596.0,Lumbar Supports
323,2021-01-12,4596.0,Lumbar Supports
324,2021-01-13,5523.0,Lumbar Supports
325,2021-01-14,5523.0,Lumbar Supports
326,2021-01-15,5523.0,Lumbar Supports
327,2021-01-16,5201.0,Lumbar Supports
328,2021-01-17,5020.0,Lumbar Supports
329,2021-01-18,5020.0,Lumbar Supports
330,2021-01-19,5163.0,Lumbar Supports
331,2021-01-20,5498.0,Lumbar Supports
332,2021-01-21,5498.0,Lumbar Supports
333,2021-01-22,5498.0,Lumbar Supports
334,2021-01-23,4875.0,Lumbar Supports
335,2021-01-24,5035.0,Lumbar Supports
336,2021-01-25,5035.0,Lumbar Supports
337,2021-01-26,5035.0,Lumbar Supports
338,2021-01-27,4638.0,Lumbar Supports
339,2021-01-28,4638.0,Lumbar Supports
340,2021-01-29,4638.0,Lumbar Supports
341,2021-01-30,5904.0,Lumbar Supports
342,2021-01-31,5977.0,Lumbar Supports
343,2021-02-01,5977.0,Lumbar Supports
344,2021-02-02,7692.0,Lumbar Supports
345,2021-02-03,7692.0,Lumbar Supports
346,2021-02-04,7692.0,Lumbar Supports
347,2021-02-05,7692.0,Lumbar Supports
348,2021-02-06,8856.0,Lumbar Supports
349,2021-02-07,8856.0,Lumbar Supports
350,2021-02-08,8856.0,Lumbar Supports
351,2021-02-09,5696.0,Lumbar Supports
352,2021-02-10,5696.0,Lumbar Supports
353,2021-02-11,5629.0,Lumbar Supports
354,2021-02-12,5629.0,Lumbar Supports
355,2021-02-13,5629.0,Lumbar Supports
356,2021-02-14,6416.0,Lumbar Supports
357,2021-02-15,6416.0,Lumbar Supports
358,2021-02-16,6416.0,Lumbar Supports
359,2021-02-17,5375.0,Lumbar Supports
360,2021-02-18,5375.0,Lumbar Supports
361,2021-02-19,5375.0,Lumbar Supports
362,2021-02-20,5128.0,Lumbar Supports
363,2021-02-21,5128.0,Lumbar Supports
364,2021-02-22,5128.0,Lumbar Supports
365,2021-02-23,5150.0,Lumbar Supports
366,2021-02-24,5150.0,Lumbar Supports
367,2021-02-25,5150.0,Lumbar Supports
368,2021-02-26,3993.0,Lumbar Supports
369,2021-02-27,3993.0,Lumbar Supports
370,2021-02-28,4565.0,Lumbar Supports
371,2021-03-01,4448.0,Lumbar Supports
372,2021-03-02,4448.0,Lumbar Supports
373,2021-03-03,3943.0,Lumbar Supports
374,2021-03-04,4071.0,Lumbar Supports
375,2021-03-05,4071.0,Lumbar Supports
376,2021-03-06,3522.0,Lumbar Supports
377,2021-03-07,3522.0,Lumbar Supports
378,2021-03-08,3522.0,Lumbar Supports
379,2021-03-09,3776.0,Lumbar Supports
380,2021-03-10,3776.0,Lumbar Supports
381,2021-03-11,3776.0,Lumbar Supports
382,2021-03-12,3725.0,Lumbar Supports
383,2021-03-13,3725.0,Lumbar Supports
384,2021-03-14,4133.0,Lumbar Supports
385,2021-03-15,4133.0,Lumbar Supports
386,2021-03-16,4133.0,Lumbar Supports
387,2021-03-17,4090.0,Lumbar Supports
388,2021-03-18,4090.0,Lumbar Supports
389,2021-03-19,4090.0,Lumbar Supports
390,2021-03-20,4358.0,Lumbar Supports
391,2021-03-21,4358.0,Lumbar Supports
392,2021-03-22,4498.0,Lumbar Supports
393,2021-03-23,4498.0,Lumbar Supports
394,2021-03-24,3411.0,Lumbar Supports
395,2021-03-25,3411.0,Lumbar Supports
