,date,value,name_B00BXLQCP2
278,2021-02-27,3162.0,"Cookies, Biscuits & Snacks"
279,2021-02-28,3186.0,"Cookies, Biscuits & Snacks"
280,2021-03-01,3561.0,"Cookies, Biscuits & Snacks"
281,2021-03-02,2879.0,"Cookies, Biscuits & Snacks"
282,2021-03-03,2923.0,"Cookies, Biscuits & Snacks"
283,2021-03-04,2914.0,"Cookies, Biscuits & Snacks"
284,2021-03-05,2840.0,"Cookies, Biscuits & Snacks"
285,2021-03-06,2627.0,"Cookies, Biscuits & Snacks"
286,2021-03-07,2816.0,"Cookies, Biscuits & Snacks"
287,2021-03-08,3492.0,"Cookies, Biscuits & Snacks"
288,2021-03-09,2801.0,"Cookies, Biscuits & Snacks"
289,2021-03-10,3116.0,"Cookies, Biscuits & Snacks"
290,2021-03-11,2876.0,"Cookies, Biscuits & Snacks"
291,2021-03-12,2843.0,"Cookies, Biscuits & Snacks"
292,2021-03-13,2664.0,"Cookies, Biscuits & Snacks"
293,2021-03-14,2664.0,"Cookies, Biscuits & Snacks"
294,2021-03-15,2937.0,"Cookies, Biscuits & Snacks"
295,2021-03-16,2999.0,"Cookies, Biscuits & Snacks"
296,2021-03-17,3305.0,"Cookies, Biscuits & Snacks"
297,2021-03-18,3207.0,"Cookies, Biscuits & Snacks"
298,2021-03-19,3167.0,"Cookies, Biscuits & Snacks"
299,2021-03-20,3039.0,"Cookies, Biscuits & Snacks"
300,2021-03-21,3039.0,"Cookies, Biscuits & Snacks"
301,2021-03-22,3485.0,"Cookies, Biscuits & Snacks"
302,2021-03-23,3033.0,"Cookies, Biscuits & Snacks"
303,2021-03-24,3278.0,"Cookies, Biscuits & Snacks"
304,2021-03-25,3286.0,"Cookies, Biscuits & Snacks"
305,2021-03-26,3440.0,"Cookies, Biscuits & Snacks"
306,2021-03-27,3440.0,"Cookies, Biscuits & Snacks"
307,2021-03-28,3440.0,"Cookies, Biscuits & Snacks"
308,2021-03-29,3860.0,"Cookies, Biscuits & Snacks"
309,2021-03-30,2908.0,"Cookies, Biscuits & Snacks"
310,2021-03-31,3119.0,"Cookies, Biscuits & Snacks"
311,2021-04-01,3357.0,"Cookies, Biscuits & Snacks"
312,2021-04-02,3329.0,"Cookies, Biscuits & Snacks"
313,2021-04-03,2944.0,"Cookies, Biscuits & Snacks"
314,2021-04-04,2944.0,"Cookies, Biscuits & Snacks"
315,2021-04-05,2951.0,"Cookies, Biscuits & Snacks"
316,2021-04-06,2884.0,"Cookies, Biscuits & Snacks"
317,2021-04-07,2936.0,"Cookies, Biscuits & Snacks"
318,2021-04-08,2493.0,"Cookies, Biscuits & Snacks"
319,2021-04-09,3008.0,"Cookies, Biscuits & Snacks"
320,2021-04-10,2726.0,"Cookies, Biscuits & Snacks"
321,2021-04-11,2726.0,"Cookies, Biscuits & Snacks"
322,2021-04-12,2839.0,"Cookies, Biscuits & Snacks"
323,2021-04-13,3106.0,"Cookies, Biscuits & Snacks"
324,2021-04-14,3146.0,"Cookies, Biscuits & Snacks"
325,2021-04-15,3760.0,"Cookies, Biscuits & Snacks"
326,2021-04-16,3054.0,"Cookies, Biscuits & Snacks"
327,2021-04-17,3054.0,"Cookies, Biscuits & Snacks"
328,2021-04-18,4088.0,"Cookies, Biscuits & Snacks"
329,2021-04-19,6798.0,"Cookies, Biscuits & Snacks"
330,2021-04-20,8465.0,"Cookies, Biscuits & Snacks"
331,2021-04-21,5751.0,"Cookies, Biscuits & Snacks"
332,2021-04-22,6603.0,"Cookies, Biscuits & Snacks"
333,2021-04-23,9024.0,"Cookies, Biscuits & Snacks"
334,2021-04-24,12089.0,"Cookies, Biscuits & Snacks"
335,2021-04-25,15769.0,"Cookies, Biscuits & Snacks"
336,2021-04-26,19396.0,"Cookies, Biscuits & Snacks"
337,2021-04-27,4654.0,"Cookies, Biscuits & Snacks"
338,2021-04-28,4304.0,"Cookies, Biscuits & Snacks"
339,2021-04-29,3089.0,"Cookies, Biscuits & Snacks"
340,2021-04-30,3300.0,"Cookies, Biscuits & Snacks"
341,2021-05-01,3578.0,"Cookies, Biscuits & Snacks"
342,2021-05-02,3414.0,"Cookies, Biscuits & Snacks"
343,2021-05-03,4502.0,"Cookies, Biscuits & Snacks"
344,2021-05-04,8126.0,"Cookies, Biscuits & Snacks"
345,2021-05-05,10407.0,"Cookies, Biscuits & Snacks"
346,2021-05-06,4647.0,"Cookies, Biscuits & Snacks"
347,2021-05-07,4403.0,"Cookies, Biscuits & Snacks"
348,2021-05-08,2838.0,"Cookies, Biscuits & Snacks"
