,date,value,name_B07NTZW22K
265,2019-11-11,27779.0,Cartridge Pool Filters
266,2019-11-12,27982.0,Cartridge Pool Filters
267,2019-11-13,25099.0,Cartridge Pool Filters
268,2019-11-14,32163.0,Cartridge Pool Filters
269,2019-11-15,32163.0,Cartridge Pool Filters
270,2019-11-16,32163.0,Cartridge Pool Filters
271,2019-11-17,44079.0,Cartridge Pool Filters
272,2019-11-18,44079.0,Cartridge Pool Filters
273,2019-11-19,44079.0,Cartridge Pool Filters
274,2019-11-20,27849.0,Cartridge Pool Filters
275,2019-11-21,38959.0,Cartridge Pool Filters
276,2019-11-22,31882.0,Cartridge Pool Filters
277,2019-11-23,31882.0,Cartridge Pool Filters
278,2019-11-24,21447.0,Cartridge Pool Filters
279,2019-11-25,37197.0,Cartridge Pool Filters
280,2019-11-26,37197.0,Cartridge Pool Filters
281,2019-11-27,37197.0,Cartridge Pool Filters
282,2019-11-28,27229.0,Cartridge Pool Filters
283,2019-11-29,40746.0,Cartridge Pool Filters
284,2019-11-30,40746.0,Cartridge Pool Filters
285,2019-12-01,40746.0,Cartridge Pool Filters
286,2019-12-02,37181.0,Cartridge Pool Filters
287,2019-12-03,35437.0,Cartridge Pool Filters
288,2019-12-04,35437.0,Cartridge Pool Filters
289,2019-12-05,43843.0,Cartridge Pool Filters
290,2019-12-06,43843.0,Cartridge Pool Filters
291,2019-12-07,44682.0,Cartridge Pool Filters
292,2019-12-08,44682.0,Cartridge Pool Filters
293,2019-12-09,44682.0,Cartridge Pool Filters
294,2019-12-10,27240.0,Cartridge Pool Filters
295,2019-12-11,35733.0,Cartridge Pool Filters
296,2019-12-12,35733.0,Cartridge Pool Filters
297,2019-12-13,26847.0,Cartridge Pool Filters
298,2019-12-14,26847.0,Cartridge Pool Filters
299,2019-12-15,26847.0,Cartridge Pool Filters
300,2019-12-16,31040.0,Cartridge Pool Filters
301,2019-12-17,36750.0,Cartridge Pool Filters
302,2019-12-18,32948.0,Cartridge Pool Filters
303,2019-12-19,32948.0,Cartridge Pool Filters
304,2019-12-20,36667.0,Cartridge Pool Filters
305,2019-12-21,36667.0,Cartridge Pool Filters
306,2019-12-22,36667.0,Cartridge Pool Filters
307,2019-12-23,28430.0,Cartridge Pool Filters
308,2019-12-24,28430.0,Cartridge Pool Filters
309,2019-12-25,28430.0,Cartridge Pool Filters
310,2019-12-26,28442.0,Cartridge Pool Filters
311,2019-12-27,28442.0,Cartridge Pool Filters
312,2019-12-28,24472.0,Cartridge Pool Filters
313,2019-12-29,24472.0,Cartridge Pool Filters
314,2019-12-30,24472.0,Cartridge Pool Filters
315,2019-12-31,24519.0,Cartridge Pool Filters
316,2020-01-01,28453.0,Cartridge Pool Filters
317,2020-01-02,28453.0,Cartridge Pool Filters
318,2020-01-03,28453.0,Cartridge Pool Filters
319,2020-01-04,28453.0,Cartridge Pool Filters
320,2020-01-05,27270.0,Cartridge Pool Filters
321,2020-01-06,27270.0,Cartridge Pool Filters
322,2020-01-07,34140.0,Cartridge Pool Filters
323,2020-01-08,34140.0,Cartridge Pool Filters
324,2020-01-09,27097.0,Cartridge Pool Filters
325,2020-01-10,18092.0,Cartridge Pool Filters
326,2020-01-11,18092.0,Cartridge Pool Filters
327,2020-01-12,18092.0,Cartridge Pool Filters
328,2020-01-13,26146.0,Cartridge Pool Filters
329,2020-01-14,26146.0,Cartridge Pool Filters
330,2020-01-15,26146.0,Cartridge Pool Filters
331,2020-01-16,23010.0,Cartridge Pool Filters
332,2020-01-17,23010.0,Cartridge Pool Filters
333,2020-01-18,23010.0,Cartridge Pool Filters
334,2020-01-19,24281.0,Cartridge Pool Filters
335,2020-01-20,24281.0,Cartridge Pool Filters
336,2020-01-21,24281.0,Cartridge Pool Filters
337,2020-01-22,33168.0,Cartridge Pool Filters
338,2020-01-23,33168.0,Cartridge Pool Filters
339,2020-01-24,54701.0,Cartridge Pool Filters
340,2020-01-25,54701.0,Cartridge Pool Filters
341,2020-01-26,19059.0,Cartridge Pool Filters
342,2020-01-27,19059.0,Cartridge Pool Filters
343,2020-01-28,19059.0,Cartridge Pool Filters
344,2020-01-29,19059.0,Cartridge Pool Filters
345,2020-01-30,28852.0,Cartridge Pool Filters
346,2020-01-31,27278.0,Cartridge Pool Filters
347,2020-02-01,27278.0,Cartridge Pool Filters
348,2020-02-02,25270.0,Cartridge Pool Filters
349,2020-02-03,25270.0,Cartridge Pool Filters
350,2020-02-04,25270.0,Cartridge Pool Filters
351,2020-02-05,19802.0,Cartridge Pool Filters
352,2020-02-06,19802.0,Cartridge Pool Filters
353,2020-02-07,26918.0,Cartridge Pool Filters
354,2020-02-08,32747.0,Cartridge Pool Filters
355,2020-02-09,32747.0,Cartridge Pool Filters
356,2020-02-10,32747.0,Cartridge Pool Filters
357,2020-02-11,32747.0,Cartridge Pool Filters
358,2020-02-12,30709.0,Cartridge Pool Filters
359,2020-02-13,30709.0,Cartridge Pool Filters
360,2020-02-14,26666.0,Cartridge Pool Filters
361,2020-02-15,25052.0,Cartridge Pool Filters
362,2020-02-16,25052.0,Cartridge Pool Filters
363,2020-02-17,26555.0,Cartridge Pool Filters
364,2020-02-18,26555.0,Cartridge Pool Filters
365,2020-02-19,12436.0,Cartridge Pool Filters
366,2020-02-20,32886.0,Cartridge Pool Filters
367,2020-02-21,32886.0,Cartridge Pool Filters
368,2020-02-22,32886.0,Cartridge Pool Filters
369,2020-02-23,32886.0,Cartridge Pool Filters
370,2020-02-24,12920.0,Cartridge Pool Filters
371,2020-02-25,12920.0,Cartridge Pool Filters
372,2020-02-26,12920.0,Cartridge Pool Filters
373,2020-02-27,19631.0,Cartridge Pool Filters
374,2020-02-28,28338.0,Cartridge Pool Filters
375,2020-02-29,28338.0,Cartridge Pool Filters
376,2020-03-01,28338.0,Cartridge Pool Filters
377,2020-03-02,16577.0,Cartridge Pool Filters
378,2020-03-03,16577.0,Cartridge Pool Filters
379,2020-03-04,18947.0,Cartridge Pool Filters
380,2020-03-05,24402.0,Cartridge Pool Filters
381,2020-03-06,24402.0,Cartridge Pool Filters
382,2020-03-07,-1.0,Cartridge Pool Filters
