,date,value,name_B07R6NYY6L
328,2021-04-18,942.0,Fish Oil Supplements
329,2021-04-19,942.0,Fish Oil Supplements
330,2021-04-20,1094.0,Fish Oil Supplements
331,2021-04-21,1094.0,Fish Oil Supplements
332,2021-04-22,1094.0,Fish Oil Supplements
333,2021-04-23,1145.0,Fish Oil Supplements
334,2021-04-24,1102.0,Fish Oil Supplements
335,2021-04-25,1065.0,Fish Oil Supplements
336,2021-04-26,1065.0,Fish Oil Supplements
337,2021-04-27,965.0,Fish Oil Supplements
338,2021-04-28,965.0,Fish Oil Supplements
339,2021-04-29,965.0,Fish Oil Supplements
340,2021-04-30,1129.0,Fish Oil Supplements
341,2021-05-01,1129.0,Fish Oil Supplements
342,2021-05-02,1037.0,Fish Oil Supplements
343,2021-05-03,969.0,Fish Oil Supplements
344,2021-05-04,1076.0,Fish Oil Supplements
345,2021-05-05,1076.0,Fish Oil Supplements
346,2021-05-06,1041.0,Fish Oil Supplements
347,2021-05-07,1126.0,Fish Oil Supplements
348,2021-05-08,1126.0,Fish Oil Supplements
349,2021-05-09,1126.0,Fish Oil Supplements
350,2021-05-10,1026.0,Fish Oil Supplements
351,2021-05-11,1168.0,Fish Oil Supplements
352,2021-05-12,1168.0,Fish Oil Supplements
353,2021-05-13,1031.0,Fish Oil Supplements
354,2021-05-14,1048.0,Fish Oil Supplements
355,2021-05-15,1048.0,Fish Oil Supplements
356,2021-05-16,1048.0,Fish Oil Supplements
357,2021-05-17,1048.0,Fish Oil Supplements
358,2021-05-18,1195.0,Fish Oil Supplements
359,2021-05-19,999.0,Fish Oil Supplements
360,2021-05-20,1060.0,Fish Oil Supplements
361,2021-05-21,1202.0,Fish Oil Supplements
362,2021-05-22,1202.0,Fish Oil Supplements
363,2021-05-23,1115.0,Fish Oil Supplements
364,2021-05-24,1115.0,Fish Oil Supplements
365,2021-05-25,1242.0,Fish Oil Supplements
366,2021-05-26,1242.0,Fish Oil Supplements
367,2021-05-27,1242.0,Fish Oil Supplements
368,2021-05-28,1199.0,Fish Oil Supplements
369,2021-05-29,1178.0,Fish Oil Supplements
370,2021-05-30,1045.0,Fish Oil Supplements
371,2021-05-31,1100.0,Fish Oil Supplements
372,2021-06-01,1448.0,Fish Oil Supplements
373,2021-06-02,1117.0,Fish Oil Supplements
374,2021-06-03,1150.0,Fish Oil Supplements
375,2021-06-04,1196.0,Fish Oil Supplements
376,2021-06-05,1196.0,Fish Oil Supplements
377,2021-06-06,1056.0,Fish Oil Supplements
378,2021-06-07,1146.0,Fish Oil Supplements
379,2021-06-08,1138.0,Fish Oil Supplements
380,2021-06-09,1138.0,Fish Oil Supplements
381,2021-06-10,1065.0,Fish Oil Supplements
382,2021-06-11,1065.0,Fish Oil Supplements
383,2021-06-12,1020.0,Fish Oil Supplements
384,2021-06-13,1020.0,Fish Oil Supplements
385,2021-06-14,1138.0,Fish Oil Supplements
386,2021-06-15,1138.0,Fish Oil Supplements
387,2021-06-16,1138.0,Fish Oil Supplements
388,2021-06-17,985.0,Fish Oil Supplements
389,2021-06-18,975.0,Fish Oil Supplements
390,2021-06-19,975.0,Fish Oil Supplements
391,2021-06-20,975.0,Fish Oil Supplements
392,2021-06-21,1032.0,Fish Oil Supplements
393,2021-06-22,888.0,Fish Oil Supplements
394,2021-06-23,888.0,Fish Oil Supplements
395,2021-06-24,888.0,Fish Oil Supplements
396,2021-06-25,1049.0,Fish Oil Supplements
397,2021-06-26,1049.0,Fish Oil Supplements
398,2021-06-27,1008.0,Fish Oil Supplements
399,2021-06-28,1008.0,Fish Oil Supplements
400,2021-06-29,1001.0,Fish Oil Supplements
401,2021-06-30,1048.0,Fish Oil Supplements
402,2021-07-01,1048.0,Fish Oil Supplements
403,2021-07-02,1135.0,Fish Oil Supplements
404,2021-07-03,1135.0,Fish Oil Supplements
405,2021-07-04,1007.0,Fish Oil Supplements
406,2021-07-05,1007.0,Fish Oil Supplements
407,2021-07-06,930.0,Fish Oil Supplements
408,2021-07-07,930.0,Fish Oil Supplements
409,2021-07-08,938.0,Fish Oil Supplements
410,2021-07-09,1074.0,Fish Oil Supplements
411,2021-07-10,1030.0,Fish Oil Supplements
