,date,value,name_B07R1VJWPM
322,2020-05-08,38389.0,Floating Shelves
323,2020-05-09,56276.0,Floating Shelves
324,2020-05-10,56276.0,Floating Shelves
325,2020-05-11,56276.0,Floating Shelves
326,2020-05-12,56276.0,Floating Shelves
327,2020-05-13,56276.0,Floating Shelves
328,2020-05-14,56276.0,Floating Shelves
329,2020-05-15,39796.0,Floating Shelves
330,2020-05-16,39796.0,Floating Shelves
331,2020-05-17,14775.0,Floating Shelves
332,2020-05-18,9158.0,Floating Shelves
333,2020-05-19,9158.0,Floating Shelves
334,2020-05-20,10009.0,Floating Shelves
335,2020-05-21,10689.0,Floating Shelves
336,2020-05-22,7724.0,Floating Shelves
337,2020-05-23,8111.0,Floating Shelves
338,2020-05-24,8111.0,Floating Shelves
339,2020-05-25,8378.0,Floating Shelves
340,2020-05-26,9849.0,Floating Shelves
341,2020-05-27,6991.0,Floating Shelves
342,2020-05-28,6992.0,Floating Shelves
343,2020-05-29,5924.0,Floating Shelves
344,2020-05-30,5924.0,Floating Shelves
345,2020-05-31,5089.0,Floating Shelves
346,2020-06-01,5089.0,Floating Shelves
347,2020-06-02,11187.0,Floating Shelves
348,2020-06-03,11187.0,Floating Shelves
349,2020-06-04,11187.0,Floating Shelves
350,2020-06-05,11187.0,Floating Shelves
351,2020-06-06,41405.0,Floating Shelves
352,2020-06-07,58547.0,Floating Shelves
353,2020-06-08,58547.0,Floating Shelves
354,2020-06-09,62721.0,Floating Shelves
355,2020-06-10,62721.0,Floating Shelves
356,2020-06-11,62721.0,Floating Shelves
357,2020-06-12,62721.0,Floating Shelves
358,2020-06-13,62721.0,Floating Shelves
359,2020-06-14,12603.0,Floating Shelves
360,2020-06-15,12603.0,Floating Shelves
361,2020-06-16,12624.0,Floating Shelves
362,2020-06-17,12624.0,Floating Shelves
363,2020-06-18,11977.0,Floating Shelves
364,2020-06-19,12167.0,Floating Shelves
365,2020-06-20,12167.0,Floating Shelves
366,2020-06-21,7629.0,Floating Shelves
367,2020-06-22,7629.0,Floating Shelves
368,2020-06-23,7730.0,Floating Shelves
369,2020-06-24,7730.0,Floating Shelves
370,2020-06-25,8275.0,Floating Shelves
371,2020-06-26,8275.0,Floating Shelves
372,2020-06-27,7598.0,Floating Shelves
373,2020-06-28,9665.0,Floating Shelves
374,2020-06-29,9665.0,Floating Shelves
375,2020-06-30,9665.0,Floating Shelves
376,2020-07-01,9665.0,Floating Shelves
377,2020-07-02,9665.0,Floating Shelves
378,2020-07-03,93498.0,Floating Shelves
379,2020-07-04,93498.0,Floating Shelves
380,2020-07-05,117508.0,Floating Shelves
381,2020-07-06,119968.0,Floating Shelves
382,2020-07-07,130431.0,Floating Shelves
383,2020-07-08,130431.0,Floating Shelves
384,2020-07-09,150487.0,Floating Shelves
385,2020-07-10,150487.0,Floating Shelves
386,2020-07-11,25670.0,Floating Shelves
387,2020-07-12,25670.0,Floating Shelves
388,2020-07-13,14667.0,Floating Shelves
389,2020-07-14,14667.0,Floating Shelves
390,2020-07-15,14667.0,Floating Shelves
391,2020-07-16,12630.0,Floating Shelves
392,2020-07-17,12630.0,Floating Shelves
393,2020-07-18,8835.0,Floating Shelves
394,2020-07-19,8835.0,Floating Shelves
395,2020-07-20,7195.0,Floating Shelves
396,2020-07-21,5856.0,Floating Shelves
397,2020-07-22,5856.0,Floating Shelves
398,2020-07-23,6768.0,Floating Shelves
399,2020-07-24,6082.0,Floating Shelves
400,2020-07-25,5841.0,Floating Shelves
401,2020-07-26,10788.0,Floating Shelves
402,2020-07-27,10788.0,Floating Shelves
403,2020-07-28,32310.0,Floating Shelves
404,2020-07-29,32310.0,Floating Shelves
405,2020-07-30,65534.0,Floating Shelves
406,2020-07-31,77305.0,Floating Shelves
407,2020-08-01,83567.0,Floating Shelves
408,2020-08-02,83567.0,Floating Shelves
409,2020-08-03,83567.0,Floating Shelves
410,2020-08-04,122032.0,Floating Shelves
411,2020-08-05,122032.0,Floating Shelves
412,2020-08-06,122032.0,Floating Shelves
413,2020-08-07,122032.0,Floating Shelves
