,date,value,name_B07KBGX7MS
315,2021-04-10,10870.0,Magnesium
316,2021-04-11,10870.0,Magnesium
317,2021-04-12,10870.0,Magnesium
318,2021-04-13,10870.0,Magnesium
319,2021-04-14,10870.0,Magnesium
320,2021-04-15,10870.0,Magnesium
321,2021-04-16,10870.0,Magnesium
322,2021-04-17,10870.0,Magnesium
323,2021-04-18,10870.0,Magnesium
324,2021-04-19,10870.0,Magnesium
325,2021-04-20,338711.0,Magnesium
326,2021-04-21,338711.0,Magnesium
327,2021-04-22,338711.0,Magnesium
328,2021-04-23,339464.0,Magnesium
329,2021-04-24,339464.0,Magnesium
330,2021-04-25,339464.0,Magnesium
331,2021-04-26,339464.0,Magnesium
332,2021-04-27,339464.0,Magnesium
333,2021-04-28,339464.0,Magnesium
334,2021-04-29,339464.0,Magnesium
335,2021-04-30,339464.0,Magnesium
336,2021-05-01,339464.0,Magnesium
337,2021-05-02,330635.0,Magnesium
338,2021-05-03,330635.0,Magnesium
339,2021-05-04,330635.0,Magnesium
340,2021-05-05,330635.0,Magnesium
341,2021-05-06,330635.0,Magnesium
342,2021-05-07,336378.0,Magnesium
343,2021-05-08,336378.0,Magnesium
344,2021-05-09,336378.0,Magnesium
345,2021-05-10,336378.0,Magnesium
346,2021-05-11,336378.0,Magnesium
347,2021-05-12,336378.0,Magnesium
348,2021-05-13,336378.0,Magnesium
349,2021-05-14,336378.0,Magnesium
350,2021-05-15,336378.0,Magnesium
351,2021-05-16,344241.0,Magnesium
352,2021-05-17,344241.0,Magnesium
353,2021-05-18,9038.0,Magnesium
354,2021-05-19,9038.0,Magnesium
355,2021-05-20,8188.0,Magnesium
356,2021-05-21,8144.0,Magnesium
357,2021-05-22,8144.0,Magnesium
358,2021-05-23,8144.0,Magnesium
359,2021-05-24,10215.0,Magnesium
360,2021-05-25,10215.0,Magnesium
361,2021-05-26,9750.0,Magnesium
362,2021-05-27,9750.0,Magnesium
363,2021-05-28,9750.0,Magnesium
364,2021-05-29,9750.0,Magnesium
365,2021-05-30,9123.0,Magnesium
366,2021-05-31,9123.0,Magnesium
367,2021-06-01,9123.0,Magnesium
368,2021-06-02,9731.0,Magnesium
369,2021-06-03,9731.0,Magnesium
370,2021-06-04,9731.0,Magnesium
371,2021-06-05,9731.0,Magnesium
372,2021-06-06,8579.0,Magnesium
373,2021-06-07,8579.0,Magnesium
374,2021-06-08,8579.0,Magnesium
375,2021-06-09,9381.0,Magnesium
376,2021-06-10,9381.0,Magnesium
377,2021-06-11,8878.0,Magnesium
378,2021-06-12,8878.0,Magnesium
379,2021-06-13,8878.0,Magnesium
380,2021-06-14,9023.0,Magnesium
381,2021-06-15,9023.0,Magnesium
382,2021-06-16,9023.0,Magnesium
383,2021-06-17,8369.0,Magnesium
