,date,value,name_B088FJCP9Y
352,2021-05-29,920.0,Personal Video Players & Accessories
353,2021-05-30,860.0,Personal Video Players & Accessories
354,2021-05-31,834.0,Personal Video Players & Accessories
355,2021-06-01,834.0,Personal Video Players & Accessories
356,2021-06-02,688.0,Personal Video Players & Accessories
357,2021-06-03,688.0,Personal Video Players & Accessories
358,2021-06-04,756.0,Personal Video Players & Accessories
359,2021-06-05,756.0,Personal Video Players & Accessories
360,2021-06-06,586.0,Personal Video Players & Accessories
361,2021-06-07,586.0,Personal Video Players & Accessories
362,2021-06-08,586.0,Personal Video Players & Accessories
363,2021-06-09,542.0,Personal Video Players & Accessories
364,2021-06-10,542.0,Personal Video Players & Accessories
365,2021-06-11,472.0,Personal Video Players & Accessories
366,2021-06-12,472.0,Personal Video Players & Accessories
367,2021-06-13,511.0,Personal Video Players & Accessories
368,2021-06-14,511.0,Personal Video Players & Accessories
369,2021-06-15,496.0,Personal Video Players & Accessories
370,2021-06-16,424.0,Personal Video Players & Accessories
371,2021-06-17,560.0,Personal Video Players & Accessories
372,2021-06-18,583.0,Personal Video Players & Accessories
373,2021-06-19,508.0,Personal Video Players & Accessories
374,2021-06-20,544.0,Personal Video Players & Accessories
375,2021-06-21,544.0,Personal Video Players & Accessories
376,2021-06-22,294.0,Personal Video Players & Accessories
377,2021-06-23,344.0,Personal Video Players & Accessories
378,2021-06-24,344.0,Personal Video Players & Accessories
379,2021-06-25,230.0,Personal Video Players & Accessories
380,2021-06-26,230.0,Personal Video Players & Accessories
381,2021-06-27,287.0,Personal Video Players & Accessories
382,2021-06-28,333.0,Personal Video Players & Accessories
383,2021-06-29,340.0,Personal Video Players & Accessories
384,2021-06-30,340.0,Personal Video Players & Accessories
385,2021-07-01,472.0,Personal Video Players & Accessories
386,2021-07-02,465.0,Personal Video Players & Accessories
387,2021-07-03,465.0,Personal Video Players & Accessories
388,2021-07-04,465.0,Personal Video Players & Accessories
389,2021-07-05,431.0,Personal Video Players & Accessories
390,2021-07-06,431.0,Personal Video Players & Accessories
391,2021-07-07,185.0,Personal Video Players & Accessories
392,2021-07-08,185.0,Personal Video Players & Accessories
393,2021-07-09,185.0,Personal Video Players & Accessories
394,2021-07-10,235.0,Personal Video Players & Accessories
