,date,value,name_B07TZGY46K
351,2021-05-12,4677.0,LED Bulbs
352,2021-05-13,4728.0,LED Bulbs
353,2021-05-14,4728.0,LED Bulbs
354,2021-05-15,4254.0,LED Bulbs
355,2021-05-16,4324.0,LED Bulbs
356,2021-05-17,4324.0,LED Bulbs
357,2021-05-18,4531.0,LED Bulbs
358,2021-05-19,4531.0,LED Bulbs
359,2021-05-20,5112.0,LED Bulbs
360,2021-05-21,5859.0,LED Bulbs
361,2021-05-22,6044.0,LED Bulbs
362,2021-05-23,6044.0,LED Bulbs
363,2021-05-24,4721.0,LED Bulbs
364,2021-05-25,5188.0,LED Bulbs
365,2021-05-26,5323.0,LED Bulbs
366,2021-05-27,5323.0,LED Bulbs
367,2021-05-28,5479.0,LED Bulbs
368,2021-05-29,5479.0,LED Bulbs
369,2021-05-30,5479.0,LED Bulbs
370,2021-05-31,4621.0,LED Bulbs
371,2021-06-01,5774.0,LED Bulbs
372,2021-06-02,5385.0,LED Bulbs
373,2021-06-03,6046.0,LED Bulbs
374,2021-06-04,6046.0,LED Bulbs
375,2021-06-05,6403.0,LED Bulbs
376,2021-06-06,6403.0,LED Bulbs
377,2021-06-07,6403.0,LED Bulbs
378,2021-06-08,6395.0,LED Bulbs
379,2021-06-09,6395.0,LED Bulbs
380,2021-06-10,6924.0,LED Bulbs
381,2021-06-11,6924.0,LED Bulbs
382,2021-06-12,6240.0,LED Bulbs
383,2021-06-13,6240.0,LED Bulbs
384,2021-06-14,5547.0,LED Bulbs
385,2021-06-15,5547.0,LED Bulbs
386,2021-06-16,5547.0,LED Bulbs
387,2021-06-17,6159.0,LED Bulbs
388,2021-06-18,5845.0,LED Bulbs
389,2021-06-19,6684.0,LED Bulbs
390,2021-06-20,5722.0,LED Bulbs
391,2021-06-21,6682.0,LED Bulbs
392,2021-06-22,5228.0,LED Bulbs
393,2021-06-23,5228.0,LED Bulbs
394,2021-06-24,5228.0,LED Bulbs
395,2021-06-25,6257.0,LED Bulbs
396,2021-06-26,6257.0,LED Bulbs
397,2021-06-27,5585.0,LED Bulbs
398,2021-06-28,5585.0,LED Bulbs
399,2021-06-29,6057.0,LED Bulbs
400,2021-06-30,6037.0,LED Bulbs
401,2021-07-01,5504.0,LED Bulbs
402,2021-07-02,5504.0,LED Bulbs
403,2021-07-03,7042.0,LED Bulbs
404,2021-07-04,7042.0,LED Bulbs
405,2021-07-05,7390.0,LED Bulbs
406,2021-07-06,7390.0,LED Bulbs
407,2021-07-07,6383.0,LED Bulbs
408,2021-07-08,6359.0,LED Bulbs
409,2021-07-09,7206.0,LED Bulbs
410,2021-07-10,6387.0,LED Bulbs
411,2021-07-11,5918.0,LED Bulbs
