,date,value,name_B08175W1C8
403,2021-01-07,2485046.0,Shower Curtain Sets
404,2021-01-08,2485046.0,Shower Curtain Sets
405,2021-01-09,2485046.0,Shower Curtain Sets
406,2021-01-10,2485046.0,Shower Curtain Sets
407,2021-01-11,2485046.0,Shower Curtain Sets
408,2021-01-12,2485046.0,Shower Curtain Sets
409,2021-01-13,2485046.0,Shower Curtain Sets
410,2021-01-14,2485046.0,Shower Curtain Sets
411,2021-01-15,2485046.0,Shower Curtain Sets
412,2021-01-16,2485046.0,Shower Curtain Sets
413,2021-01-17,2485046.0,Shower Curtain Sets
414,2021-01-18,2485046.0,Shower Curtain Sets
415,2021-01-19,2485046.0,Shower Curtain Sets
416,2021-01-20,2485046.0,Shower Curtain Sets
417,2021-01-21,2485046.0,Shower Curtain Sets
418,2021-01-22,2485046.0,Shower Curtain Sets
419,2021-01-23,2485046.0,Shower Curtain Sets
420,2021-01-24,2485046.0,Shower Curtain Sets
421,2021-01-25,2485046.0,Shower Curtain Sets
422,2021-01-26,577756.0,Shower Curtain Sets
423,2021-01-27,577756.0,Shower Curtain Sets
424,2021-01-28,577756.0,Shower Curtain Sets
425,2021-01-29,577756.0,Shower Curtain Sets
426,2021-01-30,577756.0,Shower Curtain Sets
427,2021-01-31,577756.0,Shower Curtain Sets
428,2021-02-01,1328813.0,Shower Curtain Sets
429,2021-02-02,1328813.0,Shower Curtain Sets
430,2021-02-03,1328813.0,Shower Curtain Sets
431,2021-02-04,1520193.0,Shower Curtain Sets
432,2021-02-05,1520193.0,Shower Curtain Sets
433,2021-02-06,1520193.0,Shower Curtain Sets
434,2021-02-07,1520193.0,Shower Curtain Sets
435,2021-02-08,1520193.0,Shower Curtain Sets
436,2021-02-09,1520193.0,Shower Curtain Sets
437,2021-02-10,1520193.0,Shower Curtain Sets
438,2021-02-11,1520193.0,Shower Curtain Sets
439,2021-02-12,1520193.0,Shower Curtain Sets
440,2021-02-13,1520193.0,Shower Curtain Sets
441,2021-02-14,1520193.0,Shower Curtain Sets
442,2021-02-15,1520193.0,Shower Curtain Sets
443,2021-02-16,1520193.0,Shower Curtain Sets
444,2021-02-17,1520193.0,Shower Curtain Sets
445,2021-02-18,18777.0,Shower Curtain Sets
446,2021-02-19,19045.0,Shower Curtain Sets
447,2021-02-20,19045.0,Shower Curtain Sets
448,2021-02-21,19045.0,Shower Curtain Sets
449,2021-02-22,19045.0,Shower Curtain Sets
450,2021-02-23,19626.0,Shower Curtain Sets
451,2021-02-24,19626.0,Shower Curtain Sets
452,2021-02-25,19626.0,Shower Curtain Sets
453,2021-02-26,19626.0,Shower Curtain Sets
454,2021-02-27,19626.0,Shower Curtain Sets
455,2021-02-28,19984.0,Shower Curtain Sets
456,2021-03-01,19984.0,Shower Curtain Sets
457,2021-03-02,19984.0,Shower Curtain Sets
458,2021-03-03,20354.0,Shower Curtain Sets
459,2021-03-04,20354.0,Shower Curtain Sets
460,2021-03-05,20354.0,Shower Curtain Sets
461,2021-03-06,20354.0,Shower Curtain Sets
462,2021-03-07,20354.0,Shower Curtain Sets
463,2021-03-08,20354.0,Shower Curtain Sets
464,2021-03-09,20354.0,Shower Curtain Sets
465,2021-03-10,21005.0,Shower Curtain Sets
466,2021-03-11,21005.0,Shower Curtain Sets
467,2021-03-12,21005.0,Shower Curtain Sets
468,2021-03-13,21005.0,Shower Curtain Sets
469,2021-03-14,21005.0,Shower Curtain Sets
470,2021-03-15,21005.0,Shower Curtain Sets
471,2021-03-16,21528.0,Shower Curtain Sets
472,2021-03-17,21528.0,Shower Curtain Sets
473,2021-03-18,21528.0,Shower Curtain Sets
474,2021-03-19,21528.0,Shower Curtain Sets
475,2021-03-20,21528.0,Shower Curtain Sets
476,2021-03-21,21528.0,Shower Curtain Sets
477,2021-03-22,21528.0,Shower Curtain Sets
478,2021-03-23,21528.0,Shower Curtain Sets
479,2021-03-24,21528.0,Shower Curtain Sets
480,2021-03-25,21528.0,Shower Curtain Sets
481,2021-03-26,21528.0,Shower Curtain Sets
482,2021-03-27,21528.0,Shower Curtain Sets
483,2021-03-28,21528.0,Shower Curtain Sets
484,2021-03-29,21528.0,Shower Curtain Sets
485,2021-03-30,21528.0,Shower Curtain Sets
486,2021-03-31,21528.0,Shower Curtain Sets
487,2021-04-01,21528.0,Shower Curtain Sets
488,2021-04-02,21020.0,Shower Curtain Sets
489,2021-04-03,21020.0,Shower Curtain Sets
490,2021-04-04,21030.0,Shower Curtain Sets
491,2021-04-05,21030.0,Shower Curtain Sets
492,2021-04-06,21030.0,Shower Curtain Sets
