,date,value,name_B086GDXWT6
391,2021-04-27,2326.0,Chimes
392,2021-04-28,2326.0,Chimes
393,2021-04-29,1339.0,Chimes
394,2021-04-30,1659.0,Chimes
395,2021-05-01,1659.0,Chimes
396,2021-05-02,1659.0,Chimes
397,2021-05-03,1341.0,Chimes
398,2021-05-04,1024.0,Chimes
399,2021-05-05,772.0,Chimes
400,2021-05-06,694.0,Chimes
401,2021-05-07,701.0,Chimes
402,2021-05-08,455.0,Chimes
403,2021-05-09,945.0,Chimes
404,2021-05-10,1770.0,Chimes
405,2021-05-11,1814.0,Chimes
406,2021-05-12,2345.0,Chimes
407,2021-05-13,3358.0,Chimes
408,2021-05-14,2735.0,Chimes
409,2021-05-15,2735.0,Chimes
410,2021-05-16,6032.0,Chimes
411,2021-05-17,5112.0,Chimes
412,2021-05-18,5112.0,Chimes
413,2021-05-19,4938.0,Chimes
414,2021-05-20,4995.0,Chimes
415,2021-05-21,5531.0,Chimes
416,2021-05-22,5531.0,Chimes
417,2021-05-23,5531.0,Chimes
418,2021-05-24,7295.0,Chimes
419,2021-05-25,7295.0,Chimes
420,2021-05-26,4012.0,Chimes
421,2021-05-27,5980.0,Chimes
422,2021-05-28,5980.0,Chimes
423,2021-05-29,6527.0,Chimes
424,2021-05-30,6527.0,Chimes
425,2021-05-31,8066.0,Chimes
426,2021-06-01,9903.0,Chimes
427,2021-06-02,6443.0,Chimes
428,2021-06-03,6488.0,Chimes
429,2021-06-04,5550.0,Chimes
430,2021-06-05,6004.0,Chimes
431,2021-06-06,6542.0,Chimes
432,2021-06-07,7771.0,Chimes
433,2021-06-08,6430.0,Chimes
434,2021-06-09,5604.0,Chimes
435,2021-06-10,6524.0,Chimes
436,2021-06-11,6524.0,Chimes
437,2021-06-12,8270.0,Chimes
438,2021-06-13,8270.0,Chimes
439,2021-06-14,8270.0,Chimes
440,2021-06-15,8688.0,Chimes
441,2021-06-16,8727.0,Chimes
442,2021-06-17,8195.0,Chimes
443,2021-06-18,9179.0,Chimes
444,2021-06-19,9179.0,Chimes
445,2021-06-20,8838.0,Chimes
446,2021-06-21,8838.0,Chimes
447,2021-06-22,4479.0,Chimes
448,2021-06-23,3247.0,Chimes
449,2021-06-24,3247.0,Chimes
450,2021-06-25,5104.0,Chimes
451,2021-06-26,5732.0,Chimes
452,2021-06-27,7325.0,Chimes
453,2021-06-28,7593.0,Chimes
454,2021-06-29,9948.0,Chimes
455,2021-06-30,10015.0,Chimes
456,2021-07-01,10015.0,Chimes
457,2021-07-02,8640.0,Chimes
458,2021-07-03,8640.0,Chimes
459,2021-07-04,8640.0,Chimes
460,2021-07-05,9256.0,Chimes
461,2021-07-06,13711.0,Chimes
462,2021-07-07,13711.0,Chimes
463,2021-07-08,11812.0,Chimes
464,2021-07-09,11812.0,Chimes
465,2021-07-10,11812.0,Chimes
466,2021-07-11,15661.0,Chimes
