,date,value,name_B07G82ZQ54
565,2020-10-26,299399.0,Personal Fans
566,2020-10-27,299399.0,Personal Fans
567,2020-10-28,299399.0,Personal Fans
568,2020-10-29,267801.0,Personal Fans
569,2020-10-30,267801.0,Personal Fans
570,2020-10-31,267801.0,Personal Fans
571,2020-11-01,267801.0,Personal Fans
572,2020-11-02,267801.0,Personal Fans
573,2020-11-03,504735.0,Personal Fans
574,2020-11-04,504735.0,Personal Fans
575,2020-11-05,504735.0,Personal Fans
576,2020-11-06,504735.0,Personal Fans
577,2020-11-07,504735.0,Personal Fans
578,2020-11-08,504735.0,Personal Fans
579,2020-11-09,504735.0,Personal Fans
580,2020-11-10,504735.0,Personal Fans
581,2020-11-11,504735.0,Personal Fans
582,2020-11-12,504735.0,Personal Fans
583,2020-11-13,388835.0,Personal Fans
584,2020-11-14,388835.0,Personal Fans
585,2020-11-15,388835.0,Personal Fans
586,2020-11-16,388835.0,Personal Fans
587,2020-11-17,395470.0,Personal Fans
588,2020-11-18,395470.0,Personal Fans
589,2020-11-19,395470.0,Personal Fans
590,2020-11-20,395470.0,Personal Fans
591,2020-11-21,395470.0,Personal Fans
592,2020-11-22,395470.0,Personal Fans
593,2020-11-23,395470.0,Personal Fans
594,2020-11-24,502104.0,Personal Fans
595,2020-11-25,502104.0,Personal Fans
596,2020-11-26,502104.0,Personal Fans
597,2020-11-27,502104.0,Personal Fans
598,2020-11-28,502104.0,Personal Fans
599,2020-11-29,502104.0,Personal Fans
600,2020-11-30,502104.0,Personal Fans
601,2020-12-01,502104.0,Personal Fans
602,2020-12-02,502104.0,Personal Fans
603,2020-12-03,502104.0,Personal Fans
604,2020-12-04,502104.0,Personal Fans
605,2020-12-05,604911.0,Personal Fans
606,2020-12-06,604911.0,Personal Fans
607,2020-12-07,604911.0,Personal Fans
608,2020-12-08,604911.0,Personal Fans
609,2020-12-09,604911.0,Personal Fans
610,2020-12-10,380609.0,Personal Fans
611,2020-12-11,380609.0,Personal Fans
612,2020-12-12,380609.0,Personal Fans
613,2020-12-13,380609.0,Personal Fans
614,2020-12-14,380609.0,Personal Fans
615,2020-12-15,380609.0,Personal Fans
616,2020-12-16,380609.0,Personal Fans
617,2020-12-17,380609.0,Personal Fans
618,2020-12-18,380609.0,Personal Fans
619,2020-12-19,278535.0,Personal Fans
620,2020-12-20,278535.0,Personal Fans
621,2020-12-21,278535.0,Personal Fans
622,2020-12-22,278535.0,Personal Fans
623,2020-12-23,278535.0,Personal Fans
624,2020-12-24,278535.0,Personal Fans
625,2020-12-25,278535.0,Personal Fans
626,2020-12-26,278535.0,Personal Fans
627,2020-12-27,278535.0,Personal Fans
628,2020-12-28,278535.0,Personal Fans
629,2020-12-29,278535.0,Personal Fans
630,2020-12-30,278535.0,Personal Fans
631,2020-12-31,568457.0,Personal Fans
632,2021-01-01,568457.0,Personal Fans
633,2021-01-02,568457.0,Personal Fans
634,2021-01-03,568457.0,Personal Fans
635,2021-01-04,568457.0,Personal Fans
636,2021-01-05,568457.0,Personal Fans
637,2021-01-06,568457.0,Personal Fans
638,2021-01-07,568457.0,Personal Fans
639,2021-01-08,568457.0,Personal Fans
640,2021-01-09,568457.0,Personal Fans
641,2021-01-10,228367.0,Personal Fans
642,2021-01-11,228367.0,Personal Fans
643,2021-01-12,228367.0,Personal Fans
644,2021-01-13,228367.0,Personal Fans
645,2021-01-14,259359.0,Personal Fans
646,2021-01-15,259359.0,Personal Fans
647,2021-01-16,259359.0,Personal Fans
648,2021-01-17,259359.0,Personal Fans
649,2021-01-18,259359.0,Personal Fans
650,2021-01-19,465606.0,Personal Fans
651,2021-01-20,465606.0,Personal Fans
652,2021-01-21,465606.0,Personal Fans
653,2021-01-22,465606.0,Personal Fans
654,2021-01-23,465606.0,Personal Fans
655,2021-01-24,452550.0,Personal Fans
656,2021-01-25,452550.0,Personal Fans
657,2021-01-26,452550.0,Personal Fans
658,2021-01-27,342364.0,Personal Fans
659,2021-01-28,342364.0,Personal Fans
660,2021-01-29,342364.0,Personal Fans
661,2021-01-30,342364.0,Personal Fans
662,2021-01-31,342364.0,Personal Fans
