,date,value,name_B0829JKYLL
463,2021-03-16,13619.0,Wall & Tabletop Frames
464,2021-03-17,9041.0,Wall & Tabletop Frames
465,2021-03-18,9041.0,Wall & Tabletop Frames
466,2021-03-19,12655.0,Wall & Tabletop Frames
467,2021-03-20,12655.0,Wall & Tabletop Frames
468,2021-03-21,12655.0,Wall & Tabletop Frames
469,2021-03-22,11125.0,Wall & Tabletop Frames
470,2021-03-23,11125.0,Wall & Tabletop Frames
471,2021-03-24,11125.0,Wall & Tabletop Frames
472,2021-03-25,8864.0,Wall & Tabletop Frames
473,2021-03-26,8864.0,Wall & Tabletop Frames
474,2021-03-27,8864.0,Wall & Tabletop Frames
475,2021-03-28,8864.0,Wall & Tabletop Frames
476,2021-03-29,9848.0,Wall & Tabletop Frames
477,2021-03-30,7734.0,Wall & Tabletop Frames
478,2021-03-31,7796.0,Wall & Tabletop Frames
479,2021-04-01,7767.0,Wall & Tabletop Frames
480,2021-04-02,7767.0,Wall & Tabletop Frames
481,2021-04-03,8670.0,Wall & Tabletop Frames
482,2021-04-04,10839.0,Wall & Tabletop Frames
483,2021-04-05,10839.0,Wall & Tabletop Frames
484,2021-04-06,9432.0,Wall & Tabletop Frames
485,2021-04-07,9432.0,Wall & Tabletop Frames
486,2021-04-08,8725.0,Wall & Tabletop Frames
487,2021-04-09,8725.0,Wall & Tabletop Frames
488,2021-04-10,8725.0,Wall & Tabletop Frames
489,2021-04-11,11726.0,Wall & Tabletop Frames
490,2021-04-12,11726.0,Wall & Tabletop Frames
491,2021-04-13,10072.0,Wall & Tabletop Frames
492,2021-04-14,10072.0,Wall & Tabletop Frames
493,2021-04-15,13958.0,Wall & Tabletop Frames
494,2021-04-16,13958.0,Wall & Tabletop Frames
495,2021-04-17,12360.0,Wall & Tabletop Frames
496,2021-04-18,12360.0,Wall & Tabletop Frames
497,2021-04-19,11082.0,Wall & Tabletop Frames
498,2021-04-20,11082.0,Wall & Tabletop Frames
499,2021-04-21,8225.0,Wall & Tabletop Frames
500,2021-04-22,11023.0,Wall & Tabletop Frames
501,2021-04-23,11023.0,Wall & Tabletop Frames
502,2021-04-24,9295.0,Wall & Tabletop Frames
503,2021-04-25,9295.0,Wall & Tabletop Frames
504,2021-04-26,10232.0,Wall & Tabletop Frames
505,2021-04-27,10232.0,Wall & Tabletop Frames
506,2021-04-28,11437.0,Wall & Tabletop Frames
507,2021-04-29,11437.0,Wall & Tabletop Frames
508,2021-04-30,11437.0,Wall & Tabletop Frames
509,2021-05-01,11422.0,Wall & Tabletop Frames
510,2021-05-02,11422.0,Wall & Tabletop Frames
511,2021-05-03,11564.0,Wall & Tabletop Frames
512,2021-05-04,11564.0,Wall & Tabletop Frames
513,2021-05-05,11794.0,Wall & Tabletop Frames
514,2021-05-06,11794.0,Wall & Tabletop Frames
515,2021-05-07,11794.0,Wall & Tabletop Frames
