,date,value,name_B0866FZYFH
209,2020-12-24,18.0,Fertilizers & Plant Food
210,2020-12-25,23.0,Fertilizers & Plant Food
211,2020-12-26,28.0,Fertilizers & Plant Food
212,2020-12-27,28.0,Fertilizers & Plant Food
213,2020-12-28,70.0,Fertilizers & Plant Food
214,2020-12-29,68.0,Fertilizers & Plant Food
215,2020-12-30,79.0,Fertilizers & Plant Food
216,2020-12-31,92.0,Fertilizers & Plant Food
217,2021-01-01,92.0,Fertilizers & Plant Food
218,2021-01-02,118.0,Fertilizers & Plant Food
219,2021-01-03,118.0,Fertilizers & Plant Food
220,2021-01-04,118.0,Fertilizers & Plant Food
221,2021-01-05,151.0,Fertilizers & Plant Food
222,2021-01-06,151.0,Fertilizers & Plant Food
223,2021-01-07,104.0,Fertilizers & Plant Food
224,2021-01-08,100.0,Fertilizers & Plant Food
225,2021-01-09,91.0,Fertilizers & Plant Food
226,2021-01-10,100.0,Fertilizers & Plant Food
227,2021-01-11,100.0,Fertilizers & Plant Food
228,2021-01-12,86.0,Fertilizers & Plant Food
229,2021-01-13,86.0,Fertilizers & Plant Food
230,2021-01-14,86.0,Fertilizers & Plant Food
231,2021-01-15,120.0,Fertilizers & Plant Food
232,2021-01-16,120.0,Fertilizers & Plant Food
233,2021-01-17,112.0,Fertilizers & Plant Food
234,2021-01-18,114.0,Fertilizers & Plant Food
235,2021-01-19,114.0,Fertilizers & Plant Food
236,2021-01-20,144.0,Fertilizers & Plant Food
237,2021-01-21,144.0,Fertilizers & Plant Food
238,2021-01-22,134.0,Fertilizers & Plant Food
239,2021-01-23,109.0,Fertilizers & Plant Food
240,2021-01-24,109.0,Fertilizers & Plant Food
241,2021-01-25,146.0,Fertilizers & Plant Food
242,2021-01-26,146.0,Fertilizers & Plant Food
243,2021-01-27,146.0,Fertilizers & Plant Food
244,2021-01-28,103.0,Fertilizers & Plant Food
245,2021-01-29,101.0,Fertilizers & Plant Food
246,2021-01-30,95.0,Fertilizers & Plant Food
247,2021-01-31,92.0,Fertilizers & Plant Food
248,2021-02-01,92.0,Fertilizers & Plant Food
249,2021-02-02,86.0,Fertilizers & Plant Food
250,2021-02-03,86.0,Fertilizers & Plant Food
251,2021-02-04,53.0,Fertilizers & Plant Food
252,2021-02-05,48.0,Fertilizers & Plant Food
253,2021-02-06,48.0,Fertilizers & Plant Food
254,2021-02-07,47.0,Fertilizers & Plant Food
255,2021-02-08,47.0,Fertilizers & Plant Food
256,2021-02-09,35.0,Fertilizers & Plant Food
257,2021-02-10,18.0,Fertilizers & Plant Food
258,2021-02-11,33.0,Fertilizers & Plant Food
259,2021-02-12,35.0,Fertilizers & Plant Food
260,2021-02-13,35.0,Fertilizers & Plant Food
261,2021-02-14,35.0,Fertilizers & Plant Food
262,2021-02-15,65.0,Fertilizers & Plant Food
263,2021-02-16,73.0,Fertilizers & Plant Food
264,2021-02-17,73.0,Fertilizers & Plant Food
265,2021-02-18,73.0,Fertilizers & Plant Food
266,2021-02-19,77.0,Fertilizers & Plant Food
267,2021-02-20,77.0,Fertilizers & Plant Food
268,2021-02-21,70.0,Fertilizers & Plant Food
269,2021-02-22,70.0,Fertilizers & Plant Food
270,2021-02-23,70.0,Fertilizers & Plant Food
271,2021-02-24,68.0,Fertilizers & Plant Food
272,2021-02-25,68.0,Fertilizers & Plant Food
273,2021-02-26,68.0,Fertilizers & Plant Food
274,2021-02-27,73.0,Fertilizers & Plant Food
275,2021-02-28,73.0,Fertilizers & Plant Food
276,2021-03-01,99.0,Fertilizers & Plant Food
277,2021-03-02,99.0,Fertilizers & Plant Food
278,2021-03-03,80.0,Fertilizers & Plant Food
279,2021-03-04,80.0,Fertilizers & Plant Food
280,2021-03-05,80.0,Fertilizers & Plant Food
281,2021-03-06,91.0,Fertilizers & Plant Food
282,2021-03-07,133.0,Fertilizers & Plant Food
283,2021-03-08,133.0,Fertilizers & Plant Food
284,2021-03-09,139.0,Fertilizers & Plant Food
285,2021-03-10,151.0,Fertilizers & Plant Food
286,2021-03-11,118.0,Fertilizers & Plant Food
287,2021-03-12,118.0,Fertilizers & Plant Food
288,2021-03-13,110.0,Fertilizers & Plant Food
289,2021-03-14,110.0,Fertilizers & Plant Food
290,2021-03-15,36.0,Fertilizers & Plant Food
291,2021-03-16,36.0,Fertilizers & Plant Food
292,2021-03-17,20.0,Fertilizers & Plant Food
293,2021-03-18,23.0,Fertilizers & Plant Food
294,2021-03-19,26.0,Fertilizers & Plant Food
295,2021-03-20,27.0,Fertilizers & Plant Food
296,2021-03-21,27.0,Fertilizers & Plant Food
297,2021-03-22,27.0,Fertilizers & Plant Food
298,2021-03-23,83.0,Fertilizers & Plant Food
299,2021-03-24,111.0,Fertilizers & Plant Food
300,2021-03-25,131.0,Fertilizers & Plant Food
301,2021-03-26,131.0,Fertilizers & Plant Food
302,2021-03-27,131.0,Fertilizers & Plant Food
303,2021-03-28,183.0,Fertilizers & Plant Food
304,2021-03-29,126.0,Fertilizers & Plant Food
305,2021-03-30,106.0,Fertilizers & Plant Food
306,2021-03-31,106.0,Fertilizers & Plant Food
307,2021-04-01,94.0,Fertilizers & Plant Food
308,2021-04-02,91.0,Fertilizers & Plant Food
309,2021-04-03,91.0,Fertilizers & Plant Food
310,2021-04-04,71.0,Fertilizers & Plant Food
311,2021-04-05,71.0,Fertilizers & Plant Food
312,2021-04-06,202.0,Fertilizers & Plant Food
313,2021-04-07,202.0,Fertilizers & Plant Food
314,2021-04-08,184.0,Fertilizers & Plant Food
315,2021-04-09,192.0,Fertilizers & Plant Food
316,2021-04-10,192.0,Fertilizers & Plant Food
317,2021-04-11,192.0,Fertilizers & Plant Food
318,2021-04-12,216.0,Fertilizers & Plant Food
319,2021-04-13,216.0,Fertilizers & Plant Food
320,2021-04-14,177.0,Fertilizers & Plant Food
321,2021-04-15,1.0,Fertilizers & Plant Food
322,2021-04-16,12.0,Fertilizers & Plant Food
323,2021-04-17,12.0,Fertilizers & Plant Food
324,2021-04-18,83.0,Fertilizers & Plant Food
325,2021-04-19,100.0,Fertilizers & Plant Food
326,2021-04-20,100.0,Fertilizers & Plant Food
327,2021-04-21,128.0,Fertilizers & Plant Food
328,2021-04-22,114.0,Fertilizers & Plant Food
329,2021-04-23,104.0,Fertilizers & Plant Food
330,2021-04-24,104.0,Fertilizers & Plant Food
331,2021-04-25,104.0,Fertilizers & Plant Food
332,2021-04-26,76.0,Fertilizers & Plant Food
333,2021-04-27,76.0,Fertilizers & Plant Food
334,2021-04-28,76.0,Fertilizers & Plant Food
335,2021-04-29,59.0,Fertilizers & Plant Food
336,2021-04-30,62.0,Fertilizers & Plant Food
337,2021-05-01,50.0,Fertilizers & Plant Food
338,2021-05-02,71.0,Fertilizers & Plant Food
339,2021-05-03,133.0,Fertilizers & Plant Food
340,2021-05-04,142.0,Fertilizers & Plant Food
341,2021-05-05,142.0,Fertilizers & Plant Food
342,2021-05-06,107.0,Fertilizers & Plant Food
343,2021-05-07,67.0,Fertilizers & Plant Food
344,2021-05-08,1.0,Fertilizers & Plant Food
345,2021-05-09,2.0,Fertilizers & Plant Food
346,2021-05-10,4.0,Fertilizers & Plant Food
347,2021-05-11,7.0,Fertilizers & Plant Food
348,2021-05-12,12.0,Fertilizers & Plant Food
349,2021-05-13,23.0,Fertilizers & Plant Food
350,2021-05-14,35.0,Fertilizers & Plant Food
351,2021-05-15,52.0,Fertilizers & Plant Food
352,2021-05-16,52.0,Fertilizers & Plant Food
353,2021-05-17,52.0,Fertilizers & Plant Food
354,2021-05-18,110.0,Fertilizers & Plant Food
355,2021-05-19,110.0,Fertilizers & Plant Food
356,2021-05-20,140.0,Fertilizers & Plant Food
357,2021-05-21,140.0,Fertilizers & Plant Food
358,2021-05-22,183.0,Fertilizers & Plant Food
359,2021-05-23,183.0,Fertilizers & Plant Food
360,2021-05-24,227.0,Fertilizers & Plant Food
361,2021-05-25,184.0,Fertilizers & Plant Food
362,2021-05-26,184.0,Fertilizers & Plant Food
363,2021-05-27,213.0,Fertilizers & Plant Food
364,2021-05-28,213.0,Fertilizers & Plant Food
365,2021-05-29,157.0,Fertilizers & Plant Food
366,2021-05-30,157.0,Fertilizers & Plant Food
367,2021-05-31,245.0,Fertilizers & Plant Food
368,2021-06-01,245.0,Fertilizers & Plant Food
369,2021-06-02,321.0,Fertilizers & Plant Food
370,2021-06-03,321.0,Fertilizers & Plant Food
371,2021-06-04,240.0,Fertilizers & Plant Food
372,2021-06-05,253.0,Fertilizers & Plant Food
373,2021-06-06,253.0,Fertilizers & Plant Food
374,2021-06-07,269.0,Fertilizers & Plant Food
375,2021-06-08,269.0,Fertilizers & Plant Food
376,2021-06-09,306.0,Fertilizers & Plant Food
377,2021-06-10,307.0,Fertilizers & Plant Food
378,2021-06-11,265.0,Fertilizers & Plant Food
