,date,value,name_B07KX86DZQ
408,2020-01-10,38916.0,Scissors
409,2020-01-11,38916.0,Scissors
410,2020-01-12,38916.0,Scissors
411,2020-01-13,14669.0,Scissors
412,2020-01-14,30556.0,Scissors
413,2020-01-15,30556.0,Scissors
414,2020-01-16,33596.0,Scissors
415,2020-01-17,33596.0,Scissors
416,2020-01-18,33596.0,Scissors
417,2020-01-19,33596.0,Scissors
418,2020-01-20,33596.0,Scissors
419,2020-01-21,33596.0,Scissors
420,2020-01-22,69724.0,Scissors
421,2020-01-23,69724.0,Scissors
422,2020-01-24,69724.0,Scissors
423,2020-01-25,69724.0,Scissors
424,2020-01-26,69724.0,Scissors
425,2020-01-27,69724.0,Scissors
426,2020-01-28,37431.0,Scissors
427,2020-01-29,37431.0,Scissors
428,2020-01-30,43962.0,Scissors
429,2020-01-31,43962.0,Scissors
430,2020-02-01,29338.0,Scissors
431,2020-02-02,29338.0,Scissors
432,2020-02-03,29338.0,Scissors
433,2020-02-04,29338.0,Scissors
434,2020-02-05,29338.0,Scissors
435,2020-02-06,38874.0,Scissors
436,2020-02-07,38874.0,Scissors
437,2020-02-08,38874.0,Scissors
438,2020-02-09,38874.0,Scissors
439,2020-02-10,38874.0,Scissors
440,2020-02-11,38874.0,Scissors
441,2020-02-12,37361.0,Scissors
442,2020-02-13,37361.0,Scissors
443,2020-02-14,37361.0,Scissors
444,2020-02-15,56582.0,Scissors
445,2020-02-16,56582.0,Scissors
446,2020-02-17,56582.0,Scissors
447,2020-02-18,20379.0,Scissors
448,2020-02-19,11610.0,Scissors
449,2020-02-20,11610.0,Scissors
450,2020-02-21,11610.0,Scissors
451,2020-02-22,11610.0,Scissors
452,2020-02-23,11610.0,Scissors
453,2020-02-24,18950.0,Scissors
454,2020-02-25,18950.0,Scissors
455,2020-02-26,18950.0,Scissors
456,2020-02-27,18950.0,Scissors
457,2020-02-28,18950.0,Scissors
458,2020-02-29,18950.0,Scissors
459,2020-03-01,18950.0,Scissors
460,2020-03-02,45761.0,Scissors
461,2020-03-03,45761.0,Scissors
462,2020-03-04,45761.0,Scissors
463,2020-03-05,45761.0,Scissors
464,2020-03-06,45761.0,Scissors
465,2020-03-07,45238.0,Scissors
466,2020-03-08,45238.0,Scissors
467,2020-03-09,45238.0,Scissors
468,2020-03-10,45238.0,Scissors
469,2020-03-11,-1.0,Scissors
