,date,value,name_B07M63DP2V
486,2020-08-06,75200.0,Kids' Bath Towels
487,2020-08-07,75200.0,Kids' Bath Towels
488,2020-08-08,77704.0,Kids' Bath Towels
489,2020-08-09,114841.0,Kids' Bath Towels
490,2020-08-10,114841.0,Kids' Bath Towels
491,2020-08-11,114841.0,Kids' Bath Towels
492,2020-08-12,114841.0,Kids' Bath Towels
493,2020-08-13,114841.0,Kids' Bath Towels
494,2020-08-14,114841.0,Kids' Bath Towels
495,2020-08-15,114841.0,Kids' Bath Towels
496,2020-08-16,90106.0,Kids' Bath Towels
497,2020-08-17,125724.0,Kids' Bath Towels
498,2020-08-18,94548.0,Kids' Bath Towels
499,2020-08-19,87420.0,Kids' Bath Towels
500,2020-08-20,87420.0,Kids' Bath Towels
501,2020-08-21,87420.0,Kids' Bath Towels
502,2020-08-22,87420.0,Kids' Bath Towels
503,2020-08-23,87420.0,Kids' Bath Towels
504,2020-08-24,87420.0,Kids' Bath Towels
505,2020-08-25,155151.0,Kids' Bath Towels
506,2020-08-26,155151.0,Kids' Bath Towels
507,2020-08-27,155151.0,Kids' Bath Towels
508,2020-08-28,117013.0,Kids' Bath Towels
509,2020-08-29,117013.0,Kids' Bath Towels
510,2020-08-30,117013.0,Kids' Bath Towels
511,2020-08-31,117013.0,Kids' Bath Towels
512,2020-09-01,117013.0,Kids' Bath Towels
513,2020-09-02,117013.0,Kids' Bath Towels
514,2020-09-03,117013.0,Kids' Bath Towels
515,2020-09-04,117013.0,Kids' Bath Towels
516,2020-09-05,117013.0,Kids' Bath Towels
517,2020-09-06,117013.0,Kids' Bath Towels
518,2020-09-07,338114.0,Kids' Bath Towels
519,2020-09-08,338114.0,Kids' Bath Towels
520,2020-09-09,338114.0,Kids' Bath Towels
521,2020-09-10,338114.0,Kids' Bath Towels
522,2020-09-11,338114.0,Kids' Bath Towels
523,2020-09-12,338114.0,Kids' Bath Towels
524,2020-09-13,255195.0,Kids' Bath Towels
525,2020-09-14,255195.0,Kids' Bath Towels
526,2020-09-15,255195.0,Kids' Bath Towels
527,2020-09-16,255195.0,Kids' Bath Towels
528,2020-09-17,107236.0,Kids' Bath Towels
529,2020-09-18,107236.0,Kids' Bath Towels
530,2020-09-19,107236.0,Kids' Bath Towels
531,2020-09-20,107236.0,Kids' Bath Towels
532,2020-09-21,107236.0,Kids' Bath Towels
533,2020-09-22,107236.0,Kids' Bath Towels
534,2020-09-23,237788.0,Kids' Bath Towels
535,2020-09-24,193143.0,Kids' Bath Towels
536,2020-09-25,193143.0,Kids' Bath Towels
537,2020-09-26,193143.0,Kids' Bath Towels
538,2020-09-27,188940.0,Kids' Bath Towels
539,2020-09-28,188940.0,Kids' Bath Towels
540,2020-09-29,274549.0,Kids' Bath Towels
541,2020-09-30,274549.0,Kids' Bath Towels
542,2020-10-01,108551.0,Kids' Bath Towels
543,2020-10-02,108551.0,Kids' Bath Towels
544,2020-10-03,108551.0,Kids' Bath Towels
545,2020-10-04,108551.0,Kids' Bath Towels
546,2020-10-05,108551.0,Kids' Bath Towels
547,2020-10-06,188706.0,Kids' Bath Towels
548,2020-10-07,188706.0,Kids' Bath Towels
549,2020-10-08,188706.0,Kids' Bath Towels
550,2020-10-09,188706.0,Kids' Bath Towels
551,2020-10-10,188706.0,Kids' Bath Towels
552,2020-10-11,188706.0,Kids' Bath Towels
553,2020-10-12,188706.0,Kids' Bath Towels
554,2020-10-13,188706.0,Kids' Bath Towels
555,2020-10-14,188706.0,Kids' Bath Towels
556,2020-10-15,188706.0,Kids' Bath Towels
