,date,value,name_B01CV48YNM
473,2019-10-27,821.0,Container Sets
474,2019-10-28,1071.0,Container Sets
475,2019-10-29,896.0,Container Sets
476,2019-10-30,729.0,Container Sets
477,2019-10-31,834.0,Container Sets
478,2019-11-01,928.0,Container Sets
479,2019-11-02,707.0,Container Sets
480,2019-11-03,707.0,Container Sets
481,2019-11-04,942.0,Container Sets
482,2019-11-05,832.0,Container Sets
483,2019-11-06,855.0,Container Sets
484,2019-11-07,997.0,Container Sets
485,2019-11-08,750.0,Container Sets
486,2019-11-09,750.0,Container Sets
487,2019-11-10,750.0,Container Sets
488,2019-11-11,750.0,Container Sets
489,2019-11-12,750.0,Container Sets
490,2019-11-13,1285.0,Container Sets
491,2019-11-14,1246.0,Container Sets
492,2019-11-15,1574.0,Container Sets
493,2019-11-16,1574.0,Container Sets
494,2019-11-17,1733.0,Container Sets
495,2019-11-18,1784.0,Container Sets
496,2019-11-19,2072.0,Container Sets
497,2019-11-20,2072.0,Container Sets
498,2019-11-21,2053.0,Container Sets
499,2019-11-22,1787.0,Container Sets
500,2019-11-23,1964.0,Container Sets
501,2019-11-24,1964.0,Container Sets
502,2019-11-25,3016.0,Container Sets
503,2019-11-26,2828.0,Container Sets
504,2019-11-27,2467.0,Container Sets
505,2019-11-28,2467.0,Container Sets
506,2019-11-29,2900.0,Container Sets
507,2019-11-30,2900.0,Container Sets
508,2019-12-01,2380.0,Container Sets
509,2019-12-02,2380.0,Container Sets
510,2019-12-03,2380.0,Container Sets
511,2019-12-04,2380.0,Container Sets
512,2019-12-05,2531.0,Container Sets
513,2019-12-06,2531.0,Container Sets
514,2019-12-07,2531.0,Container Sets
515,2019-12-08,2455.0,Container Sets
516,2019-12-09,2992.0,Container Sets
517,2019-12-10,2992.0,Container Sets
518,2019-12-11,2817.0,Container Sets
519,2019-12-12,2925.0,Container Sets
520,2019-12-13,3499.0,Container Sets
521,2019-12-14,3499.0,Container Sets
522,2019-12-15,3499.0,Container Sets
523,2019-12-16,3499.0,Container Sets
524,2019-12-17,4478.0,Container Sets
525,2019-12-18,4478.0,Container Sets
526,2019-12-19,4478.0,Container Sets
527,2019-12-20,3725.0,Container Sets
528,2019-12-21,3725.0,Container Sets
529,2019-12-22,3031.0,Container Sets
530,2019-12-23,2931.0,Container Sets
531,2019-12-24,2931.0,Container Sets
532,2019-12-25,2931.0,Container Sets
533,2019-12-26,1910.0,Container Sets
534,2019-12-27,1910.0,Container Sets
535,2019-12-28,1910.0,Container Sets
536,2019-12-29,1910.0,Container Sets
537,2019-12-30,1910.0,Container Sets
538,2019-12-31,1910.0,Container Sets
539,2020-01-01,1316.0,Container Sets
540,2020-01-02,1165.0,Container Sets
541,2020-01-03,1165.0,Container Sets
542,2020-01-04,1165.0,Container Sets
543,2020-01-05,1547.0,Container Sets
544,2020-01-06,1547.0,Container Sets
545,2020-01-07,1218.0,Container Sets
546,2020-01-08,1218.0,Container Sets
547,2020-01-09,1218.0,Container Sets
548,2020-01-10,1218.0,Container Sets
549,2020-01-11,789.0,Container Sets
550,2020-01-12,1265.0,Container Sets
551,2020-01-13,1357.0,Container Sets
552,2020-01-14,1268.0,Container Sets
553,2020-01-15,1268.0,Container Sets
554,2020-01-16,1268.0,Container Sets
555,2020-01-17,1268.0,Container Sets
556,2020-01-18,842.0,Container Sets
557,2020-01-19,842.0,Container Sets
558,2020-01-20,842.0,Container Sets
559,2020-01-21,728.0,Container Sets
560,2020-01-22,728.0,Container Sets
561,2020-01-23,806.0,Container Sets
562,2020-01-24,806.0,Container Sets
563,2020-01-25,806.0,Container Sets
564,2020-01-26,806.0,Container Sets
565,2020-01-27,756.0,Container Sets
566,2020-01-28,756.0,Container Sets
567,2020-01-29,756.0,Container Sets
568,2020-01-30,766.0,Container Sets
569,2020-01-31,766.0,Container Sets
570,2020-02-01,766.0,Container Sets
571,2020-02-02,766.0,Container Sets
572,2020-02-03,711.0,Container Sets
573,2020-02-04,709.0,Container Sets
574,2020-02-05,709.0,Container Sets
575,2020-02-06,689.0,Container Sets
576,2020-02-07,689.0,Container Sets
577,2020-02-08,649.0,Container Sets
578,2020-02-09,649.0,Container Sets
579,2020-02-10,649.0,Container Sets
580,2020-02-11,938.0,Container Sets
581,2020-02-12,938.0,Container Sets
582,2020-02-13,938.0,Container Sets
583,2020-02-14,938.0,Container Sets
584,2020-02-15,938.0,Container Sets
585,2020-02-16,1003.0,Container Sets
586,2020-02-17,1003.0,Container Sets
587,2020-02-18,760.0,Container Sets
588,2020-02-19,760.0,Container Sets
589,2020-02-20,760.0,Container Sets
590,2020-02-21,711.0,Container Sets
591,2020-02-22,711.0,Container Sets
592,2020-02-23,598.0,Container Sets
593,2020-02-24,704.0,Container Sets
594,2020-02-25,704.0,Container Sets
595,2020-02-26,1766.0,Container Sets
596,2020-02-27,1766.0,Container Sets
597,2020-02-28,2074.0,Container Sets
598,2020-02-29,2074.0,Container Sets
599,2020-03-01,2074.0,Container Sets
600,2020-03-02,2074.0,Container Sets
601,2020-03-03,4446.0,Container Sets
602,2020-03-04,5028.0,Container Sets
603,2020-03-05,5028.0,Container Sets
604,2020-03-06,5028.0,Container Sets
605,2020-03-07,5028.0,Container Sets
606,2020-03-08,5028.0,Container Sets
607,2020-03-09,-1.0,Container Sets
