,date,value,name_B07ZN47WHF
242,2020-07-01,7813.0,Duvet Covers & Sets
243,2020-07-02,7813.0,Duvet Covers & Sets
244,2020-07-03,7201.0,Duvet Covers & Sets
245,2020-07-04,7201.0,Duvet Covers & Sets
246,2020-07-05,7201.0,Duvet Covers & Sets
247,2020-07-06,9105.0,Duvet Covers & Sets
248,2020-07-07,7261.0,Duvet Covers & Sets
249,2020-07-08,7765.0,Duvet Covers & Sets
250,2020-07-09,7747.0,Duvet Covers & Sets
251,2020-07-10,7149.0,Duvet Covers & Sets
252,2020-07-11,7149.0,Duvet Covers & Sets
253,2020-07-12,6602.0,Duvet Covers & Sets
254,2020-07-13,6865.0,Duvet Covers & Sets
255,2020-07-14,6635.0,Duvet Covers & Sets
256,2020-07-15,6414.0,Duvet Covers & Sets
257,2020-07-16,6864.0,Duvet Covers & Sets
258,2020-07-17,6864.0,Duvet Covers & Sets
259,2020-07-18,5580.0,Duvet Covers & Sets
260,2020-07-19,6924.0,Duvet Covers & Sets
261,2020-07-20,5987.0,Duvet Covers & Sets
262,2020-07-21,6590.0,Duvet Covers & Sets
263,2020-07-22,6834.0,Duvet Covers & Sets
264,2020-07-23,7333.0,Duvet Covers & Sets
265,2020-07-24,6109.0,Duvet Covers & Sets
266,2020-07-25,6109.0,Duvet Covers & Sets
267,2020-07-26,8048.0,Duvet Covers & Sets
268,2020-07-27,7433.0,Duvet Covers & Sets
269,2020-07-28,7433.0,Duvet Covers & Sets
270,2020-07-29,7433.0,Duvet Covers & Sets
271,2020-07-30,6720.0,Duvet Covers & Sets
272,2020-07-31,5810.0,Duvet Covers & Sets
273,2020-08-01,7433.0,Duvet Covers & Sets
274,2020-08-02,6347.0,Duvet Covers & Sets
275,2020-08-03,6859.0,Duvet Covers & Sets
276,2020-08-04,6725.0,Duvet Covers & Sets
277,2020-08-05,6051.0,Duvet Covers & Sets
278,2020-08-06,7271.0,Duvet Covers & Sets
279,2020-08-07,5917.0,Duvet Covers & Sets
280,2020-08-08,6259.0,Duvet Covers & Sets
281,2020-08-09,6259.0,Duvet Covers & Sets
282,2020-08-10,6431.0,Duvet Covers & Sets
283,2020-08-11,5772.0,Duvet Covers & Sets
284,2020-08-12,5940.0,Duvet Covers & Sets
285,2020-08-13,6309.0,Duvet Covers & Sets
286,2020-08-14,6290.0,Duvet Covers & Sets
287,2020-08-15,6574.0,Duvet Covers & Sets
288,2020-08-16,6574.0,Duvet Covers & Sets
289,2020-08-17,6048.0,Duvet Covers & Sets
290,2020-08-18,6700.0,Duvet Covers & Sets
291,2020-08-19,6740.0,Duvet Covers & Sets
