,date,value,name_B08349D354
323,2021-03-02,5528.0,Flags
324,2021-03-03,5528.0,Flags
325,2021-03-04,7420.0,Flags
326,2021-03-05,7420.0,Flags
327,2021-03-06,7420.0,Flags
328,2021-03-07,7536.0,Flags
329,2021-03-08,7536.0,Flags
330,2021-03-09,4224.0,Flags
331,2021-03-10,4224.0,Flags
332,2021-03-11,4435.0,Flags
333,2021-03-12,4435.0,Flags
334,2021-03-13,5669.0,Flags
335,2021-03-14,5669.0,Flags
336,2021-03-15,5669.0,Flags
337,2021-03-16,6501.0,Flags
338,2021-03-17,6501.0,Flags
339,2021-03-18,6501.0,Flags
340,2021-03-19,5780.0,Flags
341,2021-03-20,5780.0,Flags
342,2021-03-21,7992.0,Flags
343,2021-03-22,7992.0,Flags
344,2021-03-23,7992.0,Flags
345,2021-03-24,5740.0,Flags
346,2021-03-25,5740.0,Flags
347,2021-03-26,5740.0,Flags
348,2021-03-27,4986.0,Flags
349,2021-03-28,4986.0,Flags
350,2021-03-29,4986.0,Flags
351,2021-03-30,5913.0,Flags
352,2021-03-31,5913.0,Flags
353,2021-04-01,6192.0,Flags
354,2021-04-02,6192.0,Flags
355,2021-04-03,6192.0,Flags
356,2021-04-04,5760.0,Flags
357,2021-04-05,5760.0,Flags
358,2021-04-06,5760.0,Flags
359,2021-04-07,5760.0,Flags
360,2021-04-08,4215.0,Flags
361,2021-04-09,4215.0,Flags
362,2021-04-10,5105.0,Flags
363,2021-04-11,5105.0,Flags
364,2021-04-12,5105.0,Flags
365,2021-04-13,4122.0,Flags
366,2021-04-14,3808.0,Flags
367,2021-04-15,3808.0,Flags
368,2021-04-16,4070.0,Flags
369,2021-04-17,4070.0,Flags
370,2021-04-18,4070.0,Flags
371,2021-04-19,4052.0,Flags
372,2021-04-20,4052.0,Flags
373,2021-04-21,4650.0,Flags
374,2021-04-22,4650.0,Flags
375,2021-04-23,4414.0,Flags
376,2021-04-24,4414.0,Flags
377,2021-04-25,4414.0,Flags
378,2021-04-26,4338.0,Flags
379,2021-04-27,4338.0,Flags
380,2021-04-28,2895.0,Flags
381,2021-04-29,2895.0,Flags
382,2021-04-30,2377.0,Flags
383,2021-05-01,2377.0,Flags
384,2021-05-02,2377.0,Flags
385,2021-05-03,2568.0,Flags
386,2021-05-04,2568.0,Flags
387,2021-05-05,3575.0,Flags
388,2021-05-06,3575.0,Flags
389,2021-05-07,3323.0,Flags
390,2021-05-08,2781.0,Flags
391,2021-05-09,3729.0,Flags
392,2021-05-10,3729.0,Flags
393,2021-05-11,2821.0,Flags
394,2021-05-12,2821.0,Flags
395,2021-05-13,2577.0,Flags
396,2021-05-14,2577.0,Flags
397,2021-05-15,2577.0,Flags
398,2021-05-16,4229.0,Flags
399,2021-05-17,4229.0,Flags
400,2021-05-18,2776.0,Flags
401,2021-05-19,2687.0,Flags
402,2021-05-20,2588.0,Flags
403,2021-05-21,2195.0,Flags
404,2021-05-22,2195.0,Flags
405,2021-05-23,2848.0,Flags
406,2021-05-24,2599.0,Flags
407,2021-05-25,2599.0,Flags
408,2021-05-26,1745.0,Flags
409,2021-05-27,1745.0,Flags
410,2021-05-28,2403.0,Flags
411,2021-05-29,2403.0,Flags
412,2021-05-30,2956.0,Flags
413,2021-05-31,2672.0,Flags
414,2021-06-01,2672.0,Flags
415,2021-06-02,2080.0,Flags
416,2021-06-03,2080.0,Flags
417,2021-06-04,2919.0,Flags
418,2021-06-05,2919.0,Flags
419,2021-06-06,2994.0,Flags
420,2021-06-07,2994.0,Flags
421,2021-06-08,2846.0,Flags
422,2021-06-09,2846.0,Flags
423,2021-06-10,2793.0,Flags
424,2021-06-11,2793.0,Flags
425,2021-06-12,2793.0,Flags
426,2021-06-13,3606.0,Flags
427,2021-06-14,3606.0,Flags
428,2021-06-15,2437.0,Flags
429,2021-06-16,2437.0,Flags
430,2021-06-17,2302.0,Flags
431,2021-06-18,2658.0,Flags
432,2021-06-19,2658.0,Flags
433,2021-06-20,3066.0,Flags
434,2021-06-21,2523.0,Flags
435,2021-06-22,2523.0,Flags
436,2021-06-23,2523.0,Flags
437,2021-06-24,2159.0,Flags
438,2021-06-25,1994.0,Flags
439,2021-06-26,1994.0,Flags
440,2021-06-27,1543.0,Flags
441,2021-06-28,1543.0,Flags
442,2021-06-29,1409.0,Flags
443,2021-06-30,1409.0,Flags
444,2021-07-01,998.0,Flags
445,2021-07-02,998.0,Flags
446,2021-07-03,1207.0,Flags
447,2021-07-04,1291.0,Flags
448,2021-07-05,1291.0,Flags
449,2021-07-06,1568.0,Flags
450,2021-07-07,1566.0,Flags
451,2021-07-08,1457.0,Flags
452,2021-07-09,1457.0,Flags
453,2021-07-10,1433.0,Flags
